Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
A17C5B11,2,11.0,803.3589999999994
A17C4B11,2,11.0,805.3749999999993
A17C1B11,2,11.0,721.2129999999997
A17C2B11,2,11.0,749.2669999999996
A17C3B11,2,11.0,777.3209999999995
A18C5B11,2,11.0,786.3279999999995
A18C4B11,2,11.0,788.3439999999995
A18C1B11,2,11.0,704.1819999999999
A18C2B11,2,11.0,732.2359999999998
A18C3B11,2,11.0,760.2899999999996
A19C5B11,2,11.0,787.3159999999995
A19C4B11,2,11.0,789.3319999999994
A19C1B11,2,11.0,705.1699999999998
A19C2B11,2,11.0,733.2239999999997
A19C3B11,2,11.0,761.2779999999996
A20C5B11,2,11.0,758.2739999999997
A20C4B11,2,11.0,760.2899999999996
A20C1B11,2,11.0,676.128
A20C2B11,2,11.0,704.1819999999999
A20C3B11,2,11.0,732.2359999999998
A1C5B11,2,11.0,746.2629999999997
A1C4B11,2,11.0,748.2789999999997
A1C1B11,2,11.0,664.1170000000001
A1C2B11,2,11.0,692.1709999999999
A1C3B11,2,11.0,720.2249999999998
A6C5B11,2,11.0,760.2899999999996
A6C4B11,2,11.0,762.3059999999996
A6C1B11,2,11.0,678.144
A6C2B11,2,11.0,706.1979999999999
A6C3B11,2,11.0,734.2519999999997
A3C5B11,2,11.0,788.3439999999995
A3C4B11,2,11.0,790.3599999999994
A3C1B11,2,11.0,706.1979999999999
A3C2B11,2,11.0,734.2519999999997
A3C3B11,2,11.0,762.3059999999996
A8C5B11,2,11.0,844.4519999999992
A8C4B11,2,11.0,846.4679999999992
A8C1B11,2,11.0,762.3059999999996
A8C2B11,2,11.0,790.3599999999994
A8C3B11,2,11.0,818.4139999999993
A2C5B11,2,11.0,786.3279999999994
A2C4B11,2,11.0,788.3439999999994
A2C1B11,2,11.0,704.1819999999998
A2C2B11,2,11.0,732.2359999999996
A2C3B11,2,11.0,760.2899999999995
A7C5B11,2,11.0,802.3269999999994
A7C4B11,2,11.0,804.3429999999994
A7C1B11,2,11.0,720.1809999999998
A7C2B11,2,11.0,748.2349999999997
A7C3B11,2,11.0,776.2889999999995
A4C5B11,2,11.0,774.3169999999996
A4C4B11,2,11.0,776.3329999999995
A4C1B11,2,11.0,692.1709999999999
A4C2B11,2,11.0,720.2249999999998
A4C3B11,2,11.0,748.2789999999997
A11C5B11,2,11.0,760.2459999999996
A11C4B11,2,11.0,762.2619999999996
A11C1B11,2,11.0,678.1
A11C2B11,2,11.0,706.1539999999999
A11C3B11,2,11.0,734.2079999999997
A12C5B11,2,11.0,772.3009999999996
A12C4B11,2,11.0,774.3169999999996
A12C1B11,2,11.0,690.155
A12C2B11,2,11.0,718.2089999999998
A12C3B11,2,11.0,746.2629999999997
A14C5B11,2,11.0,741.2029999999999
A14C4B11,2,11.0,743.2189999999998
A14C1B11,2,11.0,659.0570000000002
A14C2B11,2,11.0,687.1110000000001
A14C3B11,2,11.0,715.165
A9C5B11,2,11.0,769.2569999999997
A9C4B11,2,11.0,771.2729999999997
A9C1B11,2,11.0,687.1110000000001
A9C2B11,2,11.0,715.165
A9C3B11,2,11.0,743.2189999999998
A13C5B11,2,11.0,758.2739999999995
A13C4B11,2,11.0,760.2899999999995
A13C1B11,2,11.0,676.1279999999999
A13C2B11,2,11.0,704.1819999999998
A13C3B11,2,11.0,732.2359999999996
A5C5B11,2,11.0,804.3469999999993
A5C4B11,2,11.0,806.3629999999993
A5C1B11,2,11.0,722.2009999999997
A5C2B11,2,11.0,750.2549999999995
A5C3B11,2,11.0,778.3089999999994
A10C5B11,2,11.0,772.3009999999995
A10C4B11,2,11.0,774.3169999999994
A10C1B11,2,11.0,690.1549999999999
A10C2B11,2,11.0,718.2089999999997
A10C3B11,2,11.0,746.2629999999996
A15C5B11,2,11.0,786.3279999999994
A15C4B11,2,11.0,788.3439999999994
A15C1B11,2,11.0,704.1819999999998
A15C2B11,2,11.0,732.2359999999996
A15C3B11,2,11.0,760.2899999999995
A16C5B11,2,11.0,802.3709999999996
A16C4B11,2,11.0,804.3869999999996
A16C1B11,2,11.0,720.225
A16C2B11,2,11.0,748.2789999999999
A16C3B11,2,11.0,776.3329999999997
A17C5B12,2,12.0,801.3429999999995
A17C4B12,2,12.0,803.3589999999995
A17C1B12,2,12.0,719.1969999999997
A17C2B12,2,12.0,747.2509999999997
A17C3B12,2,12.0,775.3049999999996
A18C5B12,2,12.0,784.3119999999997
A18C4B12,2,12.0,786.3279999999996
A18C1B12,2,12.0,702.1659999999998
A18C2B12,2,12.0,730.2199999999999
A18C3B12,2,12.0,758.2739999999998
A19C5B12,2,12.0,785.2999999999996
A19C4B12,2,12.0,787.3159999999996
A19C1B12,2,12.0,703.1539999999998
A19C2B12,2,12.0,731.2079999999999
A19C3B12,2,12.0,759.2619999999997
A20C5B12,2,12.0,756.2579999999998
A20C4B12,2,12.0,758.2739999999998
A20C1B12,2,12.0,674.112
A20C2B12,2,12.0,702.166
A20C3B12,2,12.0,730.2199999999999
A1C5B12,2,12.0,744.2469999999998
A1C4B12,2,12.0,746.2629999999998
A1C1B12,2,12.0,662.101
A1C2B12,2,12.0,690.1550000000001
A1C3B12,2,12.0,718.209
A6C5B12,2,12.0,758.2739999999998
A6C4B12,2,12.0,760.2899999999997
A6C1B12,2,12.0,676.1279999999999
A6C2B12,2,12.0,704.182
A6C3B12,2,12.0,732.2359999999999
A3C5B12,2,12.0,786.3279999999996
A3C4B12,2,12.0,788.3439999999996
A3C1B12,2,12.0,704.1819999999998
A3C2B12,2,12.0,732.2359999999999
A3C3B12,2,12.0,760.2899999999997
A8C5B12,2,12.0,842.4359999999994
A8C4B12,2,12.0,844.4519999999993
A8C1B12,2,12.0,760.2899999999995
