Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Han_a3,40.0,12.485483870967748,24.024828656407617,1.1147040000000004,DOPE,10,30.0,3.0
Han_a3,40.0,14.37083333333334,27.652657442131144,1.2830280000000005,DOPE,10,30.0,3.0
Han_a3,40.0,17.063373655913992,32.8336997284366,1.523418000000001,DOPE,10,30.0,3.0
Han_a3,40.0,12.956821236559149,24.931785852838495,1.1567850000000004,DOPE,10,30.0,3.0
Han_a3,40.0,14.84217069892474,28.559614638562024,1.3251090000000008,DOPE,10,30.0,3.0
Han_a3,40.0,17.534711021505387,33.74065692486748,1.5654990000000009,DOPE,10,30.0,3.0
Han_a3,40.0,13.96575940860216,26.873205741626812,1.2468630000000005,DOPE,10,30.0,3.0
Han_a3,40.0,15.851108870967751,30.501034527350345,1.4151870000000009,DOPE,10,30.0,3.0
Han_a3,40.0,18.543649193548397,35.68207681365578,1.6555770000000003,DOPE,10,30.0,3.0
Han_a3,40.0,13.49442204301076,25.96624854519593,1.204782000000001,DOPE,10,30.0,3.0
Han_a3,40.0,15.379771505376354,29.59407733091946,1.3731060000000008,DOPE,10,30.0,3.0
Han_a3,40.0,18.072311827957,34.7751196172249,1.6134960000000005,DOPE,10,30.0,3.0
Han_a3,40.0,14.77442876344087,28.42926419242211,1.319061000000001,DOPE,10,30.0,3.0
Han_a3,40.0,16.659778225806466,32.05709297814564,1.4873850000000013,DOPE,10,30.0,3.0
Han_a3,40.0,19.352318548387107,37.238135264451074,1.7277750000000007,DOPE,10,30.0,3.0
Han_a3,40.0,14.571202956989254,28.038212854002342,1.3009170000000003,DOPE,10,30.0,3.0
Han_a3,40.0,16.45655241935485,31.666041639725876,1.469241000000001,DOPE,10,30.0,3.0
Han_a3,40.0,19.14909274193549,36.84708392603131,1.7096310000000003,DOPE,10,30.0,3.0
Han_a3,40.0,15.312029569892484,29.46372688477954,1.3670580000000008,DOPE,10,30.0,3.0
Han_a3,40.0,17.197379032258084,33.09155567050307,1.5353820000000011,DOPE,10,30.0,3.0
Han_a3,40.0,19.88991935483871,38.27259795680849,1.775772,DOPE,10,30.0,3.0
Han_a3,40.0,14.4356182795699,27.777317987844317,1.2888120000000003,DOPE,10,30.0,3.0
Han_a3,40.0,16.320967741935494,31.405146773567857,1.4571360000000009,DOPE,10,30.0,3.0
Han_a3,40.0,19.01350806451614,36.5861890598733,1.6975260000000008,DOPE,10,30.0,3.0
Han_a3,40.0,14.404032258064523,27.71653950601321,1.2859920000000005,DOPE,10,30.0,3.0
Han_a3,40.0,16.289381720430118,31.344368291736735,1.4543160000000008,DOPE,10,30.0,3.0
Han_a3,40.0,18.98192204301076,36.52541057804218,1.6947060000000005,DOPE,10,30.0,3.0
Han_a3,40.0,14.875369623655924,28.623496702444093,1.3280730000000007,DOPE,10,30.0,3.0
Han_a3,40.0,16.760719086021517,32.25132548816762,1.4963970000000009,DOPE,10,30.0,3.0
Han_a3,40.0,19.45325940860216,37.432367774473065,1.7367870000000007,DOPE,10,30.0,3.0
Han_a3,40.0,15.346706989247323,29.530453898874978,1.3701540000000008,DOPE,10,30.0,3.0
Han_a3,40.0,17.23205645161292,33.158282684598504,1.5384780000000011,DOPE,10,30.0,3.0
Han_a3,40.0,19.924596774193557,38.33932497090394,1.7788680000000006,DOPE,10,30.0,3.0
Han_a3,40.0,15.818044354838722,30.437411095305865,1.4122350000000012,DOPE,10,30.0,3.0
Han_a3,40.0,17.70339381720432,34.06523988102939,1.5805590000000014,DOPE,10,30.0,3.0
Han_a3,40.0,20.39593413978495,39.24628216733482,1.8209490000000004,DOPE,10,30.0,3.0
Han_a3,40.0,15.278965053763455,29.400103452735063,1.364106000000001,DOPE,10,30.0,3.0
Han_a3,40.0,17.16431451612905,33.02793223845859,1.5324300000000013,DOPE,10,30.0,3.0
Han_a3,40.0,19.856854838709683,38.20897452476401,1.7728200000000005,DOPE,10,30.0,3.0
Han_a3,40.0,15.750302419354856,30.307060649165948,1.4061870000000012,DOPE,10,30.0,3.0
Han_a3,40.0,17.63565188172045,33.93488943488948,1.5745110000000015,DOPE,10,30.0,3.0
Han_a3,40.0,20.32819220430108,39.11593172119489,1.814901,DOPE,10,30.0,3.0
