Lipid_name,Num_tails,MolWt,Num_carbon_in_tail
2A2-3T,2,758.1009999999995,6
2A9-3T,2,688.9939999999999,6
2A9V-3T,2,703.0209999999998,6
3A4-3T,3,1019.4399999999996,6
4A1-3T,4,1402.009999999999,6
4A3-3T,4,1346.9299999999992,6
6A3-3T,6,1948.758,6
2A2-3C,2,758.1009999999995,6
2A9-3C,2,688.9939999999999,6
2A9V-3C,2,703.0209999999998,6
3A4-3C,3,1019.4399999999996,6
4A1-3C,4,1402.009999999999,6
4A3-3C,4,1346.9299999999992,6
6A3-3C,6,1948.758,6
2A2-SC8,2,818.2409999999993,8
2A9-SC8,2,749.1339999999997,8
2A9V-SC8,2,763.1609999999996,8
3A4-SC8,3,1109.6499999999994,8
4A1-SC8,4,1522.2899999999993,8
6A3-SC8,6,2129.1780000000003,8
2A2-Ne,2,866.2849999999994,8
2A9-Ne,2,797.1779999999998,8
2A9V-Ne,2,811.2049999999997,8
3A4-Ne,3,1181.7159999999992,8
4A1-Ne,4,1618.3779999999986,8
4A3-Ne,4,1563.2979999999986,8
6A3-Ne,6,2273.3099999999977,8
2A2-4T,2,758.1009999999995,6
2A9-4T,2,688.9939999999999,6
2A9V-4T,2,703.0209999999998,6
3A4-4T,3,1019.4399999999996,6
4A1-4T,4,1402.009999999999,6
4A3-4T,4,1346.9299999999992,6
6A3-4T,6,1948.758,6
2A2-4C,2,758.1009999999995,6
2A9-4C,2,688.9939999999999,6
2A9V-4C,2,703.0209999999998,6
3A4-4C,3,1019.4399999999996,6
4A1-4C,4,1402.009999999999,6
4A3-4C,4,1346.9299999999992,6
6A3-4C,6,1948.758,6
2A2-SC8/2,2,810.1769999999995,8
2A9-SC8/2,2,741.0699999999998,8
2A9V-SC8/2,2,755.0969999999998,8
3A4-SC8/2,3,1097.5539999999996,8
4A1-SC8/2,4,1506.1619999999991,8
4A3-SC8/2,4,1451.0819999999994,8
6A3-SC8/2,6,2104.9859999999994,8
2A2-Far,2,1002.5229999999992,12
2A9-Far,2,933.4159999999996,12
2A9V-Far,2,947.4429999999994,12
3A4-Far,3,1386.0729999999987,12
4A1-Far,4,1890.8539999999985,12
4A3-Far,4,1835.7739999999983,12
6A3-Far,6,2682.0239999999953,12
2A2-SC6,2,818.2409999999993,6
2A9-SC6,2,749.1339999999997,6
2A9V-SC6,2,763.1609999999996,6
3A4-SC6,3,1109.6499999999994,6
4A1-SC6,4,1522.2899999999993,6
6A3-SC6,6,2129.1780000000003,6
2A2-2T,2,758.1009999999995,6
2A9-2T,2,688.9939999999999,6
2A9V-2T,2,703.0209999999998,6
3A4-2T,3,1019.4399999999996,6
4A1-2T,4,1402.0099999999993,6
4A3-2T,4,1346.9299999999992,6
6A3-2T,6,1948.758,6
2A2-2C,2,758.1009999999995,6
2A9-2C,2,688.9939999999999,6
2A9V-2C,2,703.0209999999998,6
3A4-2C,3,1019.4399999999996,6
4A1-2C,4,1402.0099999999993,6
4A3-2C,4,1346.9299999999992,6
6A3-2C,6,1948.758,6
2A2-5,2,758.1009999999995,6
2A9-5,2,688.9939999999999,6
2A9V-5,2,703.0209999999998,6
3A4-5,3,1019.4399999999994,6
4A1-5,4,1402.0099999999995,6
4A3-5,4,1346.9299999999994,6
6A3-5,6,1948.7580000000005,6
2A2-Cit,2,870.3169999999993,8
2A9-Cit,2,801.2099999999997,8
2A9V-Cit,2,815.2369999999996,8
3A4-Cit,3,1187.7639999999992,8
4A1-Cit,4,1626.4419999999984,8
4A3-Cit,4,1571.3619999999987,8
6A3-Cit,6,2285.405999999998,8
