Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A1_I1_T1,18,2,894.3799999999995,4,3
A1_I2_T1,18,2,908.4069999999996,4,3
A1_I3_T1,18,2,936.4609999999994,4,3
A1_I4_T1,18,2,880.4409999999995,4,3
A1_I5_T1,18,2,880.4409999999993,4,3
A1_I6_T1,18,2,906.4789999999992,4,3
A1_I1_T2,18,2,898.4119999999995,2,3
A1_I2_T2,18,2,912.4389999999994,2,3
A1_I3_T2,18,2,940.4929999999994,2,3
A1_I4_T2,18,2,884.4729999999994,2,3
A1_I5_T2,18,2,884.4729999999993,2,3
A1_I6_T2,18,2,910.5109999999992,2,3
A1_I1_T3,10,2,669.9480000000003,2,3
A1_I2_T3,10,2,683.9750000000003,2,3
A1_I3_T3,10,2,712.0290000000002,2,3
A1_I4_T3,10,2,656.0090000000001,2,3
A1_I5_T3,10,2,656.009,2,3
A1_I6_T3,10,2,682.0469999999999,2,3
A1_I1_T4,18,2,886.4009999999995,1,3
A1_I2_T4,18,2,900.4279999999994,1,3
A1_I3_T4,18,2,928.4819999999994,1,3
A1_I4_T4,18,2,872.4619999999994,1,3
A1_I5_T4,18,2,872.4619999999993,1,3
A1_I6_T4,18,2,898.4999999999992,1,3
A1_I1_T5,18,2,784.18,2,3
A1_I2_T5,18,2,798.2069999999999,2,3
A1_I3_T5,18,2,826.2609999999999,2,3
A1_I4_T5,18,2,770.2409999999999,2,3
A1_I5_T5,18,2,770.2409999999998,2,3
A1_I6_T5,18,2,796.2789999999997,2,3
A1_I1_T6,12,2,734.12,0,3
A1_I2_T6,12,2,748.1469999999999,0,3
A1_I3_T6,12,2,776.2009999999999,0,3
A1_I4_T6,12,2,720.1809999999998,0,3
A1_I5_T6,12,2,720.1809999999997,0,3
A1_I6_T6,12,2,746.2189999999996,0,3
A1_I1_T7,9,2,874.3899999999995,0,3
A1_I2_T7,9,2,888.4169999999995,0,3
