Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A11-T1,2,18,889.4449999999991,1,2
A11-T2,2,18,887.4289999999993,2,2
A9-T1,2,18,1427.3149999999994,2,3
A56-T3,2,18,1323.0739999999998,6,1
A18-T7,2,8,2080.096,8,3
A6-T1,2,18,2740.438000000001,4,4
A9-T2,2,18,1423.2829999999994,4,3
A22-T1,2,18,1392.2249999999997,2,1
A9-T3,2,18,1419.2509999999993,6,3
A33-T1,2,18,2064.358000000001,3,3
A1-T2,2,18,1368.2029999999995,4,2
A11-T3,2,18,885.4129999999994,3,2
A1-T1,2,18,1372.2349999999994,2,2
A2-T2,2,18,1354.1759999999997,4,2
A18-T6,2,7,2023.9880000000005,8,3
A14-T10,2,10,1744.6559999999995,6,4
A4-T2,2,18,1382.2299999999996,4,2
A22-T2,2,18,1388.1929999999998,4,1
A12-T2,2,18,830.3369999999992,2,3
A3-T1,2,18,1400.2889999999995,2,2
A30-T2,2,18,1408.268,4,2
A4-T3,2,18,1378.1979999999996,6,2
A18-T5,2,6,1967.8800000000003,8,3
A30-T1,2,18,1412.3,2,2
A30-T3,2,18,1404.236,6,2
A5-T1,2,18,1372.2349999999992,2,2
A8-T2,2,18,848.3959999999993,2,3
A51-T3,2,18,746.1709999999998,3,1
A12-T3,2,18,828.3209999999993,3,3
A6-T3,2,18,2724.3099999999995,12,4
A37-T6,2,7,1124.683999999999,4,3
A16-T3,2,18,2004.133000000001,9,1
A1-T3,2,18,1364.1709999999996,6,2
A47-T5,2,6,1517.2199999999996,6,3
A28-T10,2,10,1210.8619999999987,4,3
A6-T2,2,18,2732.3740000000003,8,4
A3-T3,2,18,1392.2249999999997,6,2
A20-T8,2,9,588.8740000000001,2,1
A2-T5,2,6,1013.4959999999992,4,2
A18-T8,2,9,2136.204,8,3
A63-T4,2,5,2458.564999999999,10,5
A36-T3,2,18,788.2559999999996,3,3
A3-T2,2,18,1396.2569999999996,4,2
A4-T1,2,18,1386.2619999999995,2,2
A8-T3,2,18,846.3799999999994,3,3
A63-T10,2,10,2809.239999999999,10,5
A34-T1,2,18,3984.4539999999993,6,4
A12-T1,2,18,832.352999999999,1,3
A8-T1,2,18,850.4119999999991,1,3
A36-T2,2,18,790.2719999999995,2,3
A2-T8,2,9,1097.6579999999988,4,2
A31-T1,2,18,3306.3579999999997,5,3
A18-T4,2,5,1911.772,8,3
A15-T10,2,10,2220.366,8,3
A51-T1,2,18,750.2029999999995,1,1
A63-T8,2,9,2739.104999999999,10,5
A18-T3,2,18,2641.1759999999995,12,3
A14-T3,2,18,2081.304,9,4
A4-T6,2,7,1069.603999999999,4,2
A51-T9,2,8,605.9010000000002,2,1
A15-T1,2,18,2685.358,4,3
A17-T2,2,18,1396.213,4,2
A16-T1,2,18,2016.229000000001,3,1
A31-T3,2,18,3286.197999999998,15,3
A44-T1,2,18,1440.3539999999996,2,2
A34-T7,2,8,3118.641999999998,12,4
A47-T4,2,5,1475.1389999999994,6,3
A33-T10,2,10,1715.6139999999996,6,3
A31-T6,2,7,2514.7129999999993,10,3
A33-T2,2,18,2058.310000000001,6,3
A33-T9,2,8,1631.4519999999995,6,3
A2-T4,2,5,985.4419999999992,4,2
A5-T3,2,18,1364.1709999999991,6,2
A44-T4,2,5,1067.5879999999993,4,2
A19-T7,2,8,1109.6689999999992,4,2
A63-T6,2,7,2598.834999999999,10,5
A33-T7,2,8,1631.4519999999995,6,3
A14-T2,2,18,2087.3520000000003,6,4
A7-T2,2,18,1410.2839999999994,4,2
