Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Liu_iphos,25,30,30,1,MDOA,4.476173377,22.380866885000003,5.0
Liu_iphos,25,30,30,1,MDOA,4.725061612,23.62530806,5.0
Liu_iphos,25,30,30,1,MDOA,4.973949847,24.869749235,5.0
Liu_iphos,25,30,30,1,MDOA,5.222838082,26.11419041,5.0
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159,5.0
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765,5.0
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394,5.0
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955115,5.0
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996,5.0
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465,5.0
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864,5.0
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,4.973949847,24.869749235,5.0
Liu_iphos,25,30,30,1,MDOA,5.222838082,26.11419041,5.0
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159,5.0
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765,5.0
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394,5.0
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955115,5.0
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996,5.0
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465,5.0
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864,5.0
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217,5.0
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345,5.0
Liu_iphos,25,30,30,1,MDOA,5.471726318,27.35863159,5.0
Liu_iphos,25,30,30,1,MDOA,5.720614553,28.603072765,5.0
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394,5.0
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955115,5.0
Liu_iphos,25,30,30,1,MDOA,6.467279258,32.336396289999996,5.0
Liu_iphos,25,30,30,1,MDOA,6.716167493,33.580837465,5.0
Liu_iphos,25,30,30,1,MDOA,6.965055728,34.82527864,5.0
Liu_iphos,25,30,30,1,MDOA,7.213943963,36.069719815,5.0
Liu_iphos,25,30,30,1,MDOA,7.462832198,37.31416099,5.0
Liu_iphos,25,30,30,1,MDOA,7.711720434,38.55860217,5.0
Liu_iphos,25,30,30,1,MDOA,7.960608669,39.803043345,5.0
Liu_iphos,25,30,30,1,MDOA,8.209496904,41.04748452,5.0
Liu_iphos,25,30,30,1,MDOA,8.458385139,42.291925695,5.0
Liu_iphos,25,30,30,1,MDOA,5.969502788,29.84751394,5.0
Liu_iphos,25,30,30,1,MDOA,6.218391023,31.091955115,5.0
