smiles,quantified_toxicity,quantified_delivery
CCCCNCCOP(=O)(O)OCCCC,95,4.69
CCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCCOP(=O)(O)OCCNCCCC,85,4.69
CCCCCCCCOP(=O)(O)OCCNCCCC,95,3.69
CCCCCCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCCCCCOP(=O)(O)OCCNCCCC,85,4.69
CCCCCCCCCCCOP(=O)(O)OCCNCCCC,85,4.69
CCCCCCCCCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCNCCCC,95,5.69
CCCCCCCCCCCCCCOP(=O)(O)OCCNCCCC,85,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCC,95,4.69
CCCCCCNCCOP(=O)(O)OCCCC,95,4.69
CCCCCCNCCOP(=O)(O)OCCCCC,95,4.69
CCCCCCNCCOP(=O)(O)OCCCCCC,95,4.69
CCCCCCCOP(=O)(O)OCCNCCCCCC,85,4.69
CCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCCCOP(=O)(O)OCCNCCCCCC,85,5.69
CCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,85,5.69
CCCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,95,4.69
CCCCCCCCNCCOP(=O)(O)OCCCC,95,3.69
CCCCCCCCNCCOP(=O)(O)OCCCCC,95,3.69
CCCCCCCCNCCOP(=O)(O)OCCCCCC,85,4.69
CCCCCCCCNCCOP(=O)(O)OCCCCCCC,95,3.69
CCCCCCCCNCCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,85,4.69
CCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,85,3.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCCCC,85,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCC,95,3.69
CCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCC,85,4.69
CCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,95,4.69
CCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,85,3.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCC,85,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCC,95,2.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCC,85,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCC,85,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCC,85,4.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCNCCOP(=O)(O)OCCCCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCNCCCCCCCCCCCCCC,95,3.69
CCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCOP(=O)(O)OCCN(CCCC)CCCC,85,3.69
CCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,4.69
CCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,4.69
CCCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCC)CCCC,95,3.69
CCCCCCN(CCCCCC)CCOP(=O)(O)OCCCC,95,3.69
CCCCCCN(CCCCCC)CCOP(=O)(O)OCCCCC,95,3.69
CCCCCCOP(=O)(O)OCCN(CCCCCC)CCCCCC,95,3.69
CCCCCCCOP(=O)(O)OCCN(CCCCCC)CCCCCC,95,3.69
CCCCCCCCOP(=O)(O)OCCN(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCOP(=O)(O)OCCN(CCCCCC)CCCCCC,95,4.69
