Lipid_name,Num_tails,MolWt,Num_carbon_in_tail
ZA1-Ep8,2,709.096,8
ZA2-Ep8,2,793.258,8
ZA3-Ep8,5,1051.66,8
ZA4-Ep8,3,766.188,8
ZA5-Ep8,3,794.242,8
ZA6-Ep8,3,849.322,8
ZA1-Ep10,2,765.204,10
ZA2-Ep10,2,849.366,10
ZA3-Ep10,5,1191.93,10
ZA4-Ep10,3,850.35,10
ZA5-Ep10,3,878.404,10
ZA6-Ep10,3,933.484,10
ZA1-Ep12,2,821.312,12
ZA2-Ep12,2,905.474,12
ZA3-Ep12,5,1332.2,12
ZA4-Ep12,3,934.512,12
ZA5-Ep12,3,962.566,12
ZA6-Ep12,3,1017.646,12
ZA1-Ep14,2,877.42,14
ZA3-Ep14,5,1472.47,14
ZA4-Ep14,3,1018.674,14
ZA5-Ep14,3,1046.728,14
ZA6-Ep14,3,1101.808,14
ZA1-Ep16,2,933.528,16
ZA2-Ep16,2,1017.69,16
ZA3-Ep16,5,1612.74,16
ZA4-Ep16,3,1102.836,16
ZA6-Ep16,3,1185.97,16
ZA1-Ep18,2,989.636,18
ZA3-Ep18,5,1753.01,18
ZA4-Ep18,3,1186.998,18
ZA5-Ep18,3,1215.052,18
ZA6-Ep18,3,1270.132,18
ZA1-Ac8,2,821.224,8
ZA2-Ac8,2,905.386,8
ZA3-Ac8,5,1331.98,8
ZA4-Ac8,3,934.38,8
ZA5-Ac8,3,962.434,8
ZA6-Ac8,3,1017.514,8
ZA1-Ac10,2,877.332,10
ZA2-Ac10,2,961.494,10
ZA3-Ac10,5,1472.25,10
ZA4-Ac10,3,1018.542,10
ZA5-Ac10,3,1046.596,10
ZA6-Ac10,3,1101.676,10
ZA1-Ac12,2,933.44,12
ZA2-Ac12,2,1017.602,12
ZA3-Ac12,5,1612.52,12
ZA4-Ac12,3,1102.704,12
ZA5-Ac12,3,1130.758,12
ZA6-Ac12,3,1185.838,12
ZA1-Ac14,2,989.548,14
ZA2-Ac14,2,1073.71,14
ZA3-Ac14,5,1752.79,14
ZA4-Ac14,3,1186.866,14
ZA5-Ac14,3,1214.92,14
ZA6-Ac14,3,1270.0,14
ZA1-Ac16,2,1045.656,16
ZA2-Ac16,2,1129.818,16
ZA3-Ac16,5,1893.06,16
ZA4-Ac16,3,1271.028,16
ZA5-Ac16,3,1299.082,16
ZA6-Ac16,3,1354.162,16
ZA1-Ac18,2,1101.764,18
ZA2-Ac18,2,1185.926,18
ZA3-Ac18,5,2033.33,18
ZA4-Ac18,3,1355.19,18
ZA5-Ac18,3,1383.244,18
ZA6-Ac18,3,1438.324,18
