Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A125_C10,2,10,495.7890000000005,1,1
A125_C11,2,11,523.8430000000005,1,1
A125_C12,2,12,551.8970000000004,1,1
A125_C13,2,13,579.9510000000002,1,1
A125_C14,2,14,608.0050000000001,1,1
A383_C14,3,14,1017.6189999999984,0,2
A342_C14,3,14,927.4939999999986,0,2
A172_C14,2,14,681.1439999999998,0,2
A218_C14,2,14,724.2129999999995,0,3
A96_C14,3,14,893.476999999999,0,2
A60_C14,2,14,625.0360000000001,0,2
A95_C14,3,14,879.449999999999,0,2
A304_C14,3,14,993.6419999999983,0,4
A68_C14,2,14,669.0889999999997,0,2
A69_C14,2,14,713.1419999999995,0,2
A397_C14,2,14,873.3199999999994,0,2
A64_C14,2,14,667.1169999999998,0,2
A61_C14,2,14,653.0899999999999,0,2
A124_C14,3,14,893.476999999999,0,2
A393_C14,4,14,1286.06,0,2
A191_C14,2,14,654.0740000000003,0,1
A116_C14,4,14,1187.9559999999992,0,2
A142_C14,4,14,1187.9559999999992,0,2
A117_C14,4,14,1187.9559999999992,0,2
A233_C14,2,14,665.0570000000001,0,1
A178_C14,2,14,610.0210000000003,0,1
A180_C14,2,14,624.0480000000002,0,1
A187_C14,2,14,666.1290000000001,0,1
A26_C14,2,14,642.0190000000003,0,1
A177_C14,2,14,595.9940000000004,0,1
A183_C14,2,14,624.0480000000003,0,1
A327_C14,2,14,672.0920000000003,0,1
A182_C14,2,14,610.0210000000003,0,1
A184_C14,2,14,624.0480000000002,0,1
A190_C14,2,14,611.9930000000004,0,1
A394_C14,2,14,796.2340000000004,0,1
A384_C14,2,14,720.1360000000004,0,1
A179_C14,2,14,624.0480000000002,0,1
A197_C14,2,14,658.0180000000004,0,1
A194_C14,2,14,654.0740000000003,0,1
A21_C14,2,14,611.9930000000004,0,1
A310_C14,2,14,665.101,0,2
A311_C14,2,14,665.101,0,2
A318_C14,2,14,688.135,0,1
A395_C14,2,14,858.3050000000003,0,1
A344_C14,4,14,1238.015999999999,0,2
A380_C14,4,14,1314.113999999999,0,2
A324_C14,2,14,686.1190000000001,0,1
A358_C14,2,14,683.9810000000004,0,1
A375_C14,4,14,1282.0279999999989,0,2
A335_C14,2,14,742.2270000000001,0,1
A337_C14,2,14,716.1450000000002,0,1
A346_C14,4,14,1209.9619999999995,0,2
A357_C14,2,14,683.9810000000004,0,1
A355_C14,2,14,665.9910000000004,0,1
A353_C14,2,14,665.9910000000004,0,1
A336_C14,2,14,690.0630000000003,0,1
A307_C14,2,14,593.9780000000003,0,1
A316_C14,2,14,648.0700000000002,0,1
A368_C14,2,14,670.0760000000002,0,1
A378_C14,4,14,1286.059999999999,0,2
A379_C14,8,14,2361.800000000001,0,4
A377_C14,2,14,706.1090000000004,0,1
A322_C14,2,14,686.1190000000003,0,1
A329_C14,2,14,672.0920000000003,0,1
A361_C14,2,14,662.0280000000004,0,1
A148_C14,4,14,1195.9349999999993,0,2
A150_C14,4,14,1195.9349999999995,0,2
A398_C14,4,14,1422.2129999999995,0,2
A365_C14,4,14,1312.182999999999,0,2
A382_C14,4,14,1272.0329999999994,0,2
A354_C14,2,14,665.9910000000004,0,1
A349_C14,2,14,648.0010000000004,0,1
A360_C14,2,14,715.9980000000005,0,1
A391_C14,3,14,989.5649999999991,0,2
A146_C14,4,14,1181.9079999999992,0,2
A364_C14,2,14,714.0070000000005,0,1
A363_C14,2,14,696.0170000000005,0,1
A362_C14,2,14,678.0270000000004,0,1
A388_C14,2,14,740.0980000000004,0,1
A389_C14,4,14,1274.0049999999994,0,2
A387_C14,2,14,722.1080000000004,0,1
A333_C14,2,14,758.2259999999999,0,1
A308_C14,2,14,608.0050000000002,0,1
A373_C14,4,14,1270.0169999999994,0,2
A372_C14,2,14,684.1030000000001,0,1
A371_C14,2,14,688.0470000000003,0,1
A370_C14,2,14,674.0200000000003,0,1
A374_C14,2,14,730.1310000000003,0,1
A367_C14,2,14,670.0760000000002,0,1
A396_C14,4,14,1358.1259999999995,0,2
A376_C14,2,14,706.1090000000004,0,1
A359_C14,2,14,698.0080000000005,0,1
A147_C14,4,14,1195.9349999999995,0,2
A348_C14,2,14,648.0010000000004,0,1
A127_C14,4,14,1187.9559999999992,0,2
A145_C14,4,14,1181.9079999999992,0,2
A149_C14,4,14,1195.934999999999,0,2
A330_C14,2,14,688.0910000000003,0,1
A390_C14,2,14,736.1350000000003,0,1
A369_C14,2,14,670.0760000000001,0,1
A151_C14,4,14,1231.9679999999996,0,2
A312_C14,2,14,636.0590000000001,0,1
A323_C14,2,14,686.1190000000003,0,1
A328_C14,2,14,672.0920000000003,0,1
A381_C14,2,14,720.1360000000003,0,1
A392_C14,3,14,989.5649999999991,0,2
A325_C14,2,14,660.0370000000004,0,1
A386_C14,2,14,722.1080000000004,0,1
A332_C14,2,14,674.0640000000003,0,1
A317_C14,2,14,664.1129999999999,0,1
A236_C14,2,14,651.0740000000001,0,2
A153_C14,6,14,1736.7690000000002,0,3
A230_C14,2,14,701.0900000000003,0,1
A300_C14,2,14,667.1170000000001,0,2
A33_C14,2,14,640.0470000000003,0,1
A181_C14,2,14,610.0210000000003,0,1
A188_C14,2,14,624.0480000000002,0,1
A305_C14,4,14,1147.890999999999,0,2
A189_C14,2,14,666.129,0,1
A13_C14,2,14,642.0190000000003,0,1
A22_C14,2,14,626.0200000000003,0,1
A315_C14,4,14,1244.063999999999,0,2
A319_C14,2,14,702.1619999999999,0,1
A339_C14,2,14,718.1170000000002,0,1
A356_C14,2,14,680.0180000000004,0,1
A155_C14,4,14,1216.0099999999993,0,2
A143_C14,4,14,1216.0099999999993,0,2
A347_C14,4,14,1209.9619999999993,0,2
A351_C14,2,14,662.0280000000004,0,1
A343_C14,4,14,1195.9349999999993,0,2
A314_C14,2,14,650.086,0,1
A350_C14,2,14,662.0280000000004,0,1
A345_C14,4,14,1195.9349999999995,0,2
A326_C14,2,14,674.0640000000003,0,1
A334_C14,2,14,688.0910000000002,0,1
A232_C14,2,14,651.0740000000001,0,2
A154_C14,3,14,905.487999999999,0,2
A15_C14,2,14,638.0310000000002,0,1
A234_C14,2,14,665.101,0,2
A7_C14,2,14,668.0570000000002,0,1
A231_C14,2,14,648.0300000000002,0,1
A238_C14,3,14,962.5399999999988,0,2
A186_C14,2,14,638.0750000000002,0,1
A185_C14,2,14,624.0480000000002,0,1
A385_C14,2,14,748.1900000000003,0,1
A131_C14,2,14,678.14,0,1
A132_C14,2,14,692.1669999999999,0,1
A338_C14,2,14,718.1170000000002,0,1
A331_C14,2,14,688.0910000000002,0,1
A352_C14,2,14,676.0550000000003,0,1
A6_C14,2,14,654.0300000000002,0,1
A108_C14,2,14,681.1440000000001,0,2
A78_C14,2,14,625.0360000000002,0,2
A503_C14,4,14,1262.082999999999,0,4
A500_C14,4,14,1248.055999999999,0,4
A113_C14,4,14,1190.9599999999991,0,3
A501_C14,4,14,1276.109999999999,0,4
A301_C14,3,14,907.5039999999992,0,2
A340_C14,3,14,941.5209999999992,0,2
A341_C14,3,14,955.5479999999992,0,2
A99_C14,4,14,1133.863999999999,0,2
A123_C14,3,14,964.5999999999988,0,3
A114_C14,5,14,1445.3739999999996,0,3
A98_C14,6,14,1756.8840000000002,0,4
A111_C14,7,14,2068.394000000001,0,5
A156_C14,8,14,2379.904000000002,0,6
A200_C14,5,14,1557.5499999999995,0,5
A115_C14,4,14,1345.256999999999,0,3
A110_C14,6,14,1756.8840000000002,0,4
A86_C14,2,14,685.0880000000001,0,2
A76_C14,2,14,651.074,0,2
A82_C14,2,14,665.1009999999999,0,2
A205_C14,3,14,934.5299999999988,0,3
A502_C14,4,14,1246.0399999999993,0,4
A90_C14,2,14,667.073,0,2
A75_C14,2,14,653.09,0,2
A168_C14,2,14,595.9940000000003,0,1
A173_C14,3,14,921.5309999999988,0,2
A169_C14,2,14,610.0210000000002,0,1
A320_C14,2,14,672.0919999999996,0,1
A170_C14,2,14,624.0480000000001,0,1
A321_C14,2,14,686.1189999999996,0,1
A171_C14,2,14,638.075,0,1
A157_C14,4,14,1218.0259999999992,0,2
A175_C14,5,14,1557.5899999999997,0,3
A36_C14,2,14,654.0739999999998,0,1
A32_C14,2,14,640.0469999999999,0,1
A220_C14,2,14,729.1879999999994,0,2
A221_C14,2,14,708.1699999999996,0,3
A28_C14,2,14,626.02,0,1
A80_C14,2,14,639.063,0,2
A303_C14,3,14,964.5999999999984,0,3
A306_C14,4,14,1219.013999999999,0,3
A81_C14,2,14,667.1169999999998,0,2
A100_C14,4,14,1147.890999999999,0,2
A174_C14,5,14,1473.4279999999997,0,3
A112_C14,5,14,1459.4009999999996,0,3
A121_C14,6,14,1770.9110000000005,0,4
A176_C14,6,14,1798.965,0,4
A237_C14,2,14,722.1969999999995,0,3
A313_C14,4,14,1274.093999999999,0,4
A93_C14,2,14,662.0569999999997,0,1
A91_C14,2,14,681.0999999999998,0,2
A20_C14,2,14,611.993,0,1
A198_C14,2,14,654.0739999999998,0,1
A1_C14,2,14,626.02,0,1
A162_C14,4,14,1278.077999999999,0,2
A161_C14,4,14,1294.076999999999,0,2
A199_C14,2,14,709.198,0,2
A62_C14,2,14,681.1440000000001,0,2
A166_C14,2,14,597.9660000000001,0,1
A109_C14,3,14,909.4759999999987,0,2
