Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
1-a2-6,2,6,463.6630000000004
1-a2-6b,2,5,463.6630000000003
1-a2-7,2,7,491.7170000000005
1-a2-7b,2,6,491.7170000000005
1-a2-7b2,2,5,491.7170000000005
1-a2-8,2,8,519.7710000000005
1-a2-8b,2,7,505.7440000000004
1-a2-9,2,9,547.8250000000005
1-a2-9b,2,8,547.8250000000004
1-a2-9b2,2,7,547.8250000000004
1-a3-6b,3,5,591.8340000000002
1-a3-7b,3,6,633.9150000000002
1-a3-7b2,3,5,633.9150000000002
1-a3-8b,3,7,675.9960000000001
1-a3-9b2,3,7,718.077
2-a2-6,2,6,491.7170000000005
2-a2-6b,2,5,491.7170000000004
2-a2-7,2,7,519.7710000000005
2-a2-7b,2,6,519.7710000000005
2-a2-7b2,2,5,519.7710000000005
2-a2-8,2,8,547.8250000000005
2-a2-8b,2,7,533.7980000000005
2-a2-9,2,9,575.8790000000004
2-a2-9b,2,8,575.8790000000002
2-a2-9b2,2,7,575.8790000000002
2-a3-6b,3,5,619.8880000000003
2-a3-7b,3,6,661.9690000000002
2-a3-7b2,3,5,661.9690000000002
2-a3-8b,3,7,704.0500000000001
2-a3-9b2,3,7,746.1309999999999
3-a2-6,2,6,518.7430000000006
3-a2-6b,2,5,518.7430000000005
3-a2-7,2,7,546.7970000000005
3-a2-7b,2,6,546.7970000000005
3-a2-7b2,2,5,546.7970000000005
3-a2-8,2,8,574.8510000000003
3-a2-8b,2,7,560.8240000000003
3-a2-9,2,9,602.9050000000002
3-a2-9b,2,8,602.9050000000002
3-a2-9b2,2,7,602.9050000000002
3-a3-6b,3,5,646.9140000000002
3-a3-7b,3,6,688.9950000000001
3-a3-7b2,3,5,688.9950000000001
3-a3-8b,3,7,731.0759999999999
3-a3-9b2,3,7,773.1569999999997
4-a2-6,2,6,546.7970000000005
4-a2-6b,2,5,546.7970000000004
4-a2-7,2,7,574.8510000000003
4-a2-7b,2,6,574.8510000000002
4-a2-7b2,2,5,574.8510000000002
4-a2-8,2,8,602.9050000000002
4-a2-8b,2,7,588.8780000000004
4-a2-9,2,9,630.9590000000001
4-a2-9b,2,8,630.9590000000002
4-a2-9b2,2,7,630.9590000000002
4-a3-6b,3,5,674.9680000000002
4-a3-7b,3,6,717.049
4-a3-7b2,3,5,717.049
4-a3-8b,3,7,759.1299999999998
4-a3-9b2,3,7,801.2109999999996
5-a2-6,2,6,434.6210000000003
5-a2-6b,2,5,434.62100000000027
5-a2-7,2,7,462.6750000000004
5-a2-7b,2,6,462.6750000000003
5-a2-7b2,2,5,462.6750000000003
5-a2-8,2,8,490.7290000000005
5-a2-8b,2,7,476.70200000000034
5-a2-9,2,9,518.7830000000006
5-a2-9b,2,8,518.7830000000005
5-a2-9b2,2,7,518.7830000000005
5-a3-6b,3,5,562.7920000000003
5-a3-7b,3,6,604.8730000000002
5-a3-7b2,3,5,604.8730000000002
5-a3-8b,3,7,646.9540000000001
5-a3-9b2,3,7,689.035
6-a2-6,2,6,448.6480000000004
6-a2-6b,2,5,448.64800000000025
6-a2-7,2,7,476.7020000000004
6-a2-7b,2,6,476.70200000000034
6-a2-7b2,2,5,476.70200000000034
6-a2-8,2,8,504.7560000000005
6-a2-8b,2,7,490.7290000000004
6-a2-9,2,9,532.8100000000005
6-a2-9b,2,8,532.8100000000005
6-a2-9b2,2,7,532.8100000000005
6-a3-6b,3,5,576.8190000000002
6-a3-7b,3,6,618.9000000000002
6-a3-7b2,3,5,618.9000000000002
6-a3-8b,3,7,660.9810000000001
6-a3-9b2,3,7,703.062
7-a2-6,2,6,462.6750000000004
7-a2-6b,2,5,462.6750000000003
7-a2-7,2,7,490.7290000000005
7-a2-7b,2,6,490.7290000000005
7-a2-7b2,2,5,490.7290000000005
7-a2-8,2,8,518.7830000000006
7-a2-8b,2,7,504.7560000000004
7-a2-9,2,9,546.8370000000004
7-a2-9b,2,8,546.8370000000004
7-a2-9b2,2,7,546.8370000000004
