Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
zhang,6.5,1,26.6,24.2,DSPC,7.027330447330451,23.424434824434837,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.432150072150075,24.773833573833585,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.836969696969701,26.12323232323234,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.241789321789323,27.47263107263108,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.646608946608948,28.82202982202983,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,9.456248196248197,31.520827320827323,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,6.091738816738815,20.30579605579605,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,6.445955988455988,21.48651996151996,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,6.800173160173161,22.667243867243872,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.154390331890333,23.847967772967777,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.870360750360746,29.567869167869155,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,4.974761904761908,16.582539682539693,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,5.2277741702741745,17.425913900913915,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,5.48078643578644,18.269288119288134,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,5.7337987012987055,19.112662337662353,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,5.986810966810971,19.956036556036572,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,6.492835497835501,21.642784992785003,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.393755411255407,27.979184704184693,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.899779942279942,29.66593314093314,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,9.405804473304473,31.352681577681576,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,9.23961038961039,30.7987012987013,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,6.554274891774891,21.84758297258297,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.363914141414143,24.546380471380477,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.042521645021649,23.475072150072165,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.447341269841275,24.824470899470917,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,7.852160894660901,26.173869648869672,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,8.256980519480525,27.523268398268417,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,3.244880952380951,10.816269841269838,3.3333333333333335
zhang,6.5,1,26.6,24.2,DSPC,3.4472907647907625,11.490969215969209,3.3333333333333335
