Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
AM-C10,10,8.0,1947.9760000000008,0,4
AM-C11,11,8.0,2060.192000000001,0,4
AM-C12,12,8.0,2172.4080000000013,0,4
AM-C13,13,8.0,2284.6240000000003,0,4
AM-C14,14,8.0,2396.8400000000006,0,4
AM-C16,16,8.0,2621.272,0,4
GN-C10,10,7.0,1688.6299999999994,0,4
GN-C11,11,7.0,1786.819,0,4
GN-C12,12,7.0,1885.0080000000005,0,4
GN-C13,13,7.0,1983.1970000000003,0,4
PR-C11,11,10.0,2458.8639999999987,0,5
HG-C10,10,5.0,1379.0040000000008,0,3
HG-C11,11,5.0,1449.139000000001,0,3
HG-C12,12,5.0,1519.274000000001,0,3
HG-C13,13,5.0,1589.4090000000012,0,3
HG-C14,14,5.0,1659.5440000000012,0,3
HG-C16,16,5.0,1799.8140000000008,0,3
KN-C11,11,10.0,2326.748999999999,0,5
KN-C12,12,10.0,2467.019,0,5
KN-C13,13,10.0,2607.2889999999993,0,5
AP-C14,14,9.0,2561.22,0,5
RB-C10,10,8.0,1816.845,0,4
RB-C12,12,8.0,2041.2770000000005,0,4
GT-C11,11,8.0,1952.1870000000013,0,5
GT-C12,12,8.0,2064.4030000000016,0,5
GT-C13,13,8.0,2176.619000000002,0,5
GT-C14,14,8.0,2288.8350000000014,0,5
ST-C11,11,4.0,899.4809999999997,0,2
ST-C12,12,4.0,955.5889999999994,0,2
