Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
4A3-SC2,4,1298.886,4,0,3
4A1-SC4,4,1297.858,4,0,4
4A3-SC5,4,1298.886,5,0,3
3A3-SC6,3,1066.585,6,0,3
4A3-SC6,4,1354.994,6,0,3
3A3-SC7,3,1108.666,7,0,3
3A5-SC7,3,1137.708,7,0,4
4A1-SC7,4,1466.182,7,0,4
4A3-SC7,4,1411.102,7,0,3
3A3-SC8,3,1150.747,8,0,3
3A5-SC8,3,1179.789,8,0,4
4A3-SC8,4,1467.21,8,0,3
3A3-SC9,3,1192.828,9,0,3
3A5-SC9,3,1221.87,9,0,4
4A1-SC9,4,1578.398,9,0,4
4A3-SC9,4,1523.318,9,0,3
3A3-SC10,3,1234.909,10,0,3
3A5-SC10,3,1263.951,10,0,4
4A1-SC10,4,1634.506,10,0,4
3A3-SC11,3,1276.99,11,0,3
3A5-SC11,3,1306.032,11,0,4
4A1-SC11,4,1690.614,11,0,4
4A3-SC11,4,1635.534,11,0,3
3A3-SC12,3,1319.071,12,0,3
3A5-SC12,3,1348.113,12,0,4
4A1-SC12,4,1746.722,12,0,4
4A3-SC12,4,1691.642,12,0,3
2A1-SC14,2,957.523,14,0,2
2A2-SC14,2,986.565,14,0,3
2A5-SC14,2,943.496,14,0,2
2A6-SC14,2,957.523,14,0,2
2A9-SC14,2,917.458,14,0,2
3A3-SC14,3,1403.233,14,0,3
3A5-SC14,3,1432.275,14,0,4
2A4-SC1,2,670.935,3,0,1
4A1-SC1,4,1297.858,3,0,4
4A3-SC1,4,1242.778,3,0,3
6A2-SC1,6,1834.611,3,0,4
6A3-SC1,6,1792.53,3,0,4
2H3-SC1,2,734.119,3,0,1
1A1-SC2,1,388.574,4,0,2
4A1-SC2,4,1353.966,4,0,4
6A2-SC2,6,1918.773,4,0,4
6A3-SC2,6,1876.692,4,0,4
6A3-SC3,6,1876.692,3,0,4
2H4-SC3,2,790.227,3,0,1
1A1-SC4,1,374.547,4,0,2
3A3-SC4,3,982.423,4,0,3
4A3-SC4,4,1242.778,4,0,3
5A3-SC4,5,1560.229,4,0,4
6A3-SC4,6,1792.53,4,0,4
2A3-SC5,2,705.037,5,0,2
3A3-SC5,3,1024.504,5,0,3
4A1-SC5,4,1353.966,5,0,4
5A1-SC5,5,1573.268,5,0,3
5A3-SC5,5,1630.364,5,0,4
5A4-SC5,5,1588.283,5,0,4
6A1-SC5,6,1919.761,5,0,5
6A3-SC5,6,1876.692,5,0,4
2H4-SC5,2,790.227,5,0,1
5A4-SC6,5,1658.418,6,0,4
1A1-SC7,1,416.628,7,0,2
4A4-SC7,4,1414.058,7,0,2
5A1-SC7,5,1713.538,7,0,3
5A2-SC7,5,1771.622,7,0,5
5A3-SC7,5,1770.634,7,0,4
5A4-SC7,5,1728.553,7,0,4
6A1-SC7,6,2088.085,7,0,5
6A2-SC7,6,2087.097,7,0,4
6A3-SC7,6,2045.016,7,0,4
1A3-SC8,1,460.681,8,0,2
2A1-SC8,2,789.199,8,0,2
5A1-SC8,5,1783.673,8,0,3
5A2-SC8,5,1841.757,8,0,5
5A3-SC8,5,1840.769,8,0,4
5A4-SC8,5,1798.688,8,0,4
6A1-SC8,6,2172.247,8,0,5
6A2-SC8,6,2171.259,8,0,4
1H3-SC8,1,628.061,8,0,1
5A3-SC9,5,1910.904,9,0,4
5A4-SC9,5,1868.823,9,0,4
6A3-SC9,6,2213.34,9,0,4
4A3-SC10,4,1579.426,10,0,3
5A1-SC10,5,1923.943,10,0,3
5A4-SC10,5,1938.958,10,0,4
6A1-SC10,6,2340.571,10,0,5
6A2-SC10,6,2339.583,10,0,4
6A3-SC10,6,2297.502,10,0,4
4A4-SC11,4,1638.49,11,0,2
5A2-SC11,5,2052.162,11,0,5
5A3-SC11,5,2051.174,11,0,4
6A2-SC11,6,2423.745,11,0,4
6A3-SC11,6,2381.664,11,0,4
5A1-SC12,5,2064.213,12,0,3
5A2-SC12,5,2122.297,12,0,5
5A4-SC12,5,2079.228,12,0,4
6A1-SC12,6,2508.895,12,0,5
6A2-SC12,6,2507.907,12,0,4
6A3-SC12,6,2465.826,12,0,4
2A3-SC14,2,957.523,14,0,2
4A1-SO5,4,1369.742,0,0,4
5A3-SO6,5,1570.089,0,0,4
6A3-SO7,6,1888.524,0,0,4
