Experiment_ID,Cargo_type,Model_type,Experiment_weight
Xue_CAD_LNP,mRNA,HeLa,1.0
Yu_Aminoglycoside,mRNA,IGROV1,1.0
Lee_unsat,mRNA,IGROV1,1.0
Zhang_Aminoglycoside,siRNA,HeLa,1.0
Farbiak_Dendrimer_HeLa,mRNA,HeLa,0.15
Farbiak_Dendrimer_igrov1,mRNA,IGROV1,0.15
Han_amidine,mRNA,HepG2,1.0
Han_branched,mRNA,HepG2,0.33
Han_a3,mRNA,HepG2,1.0
Lin_peptide,mRNA,MDA_MB,1.0
Liu_iphos,mRNA,IGROV1,0.5
AGILE,mRNA,HeLa,1.0
Li_pulmonary,mRNA,A549,1.0
Miao_3CR,mRNA,HeLa,1.0
Li_3CR,mRNA,HeLa,1.0
Whitehead_siRNA,siRNA,HeLa,1.0
Zhou_dendrimer,siRNA,HeLa,0.5
