fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.22866,0.22972,0.23191,6.0
0,ndcg@k_e_rand,0.17522,0.17202,0.16875,6.0
0,ndcg_full,0.67151,0.69126,0.7125,6.0
0,ndcg_full_rand,0.63349,0.66122,0.68962,6.0
0,ndcg@3,0.21429,0.19081,0.17102,6.0
0,ndcg@3_rand,0.12153,0.11567,0.11014,6.0
0,ndcg@5,0.19158,0.18013,0.17485,6.0
0,ndcg@5_rand,0.12523,0.11739,0.11066,6.0
0,ndcg@10,0.17924,0.16603,0.15604,6.0
0,ndcg@10_rand,0.13614,0.12398,0.11414,6.0
0,hit_rate@3,0.11111,0.0875,0.05376,6.0
0,hit_rate@3_rand,0.0275,0.02177,0.01588,6.0
0,hit_rate@5,0.06667,0.0525,0.03226,6.0
0,hit_rate@5_rand,0.027,0.02142,0.0157,6.0
0,hit_rate@10,0.05,0.03962,0.0245,6.0
0,hit_rate@10_rand,0.0273,0.0215,0.01548,6.0
0,spearman,0.11262,0.09922,0.08848,6.0
0,pearson,0.14966,0.13074,0.11694,6.0
0,pairwise_acc,0.54263,0.53636,0.53118,6.0
,,,,,
1,ndcg@k_e,0.30141,0.32763,0.35428,5.0
1,ndcg@k_e_rand,0.16358,0.16642,0.16755,5.0
1,ndcg_full,0.7142,0.73694,0.75358,5.0
1,ndcg_full_rand,0.65206,0.67411,0.68547,5.0
1,ndcg@3,0.27262,0.30957,0.34536,5.0
1,ndcg@3_rand,0.10465,0.10443,0.10427,5.0
1,ndcg@5,0.27649,0.30427,0.33354,5.0
1,ndcg@5_rand,0.10717,0.10614,0.10563,5.0
1,ndcg@10,0.27066,0.29242,0.31701,5.0
1,ndcg@10_rand,0.11278,0.10864,0.10679,5.0
1,hit_rate@3,0.13333,0.17292,0.20285,5.0
1,hit_rate@3_rand,0.01693,0.01342,0.01155,5.0
1,hit_rate@5,0.12,0.1568,0.18531,5.0
1,hit_rate@5_rand,0.0174,0.01412,0.01238,5.0
1,hit_rate@10,0.1,0.13028,0.15351,5.0
1,hit_rate@10_rand,0.01714,0.01378,0.01205,5.0
1,spearman,0.18019,0.15771,0.15774,5.0
1,pearson,0.22338,0.21916,0.23077,5.0
1,pairwise_acc,0.57449,0.55883,0.55529,5.0
,,,,,
2,ndcg@k_e,0.28657,0.28136,0.27583,9.0
2,ndcg@k_e_rand,0.17738,0.17729,0.17749,9.0
2,ndcg_full,0.66666,0.67005,0.67244,9.0
2,ndcg_full_rand,0.60467,0.60998,0.61475,9.0
2,ndcg@3,0.2122,0.19587,0.17484,9.0
2,ndcg@3_rand,0.13326,0.13327,0.13318,9.0
2,ndcg@5,0.19038,0.17182,0.15008,9.0
2,ndcg@5_rand,0.13509,0.13397,0.13315,9.0
2,ndcg@10,0.24877,0.24044,0.23055,9.0
2,ndcg@10_rand,0.14976,0.14486,0.14114,9.0
2,hit_rate@3,0.11111,0.10336,0.08986,9.0
2,hit_rate@3_rand,0.0473,0.05027,0.05269,9.0
2,hit_rate@5,0.08889,0.08019,0.06747,9.0
2,hit_rate@5_rand,0.04653,0.04925,0.0515,9.0
2,hit_rate@10,0.12222,0.13833,0.15105,9.0
2,hit_rate@10_rand,0.04708,0.05001,0.05245,9.0
2,spearman,0.22881,0.21325,0.198,9.0
2,pearson,0.24129,0.2288,0.21678,9.0
2,pairwise_acc,0.60146,0.59799,0.59454,9.0
,,,,,
3,ndcg@k_e,0.29693,0.39837,0.4747,6.0
3,ndcg@k_e_rand,0.16305,0.16621,0.16861,6.0
3,ndcg_full,0.65674,0.72051,0.76985,6.0
3,ndcg_full_rand,0.60822,0.64318,0.67201,6.0
3,ndcg@3,0.26576,0.3881,0.48732,6.0
3,ndcg@3_rand,0.11321,0.1086,0.10701,6.0
