cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JL_2024,623,4,0.13822,0.64076,0.03352,0.02423,0.02564,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,-0.05287,-0.01743,0.4794
0,JW_2024,1801,4,0.25231,0.7576,0.1676,0.19823,0.16582,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.09901,0.12437,0.53358
0,LX_2024_2,270,4,0.15284,0.61234,0.10934,0.09776,0.15226,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.1,0.0328,0.02116,0.04305,0.50651
0,NC_2024,260,4,0.37484,0.72535,0.53072,0.40231,0.35881,0.16789,0.60428,0.11373,0.11665,0.12764,0.06041,0.66667,0.028,0.4,0.0292,0.2,0.0318,0.35539,0.37287,0.62307
0,SW_2024,180,4,0.30666,0.70183,0.23464,0.24668,0.22781,0.21892,0.64381,0.17211,0.16902,0.18202,0.07838,0.0,0.04567,0.0,0.0428,0.0,0.0426,0.21099,0.23937,0.59947
0,XH_2024_2,90,4,0.14708,0.5912,0.2099,0.18026,0.14511,0.16484,0.55745,0.11762,0.13955,0.17418,0.09855,0.0,0.03367,0.0,0.034,0.0,0.0323,0.04201,0.13576,0.51372
1,BL_2023,720,4,0.14838,0.663,0.10934,0.16037,0.14513,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.00176,0.00151,0.5005
1,JL_2024,623,4,0.11072,0.64488,0.0,0.02087,0.05407,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,-0.00767,0.03903,0.49868
1,KW_2014,1182,4,0.63919,0.86436,0.69673,0.69735,0.62598,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.29904,0.46041,0.60082
1,LL_2012,112,4,0.28091,0.63061,0.22745,0.26565,0.27907,0.14338,0.52185,0.10551,0.11346,0.14031,0.09333,0.0,0.037,0.0,0.0362,0.0,0.0369,0.43399,0.38954,0.71429
