cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JL_2024,623,4,0.1559,0.65003,0.0,0.0,0.03884,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.00776,0.03285,0.50488
0,JW_2024,1801,4,0.1703,0.74781,0.0,0.0771,0.10863,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.14517,0.16216,0.54889
0,LX_2024_2,270,4,0.20275,0.60279,0.07582,0.07354,0.12584,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.1,0.0328,-0.04503,-0.03088,0.48554
0,NC_2024,260,4,0.5255,0.81271,0.76536,0.63024,0.53253,0.16789,0.60428,0.11373,0.11665,0.12764,0.06041,0.66667,0.028,0.4,0.0292,0.3,0.0318,0.3408,0.37344,0.61803
0,SW_2024,180,4,0.14355,0.61158,0.10056,0.07268,0.06117,0.21892,0.64381,0.17211,0.16902,0.18202,0.07838,0.0,0.04567,0.0,0.0428,0.0,0.0426,-0.04801,-0.044,0.47735
0,XH_2024_2,90,4,0.45007,0.7458,0.59617,0.53426,0.45743,0.16484,0.55745,0.11762,0.13955,0.17418,0.09855,0.33333,0.03367,0.2,0.034,0.1,0.0323,-0.02858,0.08597,0.4888
1,BL_2023,720,4,0.15938,0.67193,0.14286,0.14286,0.11171,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.02122,0.02327,0.5067
1,JL_2024,623,4,0.20681,0.67324,0.10056,0.09354,0.08009,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.01561,0.06814,0.50651
1,KW_2014,1182,4,0.70153,0.86882,0.69673,0.69735,0.62508,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.25272,0.46833,0.58547
1,LL_2012,112,4,0.40143,0.69898,0.42857,0.41819,0.4155,0.14338,0.52185,0.10551,0.11346,0.14031,0.09333,0.33333,0.037,0.2,0.0362,0.1,0.0369,0.49915,0.45753,0.74717
1,LM_2019,1080,4,0.32878,0.76152,0.10934,0.09776,0.15583,0.16619,0.70283,0.10687,0.10624,0.1051,0.03887,0.0,0.01167,0.0,0.0106,0.0,0.0095,0.16671,0.23732,0.55557
2,AA_2008,497,4,0.24073,0.50418,0.0,0.01874,0.02833,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.0,0.01067,0.0,0.011,0.0,0.0099,0.17328,0.19124,0.63157
2,JC_2023,288,4,0.32493,0.7375,0.79888,0.65872,0.43794,0.16875,0.61408,0.14202,0.13857,0.13641,0.06088,0.66667,0.05667,0.4,0.0542,0.2,0.0506,0.18108,0.21403,0.56037
2,KS_2024,140,4,0.63579,0.83548,0.69673,0.54316,0.65376,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.33333,0.034,0.2,0.0358,0.2,0.0355,0.67535,0.68397,0.74074
2,LX_2024_2,270,4,0.07718,0.57461,0.06704,0.04845,0.07485,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.06046,-0.06391,0.48166
2,SL_2021,572,4,0.09892,0.66449,0.06704,0.04845,0.07413,0.22963,0.7172,0.15224,0.15074,0.15211,0.04223,0.0,0.02467,0.0,0.0222,0.0,0.024,-0.31133,-0.28847,0.34485
2,SW_2024,180,4,0.27141,0.67978,0.20112,0.20796,0.21946,0.21892,0.64381,0.17211,0.16902,0.18202,0.07838,0.0,0.04567,0.0,0.0428,0.0,0.0426,0.08725,0.11002,0.54057
2,XH_2024_2,90,4,0.10342,0.5479,0.0,0.04707,0.10204,0.16484,0.55745,0.11762,0.13955,0.17418,0.09855,0.0,0.03367,0.0,0.034,0.0,0.0323,0.05615,0.08945,0.52228
2,XH_2025,500,3,0.58991,0.83853,0.39664,0.45148,0.57685,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.33333,0.15067,0.4,0.1492,0.6,0.1532,0.49588,0.52445,0.75209
2,YY_2023,119,4,0.20008,0.62838,0.10056,0.11229,0.1695,0.18984,0.59981,0.14011,0.14139,0.18029,0.0846,0.0,0.03933,0.0,0.0408,0.0,0.0428,0.4392,0.34595,0.70914
3,BL_2023_3CR,480,4,0.29858,0.7525,0.14286,0.12199,0.12868,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.24283,0.2338,0.60468
3,JM_2016,72,4,0.12602,0.55455,0.0,0.13121,0.15973,0.17209,0.57406,0.16567,0.16443,0.19468,0.11279,0.0,0.085,0.2,0.0816,0.1,0.0831,-0.02213,0.02143,0.48611
3,KW_2014,1182,4,0.63842,0.8645,0.56265,0.60045,0.56219,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.36606,0.52008,0.62452
3,LX_2024,180,4,0.14779,0.57229,0.07582,0.09441,0.13278,0.16758,0.58624,0.12058,0.12085,0.14143,0.07163,0.0,0.03567,0.0,0.036,0.0,0.0342,0.02805,0.00651,0.51103
3,YR_2024,286,3,0.25503,0.47219,0.06704,0.19452,0.19121,0.06953,0.34465,0.03424,0.03385,0.04284,0.07247,0.0,0.026,0.2,0.0256,0.1,0.024,0.26948,0.27103,0.7815
3,YX_2024,1200,4,0.47453,0.80008,0.62969,0.60116,0.44577,0.16626,0.71065,0.10692,0.1068,0.10618,0.03731,0.33333,0.01,0.4,0.0096,0.2,0.0095,0.04969,0.08979,0.51629
4,JW_2024,1801,4,0.22271,0.75688,0.14286,0.12411,0.08963,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.19207,0.20803,0.56443
4,SL_2020,91,4,0.58332,0.82642,0.59776,0.51336,0.57595,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.3,0.0822,0.49227,0.5022,0.72249
4,SL_2021,572,4,0.02565,0.6534,0.0,0.0,0.0,0.22963,0.7172,0.15224,0.15074,0.15211,0.04223,0.0,0.02467,0.0,0.0222,0.0,0.024,-0.30334,-0.26995,0.35003
4,XH_2025,500,3,0.60036,0.86257,1.0,0.88754,0.741,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,1.0,0.15067,0.8,0.1492,0.6,0.1532,0.42658,0.44282,0.71603
4,YY_2023,119,4,0.31537,0.67546,0.34398,0.3257,0.32483,0.18984,0.59981,0.14011,0.14139,0.18029,0.0846,0.33333,0.03933,0.2,0.0408,0.1,0.0428,0.39144,0.31338,0.68048
