feature,mean_gain
chemberta_124,270.1218292236328
Model_type_HepG2,233.308935546875
num_protonatable_nitrogens,209.03868522644044
LogP,208.58272552490234
Dose_ug_nucleicacid,174.5964569091797
chemberta_189,153.9360580444336
mgk_19,153.01517715454102
chemberta_116,152.84753875732423
PEG_molratio,151.5482604980469
chemberta_178,149.6328384399414
mgk_15,146.31247329711914
chemberta_140,145.97277603149413
chemberta_72,135.5319679260254
chemberta_172,134.2072551727295
chemberta_39,122.28318786621094
mgk_16,116.75229301452637
mgk_1,112.75654525756836
chemberta_46,112.46056442260742
chemberta_248,110.69431610107422
chemberta_160,109.40114288330078
chemberta_120,107.20525283813477
chemberta_207,106.09236755371094
Model_type_A549,105.9654327392578
mgk_36,104.27215824127197
mgk_5,101.80404777526856
mgk_0,98.34794235229492
chemberta_371,97.45306167602538
chemberta_65,97.25311813354492
mgk_40,94.73623733520508
Model_type_HeLa,92.95341339111329
chemberta_123,92.8732406616211
chemberta_149,92.65363464355468
chemberta_141,92.08090438842774
mgk_23,90.36583061218262
mgk_46,89.55609092712402
chemberta_328,89.1684440612793
chemberta_30,88.55241622924805
chemberta_53,86.53213348388672
mgk_47,85.79346084594727
chemberta_301,85.7229061126709
chemberta_256,85.47691650390625
chemberta_240,84.56646881103515
chemberta_243,84.48237609863281
chemberta_13,81.31247100830078
chemberta_354,79.37712860107422
chemberta_201,79.31458854675293
chemberta_300,78.49712791442872
chemberta_304,77.4341667175293
mgk_20,76.83182258605957
chemberta_176,76.78575134277344
mgk_8,75.92866172790528
chemberta_190,74.91133575439453
mgk_18,74.60439605712891
chemberta_222,74.35002288818359
mgk_30,74.29996604919434
chemberta_114,74.21395225524903
chemberta_66,73.87535247802734
CHL_molratio,73.31528167724609
mgk_26,73.28789138793945
chemberta_312,72.64709396362305
mgk_6,71.8709545135498
mgk_39,71.61714706420898
chemberta_74,71.08751029968262
chemberta_184,70.69657402038574
Num_carbon_in_tail,69.45462265014649
mgk_32,68.93895606994629
chemberta_249,68.82915420532227
chemberta_381,68.80270156860351
mgk_22,68.7247703552246
chemberta_22,68.49303302764892
mgk_27,67.70772323608398
mgk_35,65.92744140625
mgk_54,65.47469596862793
mgk_38,65.18395462036133
chemberta_347,64.7877426147461
Model_type_IGROV1,63.7952880859375
chemberta_247,63.644097900390626
chemberta_70,63.51822357177734
mgk_60,63.50806999206543
chemberta_376,62.786851501464845
chemberta_334,62.652299880981445
mgk_25,62.05543231964111
chemberta_157,62.0081371307373
chemberta_28,61.8629150390625
mgk_24,61.51693878173828
chemberta_50,61.485694885253906
chemberta_67,61.452544403076175
chemberta_330,60.458642578125
chemberta_305,57.80466651916504
chemberta_291,57.577474975585936
chemberta_365,57.43921546936035
mgk_50,57.42746353149414
chemberta_199,56.96739616394043
mgk_58,56.6072494506836
mgk_4,56.182574081420896
mgk_45,56.10450439453125
chemberta_62,56.04540252685547
chemberta_6,55.78020067214966
chemberta_45,55.032630920410156
chemberta_202,54.6807861328125
mgk_10,54.604228019714355
chemberta_319,54.45004997253418
chemberta_95,54.30766906738281
HL_name_DSPC,53.526406860351564
chemberta_363,53.207611846923825
chemberta_150,52.72009811401367
chemberta_288,52.689642333984374
mgk_12,52.68640022277832
chemberta_143,52.41531600952148
chemberta_103,52.187812423706056
chemberta_306,51.47579574584961
mgk_29,51.269900512695315
chemberta_122,50.80411148071289
chemberta_366,50.77524871826172
mgk_9,50.64027900695801
chemberta_336,50.44847068786621
chemberta_325,50.35999870300293
chemberta_109,50.31792526245117
mgk_3,50.16593017578125
mgk_31,50.11660995483398
chemberta_115,50.03425827026367
chemberta_195,49.973077392578126
chemberta_359,49.94551734924316
chemberta_326,49.885797119140626
chemberta_192,49.50773696899414
chemberta_182,49.426701354980466
mgk_43,49.34458694458008
chemberta_224,49.21928024291992
chemberta_174,49.19330177307129
chemberta_181,49.1437801361084
chemberta_299,49.053620147705075
chemberta_154,48.35839691162109
mgk_44,48.01856689453125
chemberta_191,47.87982711791992
chemberta_112,47.5700798034668
chemberta_280,47.499751281738284
chemberta_130,47.46086540222168
chemberta_318,47.31993026733399
chemberta_263,47.29365005493164
chemberta_161,47.215995407104494
chemberta_238,47.160949325561525
chemberta_321,47.03348083496094
chemberta_333,46.91618175506592
chemberta_351,46.812504577636716
mgk_37,46.77173709869385
chemberta_193,46.602935791015625
chemberta_153,46.518811798095705
chemberta_209,46.33859825134277
chemberta_147,46.313095283508304
chemberta_52,46.26491508483887
chemberta_308,46.180977249145506
chemberta_129,46.14790344238281
chemberta_61,46.05311470031738
chemberta_316,45.61477890014648
chemberta_320,45.523921966552734
chemberta_254,45.373727798461914
chemberta_162,45.26562156677246
mgk_17,45.148813247680664
chemberta_374,45.06546611785889
chemberta_104,45.00841445922852
chemberta_180,44.897308349609375
mgk_33,44.80236282348633
mgk_7,44.67592544555664
chemberta_284,44.6478385925293
mgk_21,44.6324047088623
chemberta_134,44.6250358581543
chemberta_242,44.61334648132324
chemberta_83,44.57776527404785
chemberta_131,44.546776962280276
chemberta_290,44.162971878051756
chemberta_294,44.12284774780274
mgk_13,44.037736129760745
chemberta_292,43.97570953369141
