lipid_id,smiles,score_mean,score_std,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail
Pr2A-HHSK-V-s1(7),CCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCN)C(C)C,74.10058243727599,17.325494548954936,6.894947609823163,13.0,37.0,0.8234000000000005,0.7083333333333334,336.4099999999999,12.0,12.0,70.0,985.6436712359999,263.9891999999994,3.0,0.0,7.0
Pr2A-HHSK-V-s1(8),CCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCN)C(C)C,72.92338709677419,15.088706849843389,6.922966991982656,13.0,39.0,1.6036000000000006,0.72,336.4099999999999,12.0,12.0,72.0,1013.6749713639998,273.2231999999995,3.0,0.0,8.0
Et2A-SHK-AV-u(Lin),CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C(=O)NC(C)C(=O)NCCCCC(NC(=O)C(C)NC(=O)C(NC(=O)CCCCCCC/C=C\C/C=C\CCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NCCN)C(C)C,71.77889784946237,9.572516169461364,7.15367194328894,12.0,54.0,7.678300000000016,0.7101449275362319,336.8299999999999,12.0,12.0,91.0,1276.9250380399997,361.55720000000076,2.0,4.0,18.0
Et2A-HSK-AV-u(Lin),CCCCC/C=C\C/C=C\CCCCCCCC(=O)NC(C(=O)NC(C)C(=O)NCCCCC(NC(=O)C(C)NC(=O)C(NC(=O)CCCCCCC/C=C\C/C=C\CCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN)C(C)C,71.64549731182797,8.150832814237223,7.15367194328894,12.0,54.0,7.678300000000016,0.7101449275362319,336.8299999999999,12.0,12.0,91.0,1276.9250380399997,361.55720000000076,2.0,4.0,18.0
Bu2A-HSHK-V-s1(7),CCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCN)C(C)C,71.57574484767025,12.679044928771155,6.909055433414946,13.0,38.0,1.2135000000000005,0.7142857142857143,336.4099999999999,12.0,12.0,71.0,999.6593212999999,268.60619999999943,3.0,0.0,7.0
n-HHK-VK-s2(5/8),CCCCCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCCCCC)C(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)C(CCCCNC(=O)C(CCCCC)CCCCCCCC)NC(=O)C(CCCCC)CCCCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)O)C(C)C,71.29732302867383,29.471752738419408,7.4807903386712455,14.0,83.0,18.356099999999987,0.83,385.65999999999997,13.0,13.0,126.0,1771.4061672639994,508.49220000000224,2.0,0.0,14.0
Bu2A-HHSK-V-s1(7),CCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCN)C(C)C,70.85436267921148,13.122601517563092,6.909055433414946,13.0,38.0,1.2135,0.7142857142857143,336.4099999999999,12.0,12.0,71.0,999.6593212999999,268.60619999999943,3.0,0.0,7.0
Bu2A-HHSK-V-s1(8),CCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCN)C(C)C,70.17881944444444,14.040821945099433,6.936687671477823,13.0,40.0,1.9937000000000007,0.7254901960784313,336.4099999999999,12.0,12.0,73.0,1027.6906214279998,277.8401999999995,3.0,0.0,8.0
Et2A-HSHK-V-s1(8),CCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN)C(C)C,69.33081317204301,15.183239248129183,6.909055433414946,13.0,38.0,1.2134999999999978,0.7142857142857143,336.4099999999999,12.0,12.0,71.0,999.6593212999998,268.6061999999995,3.0,0.0,8.0
Et2A-HHSK-V-s1(9),CCCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN)C(C)C,69.1642585125448,18.92610477663635,6.936687671477823,13.0,40.0,1.9937000000000014,0.7254901960784313,336.4099999999999,12.0,12.0,73.0,1027.690621428,277.84019999999947,3.0,0.0,9.0
Et2A-HHSK-V-s1(7),CCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN)C(C)C,68.98504704301075,16.5936310437934,6.880637904030125,13.0,36.0,0.43330000000000074,0.7021276595744681,336.4099999999999,12.0,12.0,69.0,971.6280211719999,259.37219999999934,3.0,0.0,7.0
Et2A-HHSK-V-s1(8),CCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCC)C(C)C)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN)C(C)C,68.97222222222221,13.016832143597656,6.909055433414946,13.0,38.0,1.2134999999999996,0.7142857142857143,336.4099999999999,12.0,12.0,71.0,999.6593212999998,268.6061999999995,3.0,0.0,8.0
Pr2A-HSHK-V-s1(7),CCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCN)C(C)C,68.26108870967741,17.866632142240313,6.894947609823163,13.0,37.0,0.8234000000000005,0.7083333333333334,336.4099999999999,12.0,12.0,70.0,985.6436712359999,263.9891999999994,3.0,0.0,7.0
n-HHK-VK-s2(6/7),CCCCCCCC(CCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCC)CCCCCCC)C(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)C(CCCCNC(=O)C(CCCCCC)CCCCCCC)NC(=O)C(CCCCCC)CCCCCCC)C(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)O)C(C)C,68.14874551971326,29.69460936866094,7.4807903386712455,14.0,83.0,18.356099999999987,0.83,385.65999999999997,13.0,13.0,126.0,1771.4061672639994,508.49220000000224,2.0,0.0,14.0
