smiles,viability,Formulation,Helper_lipid_ID,Comment,Lipid_name,Experiment_ID,Cargo_type,Model_type,unnormalized_toxicity,paper_link
CCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-6,Xue_CAD_LNP,mRNA,HeLa,100.64,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-6b,Xue_CAD_LNP,mRNA,HeLa,102.65667,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-7,Xue_CAD_LNP,mRNA,HeLa,100.85333,https://www.nature.com/articles/s41467-024-45422-9
CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCCC)c1,0.98503,Lxue,DOPE,Tox,1-a2-7b,Xue_CAD_LNP,mRNA,HeLa,98.50333,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-8,Xue_CAD_LNP,mRNA,HeLa,103.85667,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCC)c1,0.99583,Lxue,DOPE,Tox,1-a2-8b,Xue_CAD_LNP,mRNA,HeLa,99.58333,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-9,Xue_CAD_LNP,mRNA,HeLa,100.73,https://www.nature.com/articles/s41467-024-45422-9
CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,1.0,Lxue,DOPE,Tox,1-a2-9b,Xue_CAD_LNP,mRNA,HeLa,102.96333,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCC)c1,1.0,Lxue,DOPE,Tox,1-a3-6b,Xue_CAD_LNP,mRNA,HeLa,101.79667,https://www.nature.com/articles/s41467-024-45422-9
CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCCC)c1,1.0,Lxue,DOPE,Tox,1-a3-7b,Xue_CAD_LNP,mRNA,HeLa,100.75333,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(CC)CCCC)c1,1.0,Lxue,DOPE,Tox,1-a3-7b2,Xue_CAD_LNP,mRNA,HeLa,100.77075,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(C)CCCC)c1,1.0,Lxue,DOPE,Tox,1-a3-8b,Xue_CAD_LNP,mRNA,HeLa,100.90667,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCC)c1,1.0,Lxue,DOPE,Tox,2-a2-6,Xue_CAD_LNP,mRNA,HeLa,101.11667,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCC)c1,1.0,Lxue,DOPE,Tox,2-a2-6b,Xue_CAD_LNP,mRNA,HeLa,102.56667,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCC)c1,0.99427,Lxue,DOPE,Tox,2-a2-7,Xue_CAD_LNP,mRNA,HeLa,99.42667,https://www.nature.com/articles/s41467-024-45422-9
CCCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCCC)c1,0.9853,Lxue,DOPE,Tox,2-a2-7b,Xue_CAD_LNP,mRNA,HeLa,98.53,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCCC)c1,0.9537,Lxue,DOPE,Tox,2-a2-8,Xue_CAD_LNP,mRNA,HeLa,95.37,https://www.nature.com/articles/s41467-024-45422-9
CCCCC(C)CCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCC(C)CCC)c1,0.9694,Lxue,DOPE,Tox,2-a2-8b,Xue_CAD_LNP,mRNA,HeLa,96.94,https://www.nature.com/articles/s41467-024-45422-9
CCCCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCCCC)c1,1.0,Lxue,DOPE,Tox,2-a2-9,Xue_CAD_LNP,mRNA,HeLa,102.28,https://www.nature.com/articles/s41467-024-45422-9
CCCCCC(C)CCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCC(C)CCCCC)c1,1.0,Lxue,DOPE,Tox,2-a2-9b,Xue_CAD_LNP,mRNA,HeLa,100.23,https://www.nature.com/articles/s41467-024-45422-9
