Experiment,Train_or_split,Experiment_weight
AA_2008,split,1.0
AC_2025,train,1.0
BL_2023,split,1.0
BL_2023_3CR,split,1.0
BL_2024,split,1.0
JC_2023,split,1.0
JL_2024,split,1.0
JM_2016,split,1.0
JW_2024,split,1.0
KL_2010,split,1.0
KS_2024,split,1.0
KW_2014,split,1.0
KZ_2016,split,1.0
LL_2012,split,1.0
LM_2019,split,1.0
LX_2024,split,1.0
LX_2024_2,split,1.0
LX_2024_3,split,1.0
LZ_2025,split,1.0
NC_2024,split,1.0
SL_2020,split,1.0
SL_2021,split,1.0
SP_2020,split,1.0
SW_2024,split,1.0
XH_2024_2,split,1.0
XH_2025,split,1.0
YR_2024,split,1.0
YX_2023,split,1.0
YX_2024,split,1.0
YY_2023,split,1.0
YZ_2022,split,1.0
YZ_2024,split,1.0
ZC_2023,split,1.0
ZL_2022,split,1.0
