IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,0.5401619940024391,35.0,16.0,46.5,2.5,10.0,6.797248209171431,3,42,13.7605,0.7818181818181819,97.74,0,9,64,893.703346,267.743,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,3.3867851830114097,35.0,16.0,46.5,2.5,10.0,6.812792738744174,3,43,14.1506,0.7857142857142857,97.74,0,9,65,907.719734,272.36,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.0473466101185056,35.0,16.0,46.5,2.5,10.0,6.843175156979261,3,42,14.9292,0.7931034482758621,97.74,0,9,67,935.752509,281.572,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,-0.674095932295874,35.0,16.0,46.5,2.5,10.0,6.7815580682309315,3,43,15.3339,0.8035714285714286,80.22999999999999,1,7,63,879.774892,272.9887,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,0.2140315992398948,35.0,16.0,46.5,2.5,10.0,6.7815580682309315,3,46,15.3355,0.8035714285714286,80.22999999999999,1,7,63,879.774892,273.0107,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,-1.345938476123994,35.0,16.0,46.5,2.5,10.0,6.810670425375392,3,44,15.8681,0.8103448275862069,80.22999999999999,1,7,65,905.793192,280.1087,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,3.0315858730146004,35.0,16.0,46.5,2.5,10.0,6.801741216475752,3,44,14.2085,0.8545454545454545,97.74,0,9,64,897.732295,267.931,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,1.8838470794268656,35.0,16.0,46.5,2.5,10.0,6.817216597452694,3,45,14.5986,0.8571428571428571,97.74,0,9,65,911.748683,272.548,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,2.654343916152897,35.0,16.0,46.5,2.5,10.0,6.847466913125329,3,44,15.3772,0.8620689655172413,97.74,0,9,67,939.781459,281.76,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.786121965510136,3,45,15.7819,0.875,80.22999999999999,1,7,63,883.803841,273.1767,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.786121965510137,3,48,15.7835,0.875,80.22999999999999,1,7,63,883.803841,273.1987,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.815103662065646,3,46,16.3161,0.8793103448275862,80.22999999999999,1,7,65,909.822142,280.2967,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.4578109423564123,35.0,16.0,46.5,2.5,10.0,6.508691637694473,3,24,6.8613,0.7948717948717948,97.74,0,9,48,669.441143,191.331,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.529382341245852,3,25,7.2514,0.8,97.74,0,9,49,683.45753,195.948,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCC#CCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.569522092798945,3,24,8.03,0.8095238095238095,97.74,0,9,51,711.490306,205.16,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,3.801570006586688,35.0,16.0,46.5,2.5,10.0,6.487697717020922,3,25,8.4347,0.825,80.22999999999999,1,7,47,655.512688,196.5767,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,3.2100674789852626,35.0,16.0,46.5,2.5,10.0,6.4876977170209225,3,28,8.4363,0.825,80.22999999999999,1,7,47,655.512688,196.5987,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCC#CCCCCCC)NCCN1CCCC1,2.167004370801205,35.0,16.0,46.5,2.5,10.0,6.526563671258848,3,26,8.9689,0.8333333333333334,80.22999999999999,1,7,49,681.530989,203.6967,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-2.0177810199521136,35.0,16.0,46.5,2.5,10.0,6.78829696583171,3,43,14.0408,0.8888888888888888,97.74,0,9,63,885.730383,263.386,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,0.2140315992398948,35.0,16.0,46.5,2.5,10.0,6.803980172565322,3,44,14.4309,0.8909090909090909,97.74,0,9,64,899.74677,268.003,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,0.7837519994634626,35.0,16.0,46.5,2.5,10.0,6.834627441723854,3,43,15.2095,0.8947368421052632,97.74,0,9,66,927.779546,277.215,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,35.0,16.0,46.5,2.5,10.0,6.772464625479566,3,44,15.6142,0.9090909090909092,80.22999999999999,1,7,62,871.801928,268.6317,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-1.345938476123994,35.0,16.0,46.5,2.5,10.0,6.772464625479566,3,47,15.6158,0.9090909090909092,80.22999999999999,1,7,62,871.801928,268.6537,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.2810932383302653,35.0,16.0,46.5,2.5,10.0,6.801839053390586,3,45,16.1484,0.912280701754386,80.22999999999999,1,7,64,897.820229,275.7517,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,3.404970780062441,35.0,16.0,46.5,2.5,10.0,6.6659129908603845,3,34,10.5349,0.8297872340425532,97.74,0,9,56,783.586719,229.631,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.05,1.0
