Column_name,Type
IL_SMILES,Y_val
Experiment_value,Y_val
IL_molratio,X_val
HL_molratio,X_val
CHL_molratio,X_val
PEG_molratio,X_val
fifthcomponent_molratio,X_val
IL_to_nucleicacid_massratio,X_val
molwtlog1p,X_val
Nitrogen.Count,X_val
Rotatable.Bonds,X_val
LogP,X_val
Fraction.sp3.Carbons,X_val
Topological.Polar.Surface.Area,X_val
Hydrogen.Bond.Donors,X_val
Hydrogen.Bond.Acceptors,X_val
Heavy.Atoms,X_val
van.der.Waals.Molecular.Volume,X_val
Molar.Refractivity,X_val
has_ester,X_val
has_carbonate,X_val
has_disulfide,X_val
Cargo_type_DNA_barcode,X_val
Cargo_type_FLuc,X_val
Cargo_type_FVII,X_val
Cargo_type_GFP,X_val
Cargo_type_RLuc,X_val
Cargo_type_base_editor,X_val
Cargo_type_hEPO,X_val
Cargo_type_peptide_barcode,X_val
Model_type_A549,X_val
Model_type_BeWo_b30,X_val
Model_type_DC2.4,X_val
Model_type_HEK293T,X_val
Model_type_HeLa,X_val
Model_type_HepG2,X_val
Model_type_IGROV1,X_val
Model_type_RAW264.7,X_val
HL_name_14PA,X_val
HL_name_18PG,X_val
HL_name_DDAB,X_val
HL_name_DOPE,X_val
HL_name_DOTAP,X_val
HL_name_DSPC,X_val
HL_name_MDOA,X_val
num_permanent_cationic_N,X_val
formal_net_charge,X_val
Sample_weight,Sample_weight
Dose_ug_nucleicacid,X_val
Index,Metadata
LNP_ID,Metadata
Experiment_ID,Metadata
Formulation_ID,Metadata
IL_name,Metadata
IL_protonated_SMILES,Metadata
IL_head_name,Metadata
IL_head_SMILES,Metadata
IL_linker_name,Metadata
IL_linker_SMILES,Metadata
IL_tail1_name,Metadata
IL_tail1_SMILES,Metadata
IL_tail2_name,Metadata
IL_tail2_SMILES,Metadata
IL_tail3_name,Metadata
IL_tail3_SMILES,Metadata
IL_tail4_name,Metadata
IL_tail4_SMILES,Metadata
IL_to_nucleicacid_chargeratio,Metadata
HL_name,Metadata
HL_SMILES,Metadata
CHL_name,Metadata
CHL_SMILES,Metadata
PEG_name,Metadata
PEG_SMILES,Metadata
fifthcomponent_name,Metadata
fifthcomponent_SMILES,Metadata
Aqueous_buffer,Metadata
Dialysis_buffer,Metadata
Mixing_method,Metadata
Model,Metadata
Model_type,Metadata
Model_target,Metadata
Route_of_administration,Metadata
Cargo,Metadata
Cargo_type,Metadata
Experiment_method,Metadata
Experiment_batching,Metadata
Publication_link,Metadata
Publication_PMID,Metadata
Molecular.Weight,Metadata
Rings,Metadata
Aromatic.Rings,Metadata
sp3.Carbons,Metadata
rel,Y_val
