cv_2_pred_quantified_toxicity,quantified_toxicity,smiles,Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB,split_name_for_normalization,toxicity_class,Prediction_split_name
0.93917066,0.916,CCCC1CCC(c2ccc(C#CCN(CC#Cc3ccc(C4CCC(CCC)CC4)cc3)CCN3CCCC3)cc2)CC1,Han_a3,40.0,19.856854838709683,38.20897452476401,1.7728200000000005,DOPE,10.0,,C13-2,Han_a3,mRNA,HepG2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Han_a3,0,Han_a3
0.9342894,0.9967333333333332,CCCCCC(C)C(=O)Oc1cc(CNCCCN2CCN(C)CC2)cc(OC(=O)C(C)CCCCC)c1,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,Tox,10-a2-7b,Xue_CAD_LNP,mRNA,HeLa,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Xue_CAD_LNP,0,Xue_CAD_LNP
0.93042535,0.85,CCCCCCCCCCCOP(=O)(O)OCCNCCCCCC,Liu_iphos,25.0,30.0,30.0,1.0,MDOA,6.716167493,,2A1-P11,Liu_iphos,mRNA,IGROV1,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Liu_iphos,0,Liu_iphos
0.92565954,0.995,CCCCCCCCCCCCCCOC(=O)CCSCCCC(=N)NCC(CCCCCC)CCCCCCCC,Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,Computed with aid lipid molwt as 865,9T-O14,Han_amidine,mRNA,HepG2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Han_amidine,0,Han_amidine
0.97591543,1.0,CCCCCCCCCCCCCCOC(=O)CCSCCCC(=N)NCCCCCCCCCC,Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,Computed with aid lipid molwt as 865,1T-O14,Han_amidine,mRNA,HepG2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Han_amidine,0,Han_amidine
0.83390456,0.95,CCCCCCCCCCCCCCCOP(=O)(O)OCCN(C)CCN(CCN(C)CCOP(=O)(O)OCCCCCCCCCCCCCCC)CC[N+](C)(CCOP(=O)(O)OCCCCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCCCCCCC,Liu_iphos,25.0,30.0,30.0,1.0,MDOA,27.02413091,,26A4-P15,Liu_iphos,mRNA,IGROV1,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Liu_iphos,0,Liu_iphos
0.9479998,0.95,CCCCCCCCCCOP(=O)(O)OCCNCCN(CCN)CCNCCOP(=O)(O)OCCCCCCCCCC,Liu_iphos,25.0,30.0,30.0,1.0,MDOA,11.93829584,,27A2-P10,Liu_iphos,mRNA,IGROV1,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Liu_iphos,0,Liu_iphos
0.9485528,0.9559386973,OCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)CCCN(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC)(CCC(=O)OCCOC(=O)C(C)CSCCCCCCCC),Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,14.02128812,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2710",3A4-SC8,Lee_unsat,mRNA,IGROV1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Lee_unsat,0,Lee_unsat
0.94641894,0.95,CCCCCCOP(=O)(O)OCCNCCNCCNCCN(CCNCCOP(=O)(O)OCCCCCC)CCOP(=O)(O)OCCCCCC,Liu_iphos,25.0,30.0,30.0,1.0,MDOA,14.38759241,,28A3-P6,Liu_iphos,mRNA,IGROV1,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Liu_iphos,0,Liu_iphos
0.71913075,0.8431372548999999,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCC(NC(=O)C(CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(=O)C(CCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC(C)=O)C(N)=O,Lin_peptide,46.3,9.4,42.7,1.6,DSPC,28.01657590778882,,a12orn-3,Lin_peptide,mRNA,MDA_MB,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Lin_peptide,0,Lin_peptide
