cv_fold,experiment_id,n_vals,spearman,pearson,pairwise_acc
0,JW_2024,1801,0.25528893987351664,0.25039812734033323,0.5851845675409421
1,BL_2023,720,0.05695801787653221,0.055926352860102,0.5178087801787252
1,JL_2024,623,-0.021445318092133805,-0.004265601788540947,0.49211872825075126
1,SL_2021,572,-0.3945798282656765,-0.37940305514994493,0.3038185558733504
2,LM_2019,1080,0.09093207648802351,0.11136711917271759,0.5302246228680394
2,LX_2024_3,252,0.08704619657731148,0.0908570275203107,0.5283979507937512
3,BL_2023_3CR,480,0.017482920490618354,0.007797388304631443,0.5077573533878433
3,KW_2014,1182,0.19666867176991307,0.3308989437755062,0.566038358886303
4,JW_2024,1801,0.25032496382847397,0.2306814241052182,0.5853902430738919
4,SL_2020,91,0.5554444714180812,0.5197671706843435,0.7479595168135814
