fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.44608,0.44608,0.44608,1.0
0,ndcg@k_e_rand,0.32925,0.32925,0.32925,1.0
0,ndcg_full,0.84966,0.84966,0.84966,1.0
0,ndcg_full_rand,0.82744,0.82744,0.82744,1.0
0,ndcg@3,0.76536,0.76536,0.76536,1.0
0,ndcg@3_rand,0.3338,0.3338,0.3338,1.0
0,ndcg@5,0.71796,0.71796,0.71796,1.0
0,ndcg@5_rand,0.33108,0.33108,0.33108,1.0
0,ndcg@10,0.6416,0.6416,0.6416,1.0
0,ndcg@10_rand,0.33077,0.33077,0.33077,1.0
0,spearman,0.06185,0.06185,0.06185,1.0
0,pearson,0.08605,0.08605,0.08605,1.0
0,pairwise_acc,0.52059,0.52059,0.52059,1.0
,,,,,
1,ndcg@k_e,0.25927,0.26258,0.26581,3.0
1,ndcg@k_e_rand,0.29861,0.3003,0.30196,3.0
1,ndcg_full,0.75644,0.75854,0.7606,3.0
1,ndcg_full_rand,0.77633,0.77753,0.7787,3.0
1,ndcg@3,0.26044,0.27046,0.28067,3.0
1,ndcg@3_rand,0.29134,0.29285,0.29432,3.0
1,ndcg@5,0.25637,0.26279,0.26925,3.0
1,ndcg@5_rand,0.294,0.29566,0.29728,3.0
1,ndcg@10,0.26937,0.27437,0.27935,3.0
1,ndcg@10_rand,0.29535,0.29703,0.29868,3.0
1,spearman,-0.08993,-0.08536,-0.08089,3.0
1,pearson,-0.06523,-0.06062,-0.05611,3.0
1,pairwise_acc,0.4554,0.45767,0.4599,3.0
,,,,,
2,ndcg@k_e,0.48839,0.48323,0.47918,2.0
2,ndcg@k_e_rand,0.32786,0.32702,0.32636,2.0
2,ndcg_full,0.81957,0.82943,0.83715,2.0
2,ndcg_full_rand,0.78542,0.79439,0.80142,2.0
2,ndcg@3,0.46569,0.52285,0.56763,2.0
2,ndcg@3_rand,0.33166,0.33085,0.33022,2.0
2,ndcg@5,0.4324,0.45412,0.47113,2.0
2,ndcg@5_rand,0.33078,0.32977,0.32898,2.0
2,ndcg@10,0.44492,0.45173,0.45708,2.0
2,ndcg@10_rand,0.32927,0.32852,0.32794,2.0
2,spearman,0.11711,0.1267,0.13422,2.0
2,pearson,0.15973,0.18436,0.20366,2.0
2,pairwise_acc,0.53938,0.54234,0.54465,2.0
,,,,,
3,ndcg@k_e,0.41642,0.46464,0.50834,2.0
3,ndcg@k_e_rand,0.30847,0.31317,0.31743,2.0
3,ndcg_full,0.80466,0.81951,0.83298,2.0
3,ndcg_full_rand,0.78729,0.79337,0.79888,2.0
3,ndcg@3,0.33599,0.40107,0.46005,2.0
3,ndcg@3_rand,0.30624,0.31015,0.31369,2.0
3,ndcg@5,0.28457,0.33622,0.38304,2.0
3,ndcg@5_rand,0.30688,0.31083,0.31441,2.0
3,ndcg@10,0.32923,0.38174,0.42934,2.0
3,ndcg@10_rand,0.30869,0.31309,0.31707,2.0
3,spearman,0.09812,0.11643,0.13303,2.0
3,pearson,0.16675,0.19509,0.22079,2.0
3,pairwise_acc,0.53284,0.53855,0.54373,2.0
,,,,,
4,ndcg@k_e,0.5036,0.42556,0.39216,2.0
4,ndcg@k_e_rand,0.34508,0.33506,0.33077,2.0
4,ndcg_full,0.8584,0.85618,0.85523,2.0
4,ndcg_full_rand,0.79032,0.81382,0.82387,2.0
4,ndcg@3,0.36592,0.13431,0.0352,2.0
4,ndcg@3_rand,0.34638,0.33842,0.33501,2.0
4,ndcg@5,0.39372,0.18011,0.0887,2.0
4,ndcg@5_rand,0.34569,0.33644,0.33249,2.0
4,ndcg@10,0.43937,0.32868,0.2813,2.0
4,ndcg@10_rand,0.34596,0.33635,0.33223,2.0
4,spearman,0.36332,0.30359,0.27803,2.0
4,pearson,0.33629,0.2865,0.26519,2.0
4,pairwise_acc,0.64475,0.61001,0.59514,2.0
,,,,,
avg,ndcg@k_e,0.42275,0.41642,0.41831,10.0
avg,ndcg@k_e_rand,0.32185,0.32096,0.32115,10.0
avg,ndcg_full,0.81775,0.82266,0.82712,10.0
avg,ndcg_full_rand,0.79336,0.80131,0.80606,10.0
avg,ndcg@3,0.43868,0.41881,0.42178,10.0
avg,ndcg@3_rand,0.32188,0.32121,0.32141,10.0
avg,ndcg@5,0.417,0.39024,0.38602,10.0
avg,ndcg@5_rand,0.32169,0.32076,0.32085,10.0
avg,ndcg@10,0.4249,0.41562,0.41773,10.0
avg,ndcg@10_rand,0.32201,0.32115,0.32134,10.0
avg,spearman,0.11009,0.10464,0.10525,10.0
avg,pearson,0.13672,0.13828,0.14392,10.0
avg,pairwise_acc,0.53859,0.53383,0.5328,10.0
