cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.44608,0.84966,0.76536,0.71796,0.6416,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.06185,0.08605,0.52059
1,BL_2023,720,4,0.31523,0.79299,0.56265,0.42539,0.37782,0.32778,0.79753,0.31617,0.32262,0.32456,0.0552,-0.01508,0.00847,0.49384
1,JL_2024,623,4,0.34248,0.80634,0.14286,0.24932,0.32936,0.33945,0.80394,0.33133,0.33418,0.33568,0.05501,0.03243,0.06349,0.51296
1,SL_2021,572,3,0.12011,0.67,0.07582,0.09441,0.10093,0.22861,0.72752,0.22652,0.2252,0.22582,0.05057,-0.28714,-0.26766,0.3594
2,LM_2019,1080,4,0.47358,0.84785,0.62969,0.4947,0.46448,0.32545,0.81116,0.32934,0.32789,0.32714,0.05733,0.14463,0.2304,0.54786
2,LX_2024_3,252,4,0.5032,0.7913,0.30168,0.3701,0.42535,0.33027,0.75968,0.33397,0.33366,0.33139,0.0769,0.08958,0.08905,0.5309
3,BL_2023_3CR,480,4,0.1988,0.73762,0.0423,0.05144,0.09224,0.28726,0.75986,0.2886,0.28906,0.28886,0.05787,0.01548,0.03882,0.50705
3,KW_2014,1182,4,0.63404,0.8717,0.62969,0.5177,0.56623,0.32968,0.81473,0.32388,0.32471,0.32853,0.05616,0.18076,0.29468,0.55863
4,JW_2024,1801,4,0.3803,0.85489,0.0,0.05623,0.26448,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.26895,0.25762,0.58986
4,SL_2020,91,4,0.62689,0.8619,0.73184,0.73122,0.61427,0.36091,0.75321,0.35896,0.3603,0.36115,0.11777,0.45769,0.41496,0.69964
