fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.34217,0.34217,0.34217,1.0
0,ndcg@k_e_rand,0.32925,0.32925,0.32925,1.0
0,ndcg_full,0.83245,0.83245,0.83245,1.0
0,ndcg_full_rand,0.82744,0.82744,0.82744,1.0
0,ndcg@3,0.34398,0.34398,0.34398,1.0
0,ndcg@3_rand,0.3338,0.3338,0.3338,1.0
0,ndcg@5,0.36743,0.36743,0.36743,1.0
0,ndcg@5_rand,0.33108,0.33108,0.33108,1.0
0,ndcg@10,0.4421,0.4421,0.4421,1.0
0,ndcg@10_rand,0.33077,0.33077,0.33077,1.0
0,spearman,0.07583,0.07583,0.07583,1.0
0,pearson,0.09927,0.09927,0.09927,1.0
0,pairwise_acc,0.52523,0.52523,0.52523,1.0
,,,,,
1,ndcg@k_e,0.33705,0.34458,0.35219,3.0
1,ndcg@k_e_rand,0.29861,0.3003,0.30196,3.0
1,ndcg_full,0.77865,0.78206,0.78546,3.0
1,ndcg_full_rand,0.77633,0.77753,0.7787,3.0
1,ndcg@3,0.50199,0.51972,0.53768,3.0
1,ndcg@3_rand,0.29134,0.29285,0.29432,3.0
1,ndcg@5,0.42186,0.43671,0.45175,3.0
1,ndcg@5_rand,0.294,0.29566,0.29728,3.0
1,ndcg@10,0.3486,0.35957,0.3707,3.0
1,ndcg@10_rand,0.29535,0.29703,0.29868,3.0
1,spearman,-0.05046,-0.04115,-0.03191,3.0
1,pearson,-0.04758,-0.03878,-0.03005,3.0
1,pairwise_acc,0.46321,0.46738,0.47151,3.0
,,,,,
2,ndcg@k_e,0.47348,0.4697,0.46673,2.0
2,ndcg@k_e_rand,0.32786,0.32702,0.32636,2.0
2,ndcg_full,0.82611,0.83188,0.83639,2.0
2,ndcg_full_rand,0.78542,0.79439,0.80142,2.0
2,ndcg@3,0.5838,0.58867,0.59248,2.0
2,ndcg@3_rand,0.33166,0.33085,0.33022,2.0
2,ndcg@5,0.51989,0.53069,0.53914,2.0
2,ndcg@5_rand,0.33078,0.32977,0.32898,2.0
2,ndcg@10,0.51254,0.53669,0.55561,2.0
2,ndcg@10_rand,0.32927,0.32852,0.32794,2.0
2,spearman,0.13277,0.10799,0.08857,2.0
2,pearson,0.16154,0.15956,0.158,2.0
2,pairwise_acc,0.54339,0.5351,0.52862,2.0
,,,,,
3,ndcg@k_e,0.37341,0.42004,0.4623,2.0
3,ndcg@k_e_rand,0.30847,0.31317,0.31743,2.0
3,ndcg_full,0.80578,0.82061,0.83406,2.0
3,ndcg_full_rand,0.78729,0.79337,0.79888,2.0
3,ndcg@3,0.55028,0.62021,0.6836,2.0
3,ndcg@3_rand,0.30624,0.31015,0.31369,2.0
3,ndcg@5,0.45605,0.51075,0.56033,2.0
3,ndcg@5_rand,0.30688,0.31083,0.31441,2.0
3,ndcg@10,0.42574,0.47821,0.52577,2.0
3,ndcg@10_rand,0.30869,0.31309,0.31707,2.0
3,spearman,0.10529,0.12349,0.13998,2.0
3,pearson,0.14874,0.18342,0.21486,2.0
3,pairwise_acc,0.5357,0.54149,0.54674,2.0
,,,,,
4,ndcg@k_e,0.47167,0.36092,0.31352,2.0
4,ndcg@k_e_rand,0.34508,0.33506,0.33077,2.0
4,ndcg_full,0.8488,0.84112,0.83783,2.0
4,ndcg_full_rand,0.79032,0.81382,0.82387,2.0
4,ndcg@3,0.5802,0.59132,0.59607,2.0
4,ndcg@3_rand,0.34638,0.33842,0.33501,2.0
4,ndcg@5,0.57777,0.51059,0.48184,2.0
4,ndcg@5_rand,0.34569,0.33644,0.33249,2.0
4,ndcg@10,0.53585,0.48601,0.46468,2.0
4,ndcg@10_rand,0.34596,0.33635,0.33223,2.0
4,spearman,0.32459,0.17643,0.11303,2.0
4,pearson,0.31163,0.17261,0.11311,2.0
4,pairwise_acc,0.63662,0.56842,0.53923,2.0
,,,,,
avg,ndcg@k_e,0.39956,0.38748,0.38738,10.0
avg,ndcg@k_e_rand,0.32185,0.32096,0.32115,10.0
avg,ndcg_full,0.81836,0.82162,0.82524,10.0
avg,ndcg_full_rand,0.79336,0.80131,0.80606,10.0
avg,ndcg@3,0.51205,0.53278,0.55076,10.0
avg,ndcg@3_rand,0.32188,0.32121,0.32141,10.0
avg,ndcg@5,0.4686,0.47123,0.4801,10.0
avg,ndcg@5_rand,0.32169,0.32076,0.32085,10.0
avg,ndcg@10,0.45297,0.46052,0.47177,10.0
avg,ndcg@10_rand,0.32201,0.32115,0.32134,10.0
avg,spearman,0.1176,0.08852,0.0771,10.0
avg,pearson,0.13472,0.11522,0.11104,10.0
avg,pairwise_acc,0.54083,0.52752,0.52227,10.0
