fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.53721,0.53721,0.53721,1.0
0,ndcg@k_e_rand,0.32925,0.32925,0.32925,1.0
0,ndcg_full,0.8474,0.8474,0.8474,1.0
0,ndcg_full_rand,0.82744,0.82744,0.82744,1.0
0,ndcg@3,0.61214,0.61214,0.61214,1.0
0,ndcg@3_rand,0.3338,0.3338,0.3338,1.0
0,ndcg@5,0.71968,0.71968,0.71968,1.0
0,ndcg@5_rand,0.33108,0.33108,0.33108,1.0
0,ndcg@10,0.58222,0.58222,0.58222,1.0
0,ndcg@10_rand,0.33077,0.33077,0.33077,1.0
0,spearman,-7e-05,-7e-05,-7e-05,1.0
0,pearson,0.05146,0.05146,0.05146,1.0
0,pairwise_acc,0.49904,0.49904,0.49904,1.0
,,,,,
1,ndcg@k_e,0.33007,0.33797,0.34593,3.0
1,ndcg@k_e_rand,0.29861,0.3003,0.30196,3.0
1,ndcg_full,0.77624,0.77978,0.7833,3.0
1,ndcg_full_rand,0.77633,0.77753,0.7787,3.0
1,ndcg@3,0.50199,0.51972,0.53768,3.0
1,ndcg@3_rand,0.29134,0.29285,0.29432,3.0
1,ndcg@5,0.42186,0.43671,0.45175,3.0
1,ndcg@5_rand,0.294,0.29566,0.29728,3.0
1,ndcg@10,0.34184,0.35316,0.36464,3.0
1,ndcg@10_rand,0.29535,0.29703,0.29868,3.0
1,spearman,-0.06072,-0.05087,-0.0411,3.0
1,pearson,-0.05699,-0.04769,-0.03847,3.0
1,pairwise_acc,0.45928,0.46365,0.46799,3.0
,,,,,
2,ndcg@k_e,0.43356,0.4565,0.47446,2.0
2,ndcg@k_e_rand,0.32786,0.32702,0.32636,2.0
2,ndcg_full,0.80944,0.82206,0.83195,2.0
2,ndcg_full_rand,0.78542,0.79439,0.80142,2.0
2,ndcg@3,0.38627,0.47112,0.53759,2.0
2,ndcg@3_rand,0.33166,0.33085,0.33022,2.0
2,ndcg@5,0.38651,0.46343,0.52368,2.0
2,ndcg@5_rand,0.33078,0.32977,0.32898,2.0
2,ndcg@10,0.42858,0.44752,0.46236,2.0
2,ndcg@10_rand,0.32927,0.32852,0.32794,2.0
2,spearman,0.0886,0.0787,0.07094,2.0
2,pearson,0.13773,0.15754,0.17305,2.0
2,pairwise_acc,0.52855,0.52519,0.52256,2.0
,,,,,
3,ndcg@k_e,0.36248,0.40858,0.45036,2.0
3,ndcg@k_e_rand,0.30847,0.31317,0.31743,2.0
3,ndcg_full,0.80046,0.81475,0.82771,2.0
3,ndcg_full_rand,0.78729,0.79337,0.79888,2.0
3,ndcg@3,0.20551,0.22682,0.24613,2.0
3,ndcg@3_rand,0.30624,0.31015,0.31369,2.0
3,ndcg@5,0.23393,0.2641,0.29145,2.0
3,ndcg@5_rand,0.30688,0.31083,0.31441,2.0
3,ndcg@10,0.26161,0.3035,0.34147,2.0
3,ndcg@10_rand,0.30869,0.31309,0.31707,2.0
3,spearman,0.12105,0.13858,0.15447,2.0
3,pearson,0.16378,0.19423,0.22183,2.0
3,pairwise_acc,0.54212,0.54746,0.5523,2.0
,,,,,
4,ndcg@k_e,0.50816,0.53303,0.54367,2.0
4,ndcg@k_e_rand,0.34508,0.33506,0.33077,2.0
4,ndcg_full,0.83779,0.84553,0.84884,2.0
4,ndcg_full_rand,0.79032,0.81382,0.82387,2.0
4,ndcg@3,0.51396,0.50335,0.49881,2.0
4,ndcg@3_rand,0.34638,0.33842,0.33501,2.0
4,ndcg@5,0.46942,0.47496,0.47733,2.0
4,ndcg@5_rand,0.34569,0.33644,0.33249,2.0
4,ndcg@10,0.54212,0.5671,0.57779,2.0
4,ndcg@10_rand,0.34596,0.33635,0.33223,2.0
4,spearman,0.25155,0.15369,0.11181,2.0
4,pearson,0.28498,0.16499,0.11364,2.0
4,pairwise_acc,0.52656,0.46868,0.44391,2.0
,,,,,
avg,ndcg@k_e,0.4343,0.45466,0.47033,10.0
avg,ndcg@k_e_rand,0.32185,0.32096,0.32115,10.0
avg,ndcg_full,0.81427,0.8219,0.82784,10.0
avg,ndcg_full_rand,0.79336,0.80131,0.80606,10.0
avg,ndcg@3,0.44397,0.46663,0.48647,10.0
avg,ndcg@3_rand,0.32188,0.32121,0.32141,10.0
avg,ndcg@5,0.44628,0.47178,0.49278,10.0
avg,ndcg@5_rand,0.32169,0.32076,0.32085,10.0
avg,ndcg@10,0.43127,0.4507,0.4657,10.0
avg,ndcg@10_rand,0.32201,0.32115,0.32134,10.0
avg,spearman,0.08008,0.06401,0.05921,10.0
avg,pearson,0.11619,0.10411,0.1043,10.0
avg,pairwise_acc,0.51111,0.5008,0.49716,10.0
