cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.46149,0.85571,0.73184,0.68099,0.63476,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.14456,0.16377,0.54847
1,BL_2023,720,4,0.41507,0.82369,0.69673,0.58489,0.50283,0.32778,0.79753,0.31617,0.32262,0.32456,0.0552,0.07755,0.06707,0.51448
1,JL_2024,623,4,0.22285,0.7765,0.14286,0.18459,0.16002,0.33945,0.80394,0.33133,0.33418,0.33568,0.05501,-0.09707,-0.09146,0.44724
1,SL_2021,572,3,0.39043,0.77962,1.0,1.0,0.82917,0.22861,0.72752,0.22652,0.2252,0.22582,0.05057,-0.22322,-0.18711,0.37702
2,LM_2019,1080,4,0.44384,0.84774,0.61214,0.59448,0.45411,0.32545,0.81116,0.32934,0.32789,0.32714,0.05733,0.0895,0.21992,0.52875
2,LX_2024_3,252,4,0.42773,0.80775,0.3296,0.31956,0.44709,0.33027,0.75968,0.33397,0.33366,0.33139,0.0769,0.29743,0.22565,0.60094
3,BL_2023_3CR,480,4,0.26881,0.75043,0.10056,0.14977,0.11714,0.28726,0.75986,0.2886,0.28906,0.28886,0.05787,0.03759,0.0544,0.51601
3,KW_2014,1182,4,0.43569,0.83893,0.30168,0.3701,0.40655,0.32968,0.81473,0.32388,0.32471,0.32853,0.05616,0.11079,0.16044,0.53663
4,JW_2024,1801,4,0.47508,0.85882,0.69673,0.70584,0.68335,0.32925,0.82744,0.3338,0.33108,0.33077,0.05821,0.22659,0.23101,0.57583
4,SL_2020,91,4,0.67553,0.86369,0.56265,0.68392,0.65982,0.36091,0.75321,0.35896,0.3603,0.36115,0.11777,0.52197,0.46599,0.73196
