fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.2556,0.2556,0.2556,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.77717,0.77717,0.77717,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.22745,0.22745,0.22745,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.204,0.204,0.204,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.24482,0.24482,0.24482,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.0,0.0,0.0,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.27215,0.27215,0.27215,1.0
0,pearson,0.29772,0.29772,0.29772,1.0
0,pairwise_acc,0.59204,0.59204,0.59204,1.0
,,,,,
1,ndcg@k_e,0.2065,0.20645,0.20639,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.68217,0.68213,0.68209,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.17199,0.16972,0.16747,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.14304,0.1414,0.13977,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.14587,0.14569,0.14552,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.16667,0.16064,0.15463,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.1,0.09638,0.09278,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.05,0.04819,0.04639,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.08165,0.08116,0.08066,2.0
1,pearson,0.09966,0.09885,0.09805,2.0
1,pairwise_acc,0.53063,0.53032,0.53,2.0
,,,,,
2,ndcg@k_e,0.32601,0.33917,0.3486,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.67793,0.68244,0.68513,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.35794,0.3909,0.41571,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.35931,0.39181,0.41722,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.35667,0.37501,0.38782,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.25,0.27955,0.30088,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.25,0.29039,0.32267,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.2,0.22906,0.2516,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.32076,0.31448,0.31241,4.0
2,pearson,0.33042,0.32524,0.32432,4.0
2,pairwise_acc,0.64193,0.64827,0.65476,4.0
,,,,,
3,ndcg@k_e,0.37517,0.4076,0.43699,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.78297,0.79584,0.8075,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.50439,0.58449,0.65709,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.43439,0.50313,0.56544,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.36237,0.42052,0.47322,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
3,hit_rate@3,0.33333,0.40719,0.47413,2.0
3,hit_rate@3_rand,0.01284,0.0111,0.00953,2.0
3,hit_rate@5,0.2,0.24431,0.28448,2.0
3,hit_rate@5_rand,0.0141,0.0127,0.01144,2.0
3,hit_rate@10,0.15,0.18323,0.21336,2.0
3,hit_rate@10_rand,0.0149,0.01346,0.01215,2.0
3,spearman,0.10685,0.11165,0.11599,2.0
3,pearson,0.19429,0.21907,0.24153,2.0
3,pairwise_acc,0.5393,0.53986,0.54036,2.0
,,,,,
4,ndcg@k_e,0.30074,0.1999,0.15675,2.0
4,ndcg@k_e_rand,0.19461,0.17542,0.16721,2.0
4,ndcg_full,0.75561,0.74406,0.73912,2.0
4,ndcg_full_rand,0.70111,0.72491,0.7351,2.0
4,ndcg@3,0.38627,0.18977,0.10568,2.0
4,ndcg@3_rand,0.15914,0.12387,0.10877,2.0
4,ndcg@5,0.29898,0.14443,0.07829,2.0
4,ndcg@5_rand,0.15914,0.12351,0.10826,2.0
4,ndcg@10,0.2815,0.17084,0.12349,2.0
4,ndcg@10_rand,0.16833,0.12741,0.10991,2.0
4,hit_rate@3,0.16667,0.06118,0.01603,2.0
4,hit_rate@3_rand,0.04433,0.02028,0.00999,2.0
4,hit_rate@5,0.1,0.03671,0.00962,2.0
4,hit_rate@5_rand,0.0444,0.02035,0.01006,2.0
4,hit_rate@10,0.05,0.01835,0.00481,2.0
4,hit_rate@10_rand,0.0441,0.01998,0.00967,2.0
4,spearman,0.15401,0.10109,0.07844,2.0
4,pearson,0.16102,0.10731,0.08432,2.0
4,pairwise_acc,0.56238,0.535,0.52329,2.0
,,,,,
avg,ndcg@k_e,0.2928,0.28174,0.28087,11.0
avg,ndcg@k_e_rand,0.17732,0.17163,0.16832,11.0
avg,ndcg_full,0.73517,0.73633,0.7382,11.0
avg,ndcg_full_rand,0.67938,0.68362,0.68515,11.0
avg,ndcg@3,0.32961,0.31247,0.31468,11.0
avg,ndcg@3_rand,0.12239,0.11426,0.11027,11.0
avg,ndcg@5,0.28794,0.27695,0.28094,11.0
avg,ndcg@5_rand,0.12283,0.11467,0.1107,11.0
avg,ndcg@10,0.27825,0.27138,0.27497,11.0
avg,ndcg@10_rand,0.12744,0.11782,0.11311,11.0
avg,hit_rate@3,0.18333,0.18171,0.18913,11.0
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.13,0.13356,0.14191,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.09,0.09577,0.10323,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.18708,0.17611,0.17193,11.0
avg,pearson,0.21662,0.20964,0.20919,11.0
avg,pairwise_acc,0.57326,0.5691,0.56809,11.0
avg,ef@3,6.18379,,,11.0
avg,ef@5,4.72937,,,11.0
avg,ef@10,3.36526,,,11.0
