cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.2556,0.77717,0.22745,0.204,0.24482,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.27215,0.29772,0.59204
1,BL_2023,720,4,0.20502,0.68108,0.10934,0.09776,0.14113,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.06797,0.07733,0.52189
1,JL_2024,623,4,0.20798,0.68326,0.23464,0.18832,0.1506,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.33333,0.021,0.2,0.0208,0.1,0.0183,0.09533,0.12199,0.53938
2,AA_2008,497,4,0.25991,0.52457,0.12689,0.09171,0.09997,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.0,0.01067,0.0,0.011,0.0,0.0099,0.11743,0.15502,0.58858
2,KS_2024,140,4,0.21294,0.62254,0.10934,0.14162,0.1886,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,0.4431,0.45463,0.64414
2,LX_2024_2,270,4,0.36569,0.72265,0.39664,0.34926,0.43251,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.33333,0.03033,0.2,0.0288,0.2,0.0328,0.183,0.1756,0.56069
2,XH_2025,500,3,0.4655,0.84198,0.79888,0.85465,0.7056,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.66667,0.15067,0.8,0.1492,0.6,0.1532,0.5395,0.53644,0.77431
3,BL_2023_3CR,480,4,0.2288,0.72487,0.14286,0.12411,0.09992,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.0852,0.08246,0.53679
3,KW_2014,1182,4,0.52154,0.84106,0.86592,0.74466,0.62482,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.66667,0.005,0.4,0.0078,0.3,0.0084,0.1285,0.30612,0.54181
4,JW_2024,1801,4,0.14142,0.73736,0.07582,0.0548,0.10667,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.0704,0.07616,0.51913
4,SL_2020,91,4,0.46006,0.77387,0.69673,0.54316,0.45633,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.23762,0.24587,0.60562
