fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.27713,0.27713,0.27713,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.77584,0.77584,0.77584,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.34398,0.34398,0.34398,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.26947,0.26947,0.26947,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.29848,0.29848,0.29848,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.1,0.1,0.1,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.25692,0.25692,0.25692,1.0
0,pearson,0.26714,0.26714,0.26714,1.0
0,pairwise_acc,0.58641,0.58641,0.58641,1.0
,,,,,
1,ndcg@k_e,0.25073,0.25163,0.25253,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.69939,0.69999,0.70059,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.11732,0.12156,0.12579,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.13271,0.13548,0.13823,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.12712,0.12847,0.1298,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.0,0.0,0.0,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.14173,0.14185,0.14197,2.0
1,pearson,0.14992,0.14971,0.1495,2.0
1,pairwise_acc,0.55107,0.55088,0.55069,2.0
,,,,,
2,ndcg@k_e,0.34825,0.37574,0.40105,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.67002,0.6794,0.68818,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.21249,0.23786,0.25879,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.24738,0.27583,0.30062,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.29748,0.32237,0.34586,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.16667,0.20413,0.2362,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.2,0.24514,0.28387,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.225,0.26146,0.29403,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.32357,0.31141,0.30762,4.0
2,pearson,0.33886,0.33036,0.32985,4.0
2,pairwise_acc,0.64748,0.65186,0.65785,4.0
,,,,,
3,ndcg@k_e,0.38214,0.41496,0.44471,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.76895,0.77955,0.78916,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.35275,0.39926,0.44141,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.37166,0.42235,0.46829,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.29897,0.34,0.37718,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
3,hit_rate@3,0.16667,0.20359,0.23706,2.0
3,hit_rate@3_rand,0.01284,0.0111,0.00953,2.0
3,hit_rate@5,0.2,0.24431,0.28448,2.0
3,hit_rate@5_rand,0.0141,0.0127,0.01144,2.0
3,hit_rate@10,0.15,0.18323,0.21336,2.0
3,hit_rate@10_rand,0.0149,0.01346,0.01215,2.0
3,spearman,0.09058,0.09594,0.10081,2.0
3,pearson,0.1712,0.19738,0.22111,2.0
3,pairwise_acc,0.53325,0.53427,0.53519,2.0
,,,,,
4,ndcg@k_e,0.48765,0.46709,0.45829,2.0
4,ndcg@k_e_rand,0.19461,0.17542,0.16721,2.0
4,ndcg_full,0.81335,0.81669,0.81812,2.0
4,ndcg_full_rand,0.70111,0.72491,0.7351,2.0
4,ndcg@3,0.66321,0.64199,0.63291,2.0
4,ndcg@3_rand,0.15914,0.12387,0.10877,2.0
4,ndcg@5,0.55854,0.51813,0.50084,2.0
4,ndcg@5_rand,0.15914,0.12351,0.10826,2.0
4,ndcg@10,0.46723,0.43723,0.42439,2.0
4,ndcg@10_rand,0.16833,0.12741,0.10991,2.0
4,hit_rate@3,0.33333,0.33333,0.33333,2.0
4,hit_rate@3_rand,0.04433,0.02028,0.00999,2.0
4,hit_rate@5,0.2,0.2,0.2,2.0
4,hit_rate@5_rand,0.0444,0.02035,0.01006,2.0
4,hit_rate@10,0.15,0.18165,0.19519,2.0
4,hit_rate@10_rand,0.0441,0.01998,0.00967,2.0
4,spearman,0.37318,0.33659,0.32093,2.0
4,pearson,0.38664,0.34891,0.33276,2.0
4,pairwise_acc,0.64787,0.62151,0.61023,2.0
,,,,,
avg,ndcg@k_e,0.34918,0.35731,0.36674,11.0
avg,ndcg@k_e_rand,0.17732,0.17163,0.16832,11.0
avg,ndcg_full,0.74551,0.75029,0.75438,11.0
avg,ndcg_full_rand,0.67938,0.68362,0.68515,11.0
avg,ndcg@3,0.33795,0.34893,0.36058,11.0
avg,ndcg@3_rand,0.12239,0.11426,0.11027,11.0
avg,ndcg@5,0.31595,0.32425,0.33549,11.0
avg,ndcg@5_rand,0.12283,0.11467,0.1107,11.0
avg,ndcg@10,0.29786,0.30531,0.31514,11.0
avg,ndcg@10_rand,0.12744,0.11782,0.11311,11.0
avg,hit_rate@3,0.13333,0.14821,0.16132,11.0
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.12,0.13789,0.15367,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.125,0.14527,0.16052,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.2372,0.22854,0.22565,11.0
avg,pearson,0.26275,0.2587,0.26007,11.0
avg,pairwise_acc,0.59322,0.58899,0.58807,11.0
avg,ef@3,4.41696,,,11.0
avg,ef@5,4.20389,,,11.0
avg,ef@10,4.14186,,,11.0
