cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.27713,0.77584,0.34398,0.26947,0.29848,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.1,0.006,0.25692,0.26714,0.58641
1,BL_2023,720,4,0.27571,0.71594,0.23464,0.20919,0.16422,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.14501,0.1441,0.54577
1,JL_2024,623,4,0.22575,0.68284,0.0,0.05623,0.09003,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.13846,0.15574,0.55637
2,AA_2008,497,4,0.36549,0.57919,0.23464,0.19045,0.20794,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.33333,0.01067,0.2,0.011,0.1,0.0099,0.13829,0.17541,0.60427
2,KS_2024,140,4,0.27685,0.6486,0.07582,0.13189,0.24847,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.1,0.0355,0.56909,0.57237,0.69239
2,LX_2024_2,270,4,0.13677,0.59361,0.14286,0.10325,0.07935,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,0.03924,0.03061,0.5143
2,XH_2025,500,3,0.61389,0.85866,0.39664,0.56394,0.65414,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.33333,0.15067,0.6,0.1492,0.7,0.1532,0.54766,0.57705,0.77895
3,BL_2023_3CR,480,4,0.23403,0.72111,0.14286,0.14286,0.11382,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.06637,0.05302,0.52865
3,KW_2014,1182,4,0.53026,0.81679,0.56265,0.60045,0.48413,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.11479,0.28937,0.53785
4,JW_2024,1801,4,0.45517,0.81863,0.62969,0.4947,0.41983,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.33333,0.00633,0.2,0.0064,0.2,0.006,0.31537,0.32703,0.60622
4,SL_2020,91,4,0.52013,0.80807,0.69673,0.62238,0.51462,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.431,0.44625,0.68952
