fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.36961,0.36961,0.36961,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.79419,0.79419,0.79419,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.61214,0.61214,0.61214,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.46327,0.46327,0.46327,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.34894,0.34894,0.34894,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.33333,0.33333,0.33333,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.2,0.2,0.2,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.1,0.1,0.1,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.11936,0.11936,0.11936,1.0
0,pearson,0.15062,0.15062,0.15062,1.0
0,pairwise_acc,0.54005,0.54005,0.54005,1.0
,,,,,
1,ndcg@k_e,0.27462,0.26975,0.26489,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.7177,0.71589,0.71409,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.29808,0.28731,0.27656,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.27166,0.26387,0.2561,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.23602,0.22955,0.2231,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.16667,0.16064,0.15463,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.1,0.09638,0.09278,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.1,0.09638,0.09278,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.09865,0.09703,0.09542,2.0
1,pearson,0.11958,0.11735,0.11512,2.0
