cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.36961,0.79419,0.61214,0.46327,0.34894,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.33333,0.00633,0.2,0.0064,0.1,0.006,0.11936,0.15062,0.54005
1,BL_2023,720,4,0.13987,0.66778,0.0,0.05623,0.05715,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.0538,0.05771,0.51738
1,JL_2024,623,4,0.40937,0.76762,0.59617,0.4871,0.41489,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.33333,0.021,0.2,0.0208,0.2,0.0183,0.14351,0.18146,0.55832
2,AA_2008,497,4,0.40103,0.63355,0.36153,0.26129,0.31629,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.0,0.01067,0.0,0.011,0.1,0.0099,0.22038,0.25294,0.66692
2,KS_2024,140,4,0.34964,0.70671,0.39664,0.32627,0.33981,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.33333,0.034,0.2,0.0358,0.1,0.0355,0.50922,0.5035,0.67058
2,LX_2024_2,270,4,0.06712,0.56348,0.10934,0.07902,0.05321,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.14004,-0.14637,0.45516
2,XH_2025,500,3,0.56735,0.85061,0.79888,0.85465,0.77336,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.66667,0.15067,0.8,0.1492,0.7,0.1532,0.35596,0.37802,0.67994
3,BL_2023_3CR,480,4,0.27175,0.74662,0.14286,0.10325,0.10723,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.17667,0.17758,0.57696
3,KW_2014,1182,4,0.47951,0.83859,0.73184,0.64775,0.54188,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.66667,0.005,0.4,0.0078,0.3,0.0084,0.22252,0.38479,0.5737
4,JW_2024,1801,4,0.28923,0.78506,0.27694,0.22102,0.23491,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.28237,0.28053,0.59476
4,SL_2020,91,4,0.43753,0.78679,0.59776,0.51336,0.43446,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.55356,0.49895,0.74469
