fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.25182,0.25182,0.25182,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.76446,0.76446,0.76446,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.16041,0.16041,0.16041,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.19728,0.19728,0.19728,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.21595,0.21595,0.21595,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.1,0.1,0.1,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.12866,0.12866,0.12866,1.0
0,pearson,0.14743,0.14743,0.14743,1.0
0,pairwise_acc,0.54337,0.54337,0.54337,1.0
,,,,,
1,ndcg@k_e,0.24914,0.24901,0.24887,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.69458,0.69429,0.694,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.10056,0.09692,0.0933,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.13315,0.13128,0.12941,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.16928,0.1672,0.16512,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.05,0.04819,0.04639,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.06198,0.06111,0.06023,2.0
1,pearson,0.0931,0.09218,0.09126,2.0
1,pairwise_acc,0.52465,0.52423,0.5238,2.0
,,,,,
2,ndcg@k_e,0.36777,0.4054,0.44014,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.7034,0.72234,0.73956,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.44713,0.52114,0.58542,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.40706,0.47372,0.53195,4.0
