cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.25182,0.76446,0.16041,0.19728,0.21595,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.1,0.006,0.12866,0.14743,0.54337
1,BL_2023,720,4,0.24543,0.68659,0.0,0.08134,0.11158,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.0377,0.06767,0.51277
1,JL_2024,623,4,0.25285,0.70257,0.20112,0.18496,0.22699,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.1,0.0183,0.08627,0.11853,0.53654
2,AA_2008,497,4,0.51334,0.71399,0.56984,0.54304,0.44083,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.33333,0.01067,0.4,0.011,0.2,0.0099,0.16165,0.25349,0.6229
2,KS_2024,140,4,0.27357,0.64794,0.14286,0.14286,0.19041,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,0.50643,0.53948,0.6678
2,LX_2024_2,270,4,0.07058,0.56883,0.07582,0.0548,0.06969,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.12371,-0.11686,0.46269
2,XH_2025,500,3,0.61357,0.88283,1.0,0.88754,0.81298,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,1.0,0.15067,0.8,0.1492,0.7,0.1532,0.55116,0.56929,0.78029
3,BL_2023_3CR,480,4,0.273,0.74324,0.14286,0.12199,0.10865,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.18208,0.16487,0.57968
3,KW_2014,1182,4,0.55636,0.83953,0.83081,0.71928,0.54803,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.66667,0.005,0.4,0.0078,0.2,0.0084,0.13532,0.32705,0.54473
4,JW_2024,1801,4,0.19379,0.75559,0.19393,0.16103,0.14756,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.12001,0.13027,0.54015
4,SL_2020,91,4,0.4902,0.80485,0.69673,0.58489,0.48558,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.49837,0.45673,0.72054
