fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.172,0.172,0.172,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.74624,0.74624,0.74624,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.0423,0.0423,0.0423,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.04931,0.04931,0.04931,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.08039,0.08039,0.08039,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.0,0.0,0.0,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.09331,0.09331,0.09331,1.0
0,pearson,0.1038,0.1038,0.1038,1.0
0,pairwise_acc,0.53115,0.53115,0.53115,1.0
,,,,,
1,ndcg@k_e,0.1936,0.1923,0.19101,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.67748,0.67727,0.67706,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.11732,0.1155,0.11369,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.08479,0.08348,0.08217,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.11632,0.1148,0.11328,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.05,0.04819,0.04639,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.04158,0.04179,0.04199,2.0
1,pearson,0.06701,0.06666,0.0663,2.0
1,pairwise_acc,0.51528,0.51527,0.51527,2.0
,,,,,
2,ndcg@k_e,0.34103,0.37332,0.40317,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.69568,0.71134,0.72561,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.40523,0.46702,0.52038,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.37731,0.43369,0.48257,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.37404,0.42202,0.46458,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.25,0.30635,0.35466,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.25,0.30647,0.35494,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.225,0.27581,0.3194,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.28507,0.27796,0.27938,4.0
2,pearson,0.2972,0.2936,0.29755,4.0
2,pairwise_acc,0.63813,0.6456,0.6544,4.0
,,,,,
3,ndcg@k_e,0.46982,0.5072,0.54107,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.80441,0.81763,0.82962,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.37031,0.4207,0.46638,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.37921,0.43574,0.48697,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.34752,0.39775,0.44328,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
3,hit_rate@3,0.16667,0.20359,0.23706,2.0
3,hit_rate@3_rand,0.01284,0.0111,0.00953,2.0
3,hit_rate@5,0.2,0.24431,0.28448,2.0
3,hit_rate@5_rand,0.0141,0.0127,0.01144,2.0
3,hit_rate@10,0.15,0.18323,0.21336,2.0
3,hit_rate@10_rand,0.0149,0.01346,0.01215,2.0
3,spearman,0.22177,0.23222,0.24169,2.0
3,pearson,0.31699,0.35145,0.38268,2.0
3,pairwise_acc,0.58291,0.58454,0.58602,2.0
,,,,,
4,ndcg@k_e,0.28014,0.17266,0.12667,2.0
4,ndcg@k_e_rand,0.19461,0.17542,0.16721,2.0
4,ndcg_full,0.76409,0.74993,0.74387,2.0
4,ndcg_full_rand,0.70111,0.72491,0.7351,2.0
4,ndcg@3,0.29888,0.10971,0.02875,2.0
4,ndcg@3_rand,0.15914,0.12387,0.10877,2.0
