fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.40824,0.40824,0.40824,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.81978,0.81978,0.81978,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.73184,0.73184,0.73184,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.64775,0.64775,0.64775,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.47208,0.47208,0.47208,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.66667,0.66667,0.66667,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.4,0.4,0.4,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.2,0.2,0.2,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.36286,0.36286,0.36286,1.0
0,pearson,0.36348,0.36348,0.36348,1.0
0,pairwise_acc,0.62215,0.62215,0.62215,1.0
,,,,,
1,ndcg@k_e,0.17421,0.1732,0.17218,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.67273,0.67246,0.6722,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.07143,0.07038,0.06933,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.09229,0.09006,0.08784,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.10218,0.10069,0.0992,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.0,0.0,0.0,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.0252,0.02556,0.02591,2.0
1,pearson,0.04781,0.04698,0.04615,2.0
1,pairwise_acc,0.5087,0.50877,0.50884,2.0
,,,,,
2,ndcg@k_e,0.29251,0.30699,0.3212,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.65717,0.6637,0.66989,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.23284,0.26155,0.28751,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.22557,0.25194,0.27575,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.29802,0.32454,0.34802,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.16667,0.20444,0.23691,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.15,0.18381,0.21279,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.2,0.23701,0.26752,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.26699,0.25745,0.25489,4.0
2,pearson,0.27594,0.27068,0.27134,4.0
2,pairwise_acc,0.62349,0.62887,0.63523,4.0
,,,,,
3,ndcg@k_e,0.42197,0.46241,0.49906,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.78548,0.79788,0.80912,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.35355,0.40766,0.4567,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.37648,0.4336,0.48538,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.30771,0.35663,0.40097,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
