fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.14835,0.14835,0.14835,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.7426,0.7426,0.7426,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.0423,0.0423,0.0423,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.03057,0.03057,0.03057,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.07338,0.07338,0.07338,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.0,0.0,0.0,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.16519,0.16519,0.16519,1.0
0,pearson,0.15965,0.15965,0.15965,1.0
0,pairwise_acc,0.55376,0.55376,0.55376,1.0
,,,,,
1,ndcg@k_e,0.19393,0.19361,0.19329,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.67707,0.67702,0.67697,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.13048,0.1294,0.12832,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.12455,0.1241,0.12366,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.12488,0.12372,0.12256,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.0,0.0,0.0,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.07602,0.07543,0.07483,2.0
1,pearson,0.08857,0.08742,0.08627,2.0
1,pairwise_acc,0.52812,0.52778,0.52744,2.0
,,,,,
2,ndcg@k_e,0.34381,0.36494,0.38448,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.67576,0.68734,0.69753,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.25798,0.28333,0.30787,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.27089,0.30507,0.3366,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.29437,0.32834,0.35941,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.16667,0.20413,0.2362,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.2,0.24477,0.28301,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.175,0.21438,0.24812,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.27518,0.26531,0.25915,4.0
2,pearson,0.30414,0.29368,0.28758,4.0
2,pairwise_acc,0.61712,0.61934,0.62204,4.0
,,,,,
3,ndcg@k_e,0.42595,0.46153,0.49379,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.79556,0.80797,0.81922,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.39864,0.46469,0.52455,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.40907,0.47482,0.53442,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.36993,0.42308,0.47127,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
3,hit_rate@3,0.16667,0.20359,0.23706,2.0
3,hit_rate@3_rand,0.01284,0.0111,0.00953,2.0
3,hit_rate@5,0.2,0.24431,0.28448,2.0
3,hit_rate@5_rand,0.0141,0.0127,0.01144,2.0
3,hit_rate@10,0.15,0.18323,0.21336,2.0
3,hit_rate@10_rand,0.0149,0.01346,0.01215,2.0
3,spearman,0.17128,0.1724,0.17342,2.0
3,pearson,0.2747,0.29116,0.30607,2.0
3,pairwise_acc,0.56429,0.5629,0.56164,2.0
,,,,,
4,ndcg@k_e,0.36843,0.26534,0.22123,2.0
4,ndcg@k_e_rand,0.19461,0.17542,0.16721,2.0
4,ndcg_full,0.79095,0.76884,0.75938,2.0
4,ndcg_full_rand,0.70111,0.72491,0.7351,2.0
4,ndcg@3,0.42857,0.25884,0.18621,2.0
4,ndcg@3_rand,0.15914,0.12387,0.10877,2.0
4,ndcg@5,0.34829,0.20122,0.13828,2.0
4,ndcg@5_rand,0.15914,0.12351,0.10826,2.0
4,ndcg@10,0.32977,0.19348,0.13516,2.0
4,ndcg@10_rand,0.16833,0.12741,0.10991,2.0
4,hit_rate@3,0.16667,0.06118,0.01603,2.0
4,hit_rate@3_rand,0.04433,0.02028,0.00999,2.0
4,hit_rate@5,0.1,0.03671,0.00962,2.0
4,hit_rate@5_rand,0.0444,0.02035,0.01006,2.0
