fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.23869,0.23869,0.23869,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.77447,0.77447,0.77447,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.20112,0.20112,0.20112,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.20796,0.20796,0.20796,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.16609,0.16609,0.16609,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.0,0.0,0.0,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.0,0.0,0.0,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.0,0.0,0.0,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.21488,0.21488,0.21488,1.0
0,pearson,0.23198,0.23198,0.23198,1.0
0,pairwise_acc,0.57209,0.57209,0.57209,1.0
,,,,,
1,ndcg@k_e,0.18934,0.18768,0.18603,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.676,0.67569,0.67538,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.05467,0.05543,0.0562,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.06869,0.06962,0.07055,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.08009,0.08085,0.08159,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.0,0.0,0.0,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.03946,0.0388,0.03815,2.0
1,pearson,0.06822,0.06657,0.06493,2.0
1,pairwise_acc,0.51549,0.51519,0.51489,2.0
,,,,,
2,ndcg@k_e,0.32702,0.34913,0.37004,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.67572,0.68611,0.69562,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.25439,0.29264,0.32514,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.30109,0.34777,0.38781,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.31897,0.35096,0.3798,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.16667,0.20413,0.2362,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
2,hit_rate@5,0.25,0.30629,0.35451,4.0
2,hit_rate@5_rand,0.0562,0.06142,0.066,4.0
2,hit_rate@10,0.225,0.26127,0.2936,4.0
2,hit_rate@10_rand,0.05785,0.06316,0.06777,4.0
2,spearman,0.29361,0.28155,0.27816,4.0
2,pearson,0.30509,0.29699,0.29635,4.0
2,pairwise_acc,0.63512,0.63976,0.64601,4.0
,,,,,
3,ndcg@k_e,0.44798,0.48297,0.5147,2.0
3,ndcg@k_e_rand,0.20143,0.19402,0.18732,2.0
3,ndcg_full,0.79924,0.81164,0.82288,2.0
3,ndcg_full_rand,0.71685,0.71535,0.71399,2.0
3,ndcg@3,0.41979,0.48115,0.53677,2.0
3,ndcg@3_rand,0.12593,0.12051,0.1156,2.0
3,ndcg@5,0.42435,0.48672,0.54325,2.0
3,ndcg@5_rand,0.1269,0.12179,0.11716,2.0
3,ndcg@10,0.36275,0.41605,0.46437,2.0
3,ndcg@10_rand,0.12799,0.12302,0.11851,2.0
3,hit_rate@3,0.16667,0.20359,0.23706,2.0
3,hit_rate@3_rand,0.01284,0.0111,0.00953,2.0
3,hit_rate@5,0.2,0.24431,0.28448,2.0
3,hit_rate@5_rand,0.0141,0.0127,0.01144,2.0
3,hit_rate@10,0.15,0.18323,0.21336,2.0
3,hit_rate@10_rand,0.0149,0.01346,0.01215,2.0
3,spearman,0.16886,0.17489,0.18036,2.0
3,pearson,0.27091,0.29778,0.32215,2.0
3,pairwise_acc,0.56324,0.5636,0.56393,2.0
,,,,,
4,ndcg@k_e,0.3704,0.30133,0.27177,2.0
4,ndcg@k_e_rand,0.19461,0.17542,0.16721,2.0
4,ndcg_full,0.79763,0.78445,0.7788,2.0
4,ndcg_full_rand,0.70111,0.72491,0.7351,2.0
4,ndcg@3,0.36512,0.15524,0.06542,2.0
4,ndcg@3_rand,0.15914,0.12387,0.10877,2.0
4,ndcg@5,0.35461,0.22071,0.16341,2.0
4,ndcg@5_rand,0.15914,0.12351,0.10826,2.0
4,ndcg@10,0.31361,0.21132,0.16755,2.0
4,ndcg@10_rand,0.16833,0.12741,0.10991,2.0
4,hit_rate@3,0.16667,0.06118,0.01603,2.0
4,hit_rate@3_rand,0.04433,0.02028,0.00999,2.0
4,hit_rate@5,0.1,0.03671,0.00962,2.0
4,hit_rate@5_rand,0.0444,0.02035,0.01006,2.0
4,hit_rate@10,0.05,0.01835,0.00481,2.0
4,hit_rate@10_rand,0.0441,0.01998,0.00967,2.0
4,spearman,0.39614,0.32911,0.30042,2.0
4,pearson,0.40098,0.33854,0.31181,2.0
4,pairwise_acc,0.66034,0.6208,0.60388,2.0
,,,,,
avg,ndcg@k_e,0.31469,0.31196,0.31625,11.0
avg,ndcg@k_e_rand,0.17732,0.17163,0.16832,11.0
avg,ndcg_full,0.74461,0.74647,0.74943,11.0
avg,ndcg_full_rand,0.67938,0.68362,0.68515,11.0
avg,ndcg@3,0.25902,0.23712,0.23693,11.0
avg,ndcg@3_rand,0.12239,0.11426,0.11027,11.0
avg,ndcg@5,0.27134,0.26656,0.2746,11.0
avg,ndcg@5_rand,0.12283,0.11467,0.1107,11.0
avg,ndcg@10,0.2483,0.24505,0.25188,11.0
avg,ndcg@10_rand,0.12744,0.11782,0.11311,11.0
avg,hit_rate@3,0.1,0.09378,0.09786,11.0
avg,hit_rate@3_rand,0.02708,0.02297,0.02149,11.0
avg,hit_rate@5,0.11,0.11746,0.12972,11.0
avg,hit_rate@5_rand,0.02746,0.02338,0.02195,11.0
avg,hit_rate@10,0.085,0.09257,0.10235,11.0
avg,hit_rate@10_rand,0.02766,0.02359,0.02217,11.0
avg,spearman,0.22259,0.20785,0.20239,11.0
avg,pearson,0.25544,0.24637,0.24544,11.0
avg,pairwise_acc,0.58926,0.58229,0.58016,11.0
avg,gw_pair_acc,0.64461,,,5.0
avg,ef@3,3.53356,,,11.0
avg,ef@5,4.20389,,,11.0
avg,ef@10,3.36526,,,11.0
