fold,metric,mean,sqrt_n_mean,n_weighted_mean,n_exp
0,ndcg@k_e,0.4115,0.4115,0.4115,1.0
0,ndcg@k_e_rand,0.16429,0.16429,0.16429,1.0
0,ndcg_full,0.81453,0.81453,0.81453,1.0
0,ndcg_full_rand,0.73872,0.73872,0.73872,1.0
0,ndcg@3,0.73184,0.73184,0.73184,1.0
0,ndcg@3_rand,0.10341,0.10341,0.10341,1.0
0,ndcg@5,0.64775,0.64775,0.64775,1.0
0,ndcg@5_rand,0.10285,0.10285,0.10285,1.0
0,ndcg@10,0.47951,0.47951,0.47951,1.0
0,ndcg@10_rand,0.10369,0.10369,0.10369,1.0
0,hit_rate@3,0.66667,0.66667,0.66667,1.0
0,hit_rate@3_rand,0.00633,0.00633,0.00633,1.0
0,hit_rate@5,0.4,0.4,0.4,1.0
0,hit_rate@5_rand,0.0064,0.0064,0.0064,1.0
0,hit_rate@10,0.2,0.2,0.2,1.0
0,hit_rate@10_rand,0.006,0.006,0.006,1.0
0,spearman,0.25649,0.25649,0.25649,1.0
0,pearson,0.27475,0.27475,0.27475,1.0
0,pairwise_acc,0.58659,0.58659,0.58659,1.0
,,,,,
1,ndcg@k_e,0.24812,0.24728,0.24644,2.0
1,ndcg@k_e_rand,0.17017,0.1702,0.17024,2.0
1,ndcg_full,0.7003,0.70006,0.69982,2.0
1,ndcg_full_rand,0.66278,0.66314,0.6635,2.0
1,ndcg@3,0.09258,0.09319,0.09379,2.0
1,ndcg@3_rand,0.10469,0.10462,0.10454,2.0
1,ndcg@5,0.10865,0.10833,0.10801,2.0
1,ndcg@5_rand,0.10615,0.1061,0.10605,2.0
1,ndcg@10,0.12293,0.12195,0.12096,2.0
1,ndcg@10_rand,0.10648,0.10647,0.10646,2.0
1,hit_rate@3,0.0,0.0,0.0,2.0
1,hit_rate@3_rand,0.0155,0.0153,0.0151,2.0
1,hit_rate@5,0.0,0.0,0.0,2.0
1,hit_rate@5_rand,0.0162,0.01603,0.01587,2.0
1,hit_rate@10,0.05,0.04819,0.04639,2.0
1,hit_rate@10_rand,0.01545,0.01535,0.01524,2.0
1,spearman,0.11982,0.12051,0.12119,2.0
1,pearson,0.13867,0.13813,0.1376,2.0
1,pairwise_acc,0.54295,0.54305,0.54315,2.0
,,,,,
2,ndcg@k_e,0.34536,0.37384,0.39862,4.0
2,ndcg@k_e_rand,0.15612,0.1542,0.15255,4.0
2,ndcg_full,0.67546,0.68579,0.69491,4.0
2,ndcg_full_rand,0.57742,0.57599,0.57444,4.0
2,ndcg@3,0.28571,0.32984,0.36958,4.0
2,ndcg@3_rand,0.1188,0.11889,0.11905,4.0
2,ndcg@5,0.29562,0.33863,0.37687,4.0
2,ndcg@5_rand,0.11913,0.11911,0.1192,4.0
2,ndcg@10,0.36258,0.40542,0.44197,4.0
2,ndcg@10_rand,0.1307,0.12849,0.12699,4.0
2,hit_rate@3,0.25,0.30666,0.35537,4.0
2,hit_rate@3_rand,0.05642,0.06182,0.06652,4.0
