cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.3066,0.78788,0.27694,0.23976,0.25352,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.2853,0.29326,0.59622
1,BL_2023,720,4,0.15658,0.67154,0.06704,0.0672,0.06389,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.06754,0.06338,0.52156
1,JL_2024,623,4,0.20255,0.6781,0.14286,0.10325,0.10584,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.01835,0.0794,0.50843
2,AA_2008,497,4,0.51397,0.72085,0.73184,0.67499,0.55979,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.66667,0.01067,0.6,0.011,0.3,0.0099,0.13208,0.19998,0.60029
2,KS_2024,140,4,0.50687,0.78662,0.5028,0.51546,0.52873,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.33333,0.034,0.4,0.0358,0.2,0.0355,0.61431,0.60749,0.70298
2,LX_2024_2,270,4,0.0788,0.57013,0.0423,0.07018,0.07958,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.05402,-0.0476,0.48743
2,XH_2025,500,3,0.54718,0.86163,0.74622,0.69138,0.73684,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.66667,0.15067,0.6,0.1492,0.7,0.1532,0.49371,0.51276,0.74935
3,BL_2023_3CR,480,4,0.23323,0.74207,0.14286,0.12411,0.11029,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.22635,0.18723,0.59962
3,KW_2014,1182,4,0.61904,0.8549,0.59776,0.62582,0.55026,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.22096,0.42857,0.57423
4,JW_2024,1801,4,0.32592,0.79195,0.27694,0.27725,0.20839,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.3683,0.38201,0.62444
4,SL_2020,91,4,0.45583,0.77888,0.59776,0.55085,0.45222,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.3987,0.43015,0.67483
