cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.186,0.76172,0.29608,0.21399,0.14833,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.33333,0.00633,0.2,0.0064,0.1,0.006,0.1525,0.14967,0.55052
1,BL_2023,720,4,0.23884,0.69139,0.10934,0.09776,0.12344,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.093,0.08346,0.52968
1,JL_2024,623,4,0.26131,0.68945,0.22745,0.28322,0.26821,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,-0.01405,0.01388,0.49524
2,AA_2008,497,4,0.48108,0.71385,0.76536,0.59276,0.58206,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.66667,0.01067,0.4,0.011,0.3,0.0099,0.06589,0.14009,0.54979
2,KS_2024,140,4,0.10732,0.54374,0.07582,0.13614,0.11052,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.0,0.0355,-0.03487,-0.03145,0.48724
2,LX_2024_2,270,4,0.32921,0.72001,0.51158,0.3906,0.35428,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.33333,0.03033,0.2,0.0288,0.2,0.0328,0.23725,0.26642,0.58016
2,XH_2025,500,3,0.54715,0.84706,1.0,0.76234,0.67494,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,1.0,0.15067,0.6,0.1492,0.5,0.1532,0.43117,0.43417,0.71903
3,BL_2023_3CR,480,4,0.26389,0.74319,0.10934,0.09989,0.09457,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.20132,0.20389,0.58659
3,KW_2014,1182,4,0.65087,0.8498,0.73184,0.64775,0.6156,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.66667,0.005,0.4,0.0078,0.3,0.0084,0.10857,0.293,0.535
4,JW_2024,1801,4,0.2643,0.77428,0.1676,0.20247,0.19018,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.15182,0.14743,0.55143
4,SL_2020,91,4,0.46472,0.80553,0.59776,0.51336,0.48049,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.4266,0.47534,0.68234
