cv_fold,experiment_id,n_vals,n_rel_levels,ndcg@k_e,ndcg_full,ndcg@3,ndcg@5,ndcg@10,ndcg@k_e_rand,ndcg_full_rand,ndcg@3_rand,ndcg@5_rand,ndcg@10_rand,ndcg@k_e_rand_std,hit_rate@3,hit_rate@3_rand,hit_rate@5,hit_rate@5_rand,hit_rate@10,hit_rate@10_rand,spearman,pearson,pairwise_acc
0,JW_2024,1801,4,0.23869,0.77447,0.20112,0.20796,0.16609,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.21488,0.23198,0.57209
1,BL_2023,720,4,0.14357,0.6674,0.07582,0.09441,0.10086,0.1712,0.67281,0.10266,0.10487,0.10614,0.03934,0.0,0.01,0.0,0.0116,0.0,0.0126,0.02142,0.02258,0.50714
1,JL_2024,623,4,0.23511,0.68461,0.03352,0.04297,0.05933,0.16913,0.65274,0.10672,0.10742,0.10682,0.0424,0.0,0.021,0.0,0.0208,0.0,0.0183,0.05749,0.11387,0.52384
2,AA_2008,497,4,0.36874,0.61656,0.29608,0.34519,0.36708,0.09232,0.44384,0.03826,0.03896,0.04671,0.04646,0.33333,0.01067,0.4,0.011,0.3,0.0099,0.16221,0.21163,0.62307
2,KS_2024,140,4,0.28599,0.64639,0.07582,0.09441,0.21804,0.1641,0.57321,0.12051,0.12156,0.15115,0.08422,0.0,0.034,0.0,0.0358,0.1,0.0355,0.54842,0.52384,0.68056
2,LX_2024_2,270,4,0.12751,0.6007,0.10056,0.09354,0.10416,0.16628,0.60394,0.11562,0.1159,0.12249,0.0575,0.0,0.03033,0.0,0.0288,0.0,0.0328,-0.00897,0.01734,0.49753
2,XH_2025,500,3,0.52583,0.83924,0.5451,0.67123,0.58658,0.20177,0.68867,0.20081,0.20008,0.20245,0.05202,0.33333,0.15067,0.6,0.1492,0.5,0.1532,0.47279,0.46754,0.73932
3,BL_2023_3CR,480,4,0.29001,0.74326,0.14286,0.14286,0.12219,0.23483,0.72363,0.15038,0.14995,0.15045,0.03924,0.0,0.02067,0.0,0.0204,0.0,0.0214,0.14164,0.14959,0.56163
3,KW_2014,1182,4,0.60594,0.85521,0.69673,0.70584,0.60332,0.16802,0.71007,0.10147,0.10384,0.10554,0.03693,0.33333,0.005,0.4,0.0078,0.3,0.0084,0.19608,0.39222,0.56486
4,JW_2024,1801,4,0.26127,0.7768,0.03352,0.14306,0.152,0.16429,0.73872,0.10341,0.10285,0.10369,0.03721,0.0,0.00633,0.0,0.0064,0.0,0.006,0.29023,0.30232,0.59787
4,SL_2020,91,4,0.47952,0.81846,0.69673,0.56615,0.47521,0.22493,0.66349,0.21488,0.21543,0.23296,0.09326,0.33333,0.08233,0.2,0.0824,0.1,0.0822,0.50205,0.49965,0.72282
