feature,mean_gain
chemberta_256,268.46711883544924
num_unsaturated_cc_bonds,250.8030792236328
mgk_1,229.35074768066406
chemberta_124,190.61695022583007
Dose_ug_nucleicacid,190.0773193359375
chemberta_371,179.20604782104493
mgk_40,174.11446075439454
mgk_24,172.2318374633789
chemberta_160,170.06138458251954
chemberta_116,163.48040618896485
chemberta_178,158.37848205566405
Model_type_HepG2,157.66521301269532
Topological.Polar.Surface.Area,149.81376609802246
Hydrogen.Bond.Donors,144.39682159423828
mgk_12,144.13381156921386
mgk_39,136.13473510742188
chemberta_334,133.62759246826172
chemberta_190,133.04174346923827
PEG_molratio,130.8194122314453
chemberta_162,127.40135192871094
Model_type_A549,126.2406494140625
mgk_19,118.03114471435546
LogP,114.88128814697265
mgk_16,114.61182708740235
mgk_7,114.4917049407959
chemberta_382,113.94157562255859
mgk_35,113.49072914123535
chemberta_150,113.18148422241211
chemberta_189,110.91593399047852
mgk_38,107.16303405761718
chemberta_39,103.87374420166016
mgk_33,99.66981773376465
chemberta_248,96.48274536132813
chemberta_277,96.16623077392578
mgk_36,94.63730602264404
chemberta_347,94.19732131958008
chemberta_254,92.93005676269532
chemberta_266,92.5449447631836
chemberta_339,88.37891426086426
Hydrogen.Bond.Acceptors,88.06267108917237
chemberta_120,86.71834259033203
chemberta_14,85.45902366638184
chemberta_66,83.91559982299805
chemberta_140,83.8538688659668
chemberta_354,82.73286285400391
mgk_23,81.30579528808593
chemberta_60,80.39184455871582
chemberta_222,79.95253982543946
chemberta_288,79.80590209960937
Model_type_HeLa,79.75377197265625
mgk_30,79.3366542816162
CHL_molratio,79.0811767578125
chemberta_18,78.5032506942749
chemberta_237,77.99062271118164
Nitrogen.Count,76.24575576782226
chemberta_72,75.17304763793945
mgk_6,74.84928512573242
chemberta_123,73.90318222045899
chemberta_192,72.8171142578125
mgk_3,72.59662704467773
chemberta_304,72.59191589355468
mgk_22,72.23327522277832
chemberta_137,72.21700820922851
chemberta_229,72.08202285766602
mgk_27,71.57373886108398
chemberta_306,71.31433944702148
mgk_41,70.87671089172363
chemberta_320,70.26438446044922
chemberta_199,70.01929779052735
mgk_21,69.69009552001953
chemberta_231,69.2648323059082
chemberta_30,68.6491470336914
chemberta_366,68.07548141479492
chemberta_161,68.07385330200195
mgk_4,66.52095031738281
chemberta_26,66.51778602600098
chemberta_260,66.50901641845704
mgk_20,66.4381004333496
chemberta_215,65.76501274108887
chemberta_278,65.22721405029297
van.der.Waals.Molecular.Volume,65.1727352142334
chemberta_58,65.02031440734864
chemberta_143,64.48873367309571
chemberta_330,64.40027389526367
chemberta_265,64.15980224609375
mgk_43,64.0613353729248
chemberta_249,63.697584533691405
chemberta_46,63.68793258666992
mgk_55,62.83912658691406
