feature,mean_gain
LogP,387.7520233154297
num_unsaturated_cc_bonds,245.4765167236328
Model_type_HepG2,225.0697448730469
mgk_1,221.27984619140625
chemberta_pca_133,202.4184711456299
mgk_24,200.6161331176758
Nitrogen.Count,176.12888793945314
Dose_ug_nucleicacid,175.90381469726563
mgk_40,172.24580917358398
mgk_19,169.66546707153321
mgk_22,166.20385971069337
Molar.Refractivity,162.91915435791014
PEG_molratio,156.01581726074218
mgk_39,151.0444179534912
mgk_38,147.97572479248046
mgk_16,145.10708465576172
chemberta_pca_253,140.42250862121583
mgk_54,137.49766120910644
Model_type_HeLa,137.17939147949218
mgk_36,136.16278305053712
chemberta_pca_136,133.3410614013672
Model_type_A549,129.5168014526367
mgk_30,128.5592071533203
Num_carbon_in_tail,124.32937774658203
mgk_41,123.58119010925293
chemberta_pca_197,120.50382843017579
chemberta_pca_50,120.16909866333008
Heavy.Atoms,119.76227912902831
chemberta_pca_243,115.95554313659667
Topological.Polar.Surface.Area,111.34072418212891
mgk_21,111.32606811523438
chemberta_pca_220,109.44672813415528
Hydrogen.Bond.Acceptors,106.1094467163086
mgk_32,105.49530906677246
chemberta_pca_19,105.35011787414551
chemberta_pca_48,103.42824840545654
chemberta_pca_184,102.02447814941407
chemberta_pca_209,101.96583557128906
mgk_4,101.00772628784179
chemberta_pca_128,99.20404243469238
mgk_53,96.88037338256837
mgk_12,96.61117591857911
mgk_60,94.99624633789062
mgk_17,94.8845329284668
mgk_44,94.84513511657715
chemberta_pca_213,92.60724639892578
mgk_23,91.78141174316406
chemberta_pca_223,91.03123397827149
chemberta_pca_18,90.50112571716309
chemberta_pca_41,88.0252914428711
chemberta_pca_36,87.84910163879394
chemberta_pca_86,86.86496086120606
mgk_15,86.79774856567383
chemberta_pca_38,85.17862930297852
Rotatable.Bonds,84.90866889953614
mgk_3,84.90520629882812
chemberta_pca_28,83.90936813354492
chemberta_pca_16,83.5390411376953
chemberta_pca_141,81.55996208190918
mgk_61,80.11962242126465
chemberta_pca_217,79.86918830871582
chemberta_pca_242,79.85249252319336
chemberta_pca_251,79.15187301635743
mgk_58,76.47063293457032
chemberta_pca_23,74.11195449829101
mgk_43,74.04380531311035
mgk_27,73.46031761169434
mgk_52,72.36278495788574
mgk_31,71.60276489257812
mgk_33,70.5417350769043
mgk_14,70.39506072998047
chemberta_pca_238,70.22386016845704
CHL_molratio,69.9141746520996
chemberta_pca_70,69.59967384338378
mgk_2,69.21059494018554
mgk_29,69.16359024047851
chemberta_pca_216,68.87516212463379
chemberta_pca_182,68.60205535888672
chemberta_pca_25,68.5706184387207
chemberta_pca_33,67.95478248596191
mgk_63,66.53156433105468
chemberta_pca_105,66.38875160217285
chemberta_pca_99,65.95857963562011
chemberta_pca_147,65.93918838500977
chemberta_pca_131,65.88121910095215
chemberta_pca_74,65.55251617431641
mgk_20,64.27178611755372
chemberta_pca_126,64.06300773620606
mgk_62,64.03525161743164
chemberta_pca_27,63.617736434936525
mgk_35,63.54653091430664
chemberta_pca_40,62.87737350463867
chemberta_pca_24,62.57639999389649
chemberta_pca_221,62.56595649719238
mgk_55,62.49700164794922
chemberta_pca_125,61.94208335876465
mgk_6,61.89813919067383
chemberta_pca_219,61.43207473754883
chemberta_pca_47,61.10705718994141
chemberta_pca_14,60.948024368286134
mgk_50,60.912548828125
molwtlog1p,60.785858154296875
chemberta_pca_7,60.464404296875
chemberta_pca_31,60.106319427490234
mgk_57,60.0033821105957
chemberta_pca_114,59.9869140625
chemberta_pca_175,59.67394485473633
chemberta_pca_152,59.52943572998047
mgk_7,59.46904067993164
chemberta_pca_5,59.41504058837891
chemberta_pca_53,59.40326766967773
num_protonatable_nitrogens,59.33169593811035
chemberta_pca_215,58.99815711975098
chemberta_pca_66,58.8267204284668
chemberta_pca_84,58.690618896484374
chemberta_pca_55,57.94490966796875
chemberta_pca_6,57.9351619720459
chemberta_pca_77,57.8156177520752
chemberta_pca_245,57.53379592895508
chemberta_pca_13,57.53243560791016
chemberta_pca_12,57.36636238098144
mgk_45,57.36027488708496
HL_name_DSPC,57.34018745422363
mgk_46,57.0295166015625
chemberta_pca_62,56.81360549926758
mgk_37,56.711643600463866
chemberta_pca_35,56.65307807922363
chemberta_pca_206,56.36080551147461
mgk_59,56.32303009033203
chemberta_pca_104,56.275189590454104
mgk_0,56.10688018798828
chemberta_pca_63,56.0271499633789
chemberta_pca_146,55.76109237670899
mgk_51,55.60282974243164
mgk_56,55.590810012817386
chemberta_pca_81,55.56585540771484
chemberta_pca_98,55.354762649536134
chemberta_pca_156,55.24458999633789
chemberta_pca_59,54.65510787963867
chemberta_pca_254,54.60525550842285
chemberta_pca_142,54.512499237060545
chemberta_pca_121,54.28139381408691
chemberta_pca_30,53.930511474609375
chemberta_pca_100,53.90341987609863
chemberta_pca_29,53.75687103271484
Hydrogen.Bond.Donors,53.53216552734375
chemberta_pca_109,53.45128860473633
chemberta_pca_26,53.307848358154295
chemberta_pca_228,53.208587646484375
mgk_34,53.06906013488769
chemberta_pca_130,53.00209293365479
chemberta_pca_22,52.718149185180664
chemberta_pca_139,52.675008392333986
chemberta_pca_78,52.59887351989746
chemberta_pca_122,52.508345413208005
chemberta_pca_159,52.43983154296875
