feature,mean_gain
mgk_1,253.88995361328125
Model_type_HepG2,224.80954284667968
num_unsaturated_cc_bonds,198.16942443847657
Dose_ug_nucleicacid,181.09748229980468
Nitrogen.Count,155.274267578125
PEG_molratio,148.8359619140625
mgk_24,133.89263648986815
mgk_40,125.76713943481445
mgk_38,119.5016372680664
LogP,118.44843826293945
Model_type_A549,103.4646240234375
mgk_19,103.0881519317627
Topological.Polar.Surface.Area,101.43044738769531
mgk_16,100.78458023071289
Hydrogen.Bond.Acceptors,100.22263870239257
mgk_22,92.52941131591797
Model_type_HeLa,88.27543792724609
mgk_12,83.8930679321289
mgk_41,83.36715850830078
mgk_36,77.66093940734864
chemberta_pca_41,77.3168701171875
Num_carbon_in_tail,76.12490463256836
mgk_30,74.24601516723632
mgk_43,70.7302360534668
mgk_14,68.58881797790528
mgk_27,68.21648712158203
mgk_23,67.57052345275879
mgk_0,66.41779022216797
mgk_7,66.21147842407227
Heavy.Atoms,65.15071716308594
CHL_molratio,64.59627075195313
HL_name_DSPC,64.5688705444336
mgk_53,63.69747428894043
mgk_54,62.603488540649415
mgk_35,61.36733779907227
mgk_62,61.135769271850585
mgk_61,60.90502166748047
num_protonatable_nitrogens,60.81980667114258
mgk_59,60.70470962524414
mgk_33,60.16306610107422
mgk_20,59.23719596862793
chemberta_pca_50,58.52561225891113
mgk_4,58.46216506958008
mgk_52,58.307508850097655
mgk_58,57.96114273071289
mgk_63,57.37330207824707
mgk_34,57.33426170349121
mgk_6,56.9795581817627
mgk_25,56.27906875610351
mgk_37,55.79458770751953
mgk_55,55.7615047454834
mgk_3,55.26396484375
mgk_21,54.37915191650391
mgk_17,54.17325286865234
mgk_32,52.02350387573242
mgk_56,51.7381778717041
chemberta_pca_9,51.6962272644043
mgk_44,51.44556159973145
mgk_39,51.24588279724121
mgk_46,50.22416648864746
mgk_10,50.05942840576172
mgk_60,49.676019287109376
chemberta_pca_23,49.16433410644531
chemberta_pca_14,49.14622039794922
mgk_50,48.93123893737793
Molar.Refractivity,48.81837005615235
chemberta_pca_28,48.18337173461914
mgk_26,47.31080284118652
mgk_11,47.19769287109375
mgk_15,46.917061233520506
mgk_9,46.76170768737793
mgk_57,46.71418342590332
van.der.Waals.Molecular.Volume,46.56080513000488
chemberta_pca_34,46.326283645629886
mgk_31,45.88074645996094
chemberta_pca_48,45.82175178527832
mgk_29,45.12416076660156
mgk_18,45.040106201171874
chemberta_pca_19,44.991607666015625
chemberta_pca_38,44.80877799987793
has_ester,44.69778394699097
mgk_28,44.49506664276123
mgk_8,44.13782424926758
chemberta_pca_16,42.92861137390137
chemberta_pca_61,42.60301628112793
chemberta_pca_55,42.438453674316406
mgk_2,42.30590667724609
chemberta_pca_27,42.17079811096191
chemberta_pca_29,41.81632194519043
chemberta_pca_13,41.65863876342773
mgk_13,41.624779510498044
mgk_49,41.36092681884766
Hydrogen.Bond.Donors,41.130522918701175
chemberta_pca_36,40.50565605163574
chemberta_pca_18,40.100577926635744
mgk_45,39.66991920471192
mgk_48,39.18936424255371
chemberta_pca_24,38.869802474975586
chemberta_pca_30,38.807141876220705
chemberta_pca_21,38.77006874084473
mgk_51,38.69065361022949
chemberta_pca_7,38.60573310852051
chemberta_pca_1,38.54414100646973
chemberta_pca_46,38.49758453369141
chemberta_pca_35,37.656389236450195
chemberta_pca_22,37.53163566589355
chemberta_pca_42,37.15027961730957
chemberta_pca_31,36.959048461914065
chemberta_pca_62,36.95452651977539
mgk_47,36.658691024780275
chemberta_pca_51,36.488007354736325
chemberta_pca_8,36.09074478149414
chemberta_pca_44,35.629695129394534
molwtlog1p,35.55983352661133
chemberta_pca_2,35.549149703979495
chemberta_pca_12,35.48735084533691
Rotatable.Bonds,35.38504486083984
chemberta_pca_40,34.957666015625
chemberta_pca_43,34.771627807617186
chemberta_pca_33,34.761684036254884
chemberta_pca_6,34.649238967895506
chemberta_pca_37,34.631921005249026
Fraction.sp3.Carbons,34.41685829162598
mgk_42,34.17330360412598
chemberta_pca_26,33.7924560546875
chemberta_pca_59,33.59227752685547
chemberta_pca_53,33.15263671875
chemberta_pca_32,33.08177108764649
chemberta_pca_25,32.60579605102539
chemberta_pca_5,32.059268951416016
chemberta_pca_49,32.0310245513916
chemberta_pca_58,31.8645938873291
chemberta_pca_63,31.770309448242188
chemberta_pca_57,31.092305374145507
chemberta_pca_60,30.618310928344727
chemberta_pca_47,30.334696197509764
chemberta_pca_17,29.991004943847656
chemberta_pca_56,29.810345077514647
chemberta_pca_10,29.218595123291017
chemberta_pca_52,29.194530487060547
chemberta_pca_39,28.827188873291014
chemberta_pca_20,28.50182228088379
chemberta_pca_15,28.430670166015624
chemberta_pca_45,28.399287033081055
chemberta_pca_11,28.103705215454102
chemberta_pca_54,27.3052734375
Model_type_IGROV1,26.512993621826173
mgk_5,26.50597381591797
chemberta_pca_3,25.616378021240234
Model_type_BeWo_b30,24.1661376953125
chemberta_pca_4,22.606386756896974
chemberta_pca_0,21.153326416015624
HL_molratio,20.386760902404784
IL_to_nucleicacid_massratio,13.670553016662598
IL_molratio,13.357332038879395
HL_name_DOPE,12.211321544647216
HL_name_DOTAP,11.700273418426514
has_carbonate,10.953070068359375
Model_type_DC2.4,9.899287796020507
HL_name_14PA,7.470130443572998
HL_name_18PG,7.447110271453857
HL_name_DDAB,5.50502028465271
HL_name_MDOA,0.0
Model_type_RAW264.7,0.0
Model_type_HEK293T,0.0
Cargo_type_FLuc,0.0
has_disulfide,0.0
Cargo_type_GFP,0.0
