feature,mean_gain
Hydrogen.Bond.Acceptors,324.57552165985106
chemberta_124,298.681494140625
mgk_1,273.2162750244141
chemberta_256,266.3370986938477
chemberta_160,247.8254180908203
Model_type_HepG2,230.50645446777344
chemberta_347,205.90864753723145
num_unsaturated_cc_bonds,178.91592407226562
Dose_ug_nucleicacid,177.77883605957032
chemberta_178,170.45775451660157
Topological.Polar.Surface.Area,162.8426712036133
LogP,156.83904724121095
chemberta_161,156.67737731933593
PEG_molratio,149.9078857421875
mgk_12,147.0561866760254
chemberta_371,146.62196083068847
chemberta_189,145.40733947753907
chemberta_120,140.40869064331054
mgk_24,134.06497764587402
mgk_36,131.39162502288818
chemberta_116,126.25218353271484
chemberta_162,121.84565963745118
chemberta_150,120.51051788330078
mgk_35,117.12914772033692
mgk_40,113.98663597106933
mgk_19,112.27140884399414
chemberta_190,102.95438995361329
chemberta_39,102.00873260498047
chemberta_222,101.33265380859375
mgk_38,100.04078941345215
mgk_61,99.3972541809082
Model_type_A549,99.01548919677734
chemberta_290,97.50503692626953
mgk_16,97.02054252624512
chemberta_288,96.7011932373047
chemberta_192,94.74455795288085
Model_type_HeLa,94.49743194580078
chemberta_254,92.18251495361328
chemberta_266,91.87016448974609
chemberta_123,89.08439331054687
mgk_33,87.53340110778808
chemberta_207,87.19222717285156
chemberta_277,87.0986572265625
chemberta_140,86.20488586425782
chemberta_382,84.84199867248535
mgk_22,82.5468074798584
chemberta_72,81.23252182006836
mgk_39,80.03986015319825
mgk_4,77.20050659179688
chemberta_30,75.90736541748046
chemberta_249,75.86011276245117
chemberta_66,74.36576385498047
chemberta_330,72.92178878784179
chemberta_278,72.80216903686524
chemberta_306,71.19657592773437
Hydrogen.Bond.Donors,69.07379302978515
chemberta_126,68.86733741760254
chemberta_89,68.72677688598633
mgk_10,68.13497924804688
chemberta_304,68.08658027648926
mgk_62,67.85478744506835
mgk_7,67.47535781860351
chemberta_58,66.40206565856934
mgk_27,65.01705703735351
chemberta_14,64.84320297241212
Nitrogen.Count,64.49552097320557
chemberta_248,64.33120727539062
CHL_molratio,64.24993209838867
chemberta_334,64.06538314819336
chemberta_376,64.01013488769532
Model_type_BeWo_b30,63.96592998504639
chemberta_231,63.69047241210937
chemberta_199,63.648952865600585
mgk_60,63.41774444580078
mgk_47,63.141048431396484
mgk_30,62.87920875549317
chemberta_44,62.8053695678711
chemberta_176,62.2147575378418
chemberta_62,62.00575180053711
mgk_3,61.71408615112305
chemberta_344,61.40562229156494
chemberta_128,61.15025939941406
chemberta_329,61.00513534545898
chemberta_45,60.907691192626956
chemberta_26,60.60035781860351
chemberta_103,60.222591400146484
mgk_11,60.06725234985352
chemberta_46,59.99847946166992
chemberta_351,59.85190200805664
mgk_41,59.845145034790036
chemberta_215,58.7167610168457
mgk_43,58.30745010375976
mgk_56,58.112200546264646
chemberta_53,57.75119895935059
chemberta_316,57.22270965576172
mgk_29,57.18529510498047
chemberta_230,56.92964172363281
chemberta_336,56.86383819580078
chemberta_354,56.75339202880859
chemberta_165,56.50801773071289
chemberta_320,56.33021697998047
mgk_6,56.29508476257324
mgk_2,55.788998413085935
chemberta_342,55.624206924438475
mgk_46,55.290179061889646
chemberta_60,55.184634399414065
mgk_23,55.16135787963867
mgk_20,55.03407363891601
chemberta_186,54.98905792236328
chemberta_18,54.019965744018556
mgk_37,53.629180908203125
chemberta_137,53.51646041870117
chemberta_337,53.12525863647461
chemberta_326,52.773406219482425
chemberta_350,52.35017700195313
chemberta_225,51.63131866455078
chemberta_50,51.4582275390625
mgk_31,51.23257904052734
chemberta_366,51.143548583984376
mgk_14,50.81466941833496
mgk_44,50.20796432495117
chemberta_71,50.20587348937988
chemberta_265,49.71167755126953
mgk_51,49.67999114990234
chemberta_272,49.164920043945315
chemberta_115,49.07230758666992
chemberta_143,48.81212692260742
chemberta_149,48.80215225219727
chemberta_260,48.75067672729492
chemberta_349,48.55831756591797
chemberta_301,48.5454402923584
mgk_52,48.2930419921875
chemberta_319,47.828603172302245
chemberta_240,47.62817611694336
chemberta_292,47.55335960388184
mgk_57,47.305044174194336
HL_name_DSPC,47.14753723144531
chemberta_353,46.866372680664064
chemberta_243,46.54107131958008
chemberta_219,46.53112449645996
chemberta_229,46.423699951171876
mgk_32,46.409630966186526
Heavy.Atoms,46.176964378356935
chemberta_158,45.681993865966795
chemberta_164,45.40270576477051
chemberta_148,45.22592697143555
chemberta_196,45.17872848510742
chemberta_180,45.057169342041014
mgk_17,45.042073822021486
chemberta_65,45.04017677307129
chemberta_91,45.02970161437988
chemberta_121,44.85958023071289
chemberta_305,44.709624481201175
mgk_0,44.6803337097168
chemberta_213,44.402775573730466
mgk_18,44.32730407714844
chemberta_200,44.32192878723144
chemberta_262,44.320658111572264
mgk_34,44.21183891296387
mgk_15,43.85278396606445
mgk_59,43.806805801391604
chemberta_157,43.73084888458252
chemberta_267,43.69124641418457
chemberta_237,43.67826690673828
chemberta_364,43.61286087036133
chemberta_184,43.58046913146973
chemberta_138,43.33022346496582
chemberta_280,43.29259605407715
chemberta_307,43.25202598571777
chemberta_356,43.077205657958984
chemberta_345,42.789730834960935
chemberta_355,42.37655601501465
chemberta_291,42.36205520629883
mgk_49,42.35099868774414
chemberta_87,42.20991859436035
mgk_54,42.187595176696775
chemberta_365,42.08637390136719
mgk_55,41.89064598083496
chemberta_381,41.867767333984375
mgk_26,41.6825813293457
chemberta_252,41.58181037902832
chemberta_220,41.330374526977536
chemberta_369,41.24289970397949
chemberta_122,40.94070205688477
chemberta_323,40.6958511352539
chemberta_92,40.66606216430664
chemberta_359,40.66500473022461
chemberta_56,40.65846900939941
chemberta_379,40.52485275268555
chemberta_332,40.465276908874515
mgk_63,40.24758415222168
chemberta_258,40.20396003723145
chemberta_242,40.118015670776366
chemberta_208,40.058915328979495
chemberta_283,39.909637451171875
chemberta_362,39.84664688110352
Num_carbon_in_tail,39.77002601623535
chemberta_284,39.6858413696289
mgk_21,39.55682563781738
chemberta_363,39.38996200561523
chemberta_153,39.37184562683105
chemberta_268,39.33710060119629
mgk_53,39.308285522460935
mgk_58,39.270330810546874
chemberta_109,39.16897315979004
chemberta_293,38.968450927734374
chemberta_247,38.86792984008789
chemberta_154,38.727318954467776
mgk_48,38.648155975341794
chemberta_313,38.55027084350586
molwtlog1p,38.48247871398926
chemberta_205,38.42616767883301
Fraction.sp3.Carbons,38.4208381652832
chemberta_79,38.40819396972656
chemberta_308,38.2624813079834
chemberta_236,38.11292037963867
mgk_13,38.05875701904297
chemberta_224,37.97618560791015
chemberta_84,37.922466087341306
chemberta_211,37.88726692199707
chemberta_246,37.88413581848145
chemberta_75,37.86912117004395
chemberta_95,37.853516006469725
chemberta_204,37.84724388122559
chemberta_22,37.718074798583984
chemberta_281,37.704708099365234
chemberta_193,37.6633056640625
chemberta_114,37.59885940551758
chemberta_80,37.451254272460936
chemberta_315,37.11027641296387
mgk_25,36.99904174804688
chemberta_182,36.300886917114255
chemberta_210,36.133064651489256
chemberta_310,36.026451873779294
chemberta_110,36.00715980529785
chemberta_321,35.929104232788085
chemberta_141,35.9217041015625
chemberta_132,35.85229339599609
chemberta_172,35.81734619140625
mgk_8,35.77766380310059
num_protonatable_nitrogens,35.66155242919922
chemberta_245,35.53543815612793
chemberta_90,35.456612014770506
chemberta_370,35.3741870880127
chemberta_302,35.272762298583984
chemberta_119,34.981515884399414
chemberta_63,34.959844970703124
chemberta_271,34.88098640441895
chemberta_183,34.61809463500977
chemberta_297,34.574587440490724
chemberta_198,34.34836120605469
chemberta_203,34.27410697937012
chemberta_239,34.210446166992185
chemberta_202,34.17476539611816
chemberta_343,34.12403907775879
mgk_45,34.03662796020508
mgk_9,33.827552795410156
chemberta_168,33.748225402832034
chemberta_179,33.589657592773435
chemberta_241,33.423801040649415
chemberta_217,33.42052574157715
chemberta_23,33.38330993652344
chemberta_156,33.34921379089356
chemberta_174,33.3127326965332
chemberta_333,33.23562660217285
chemberta_133,33.13551902770996
chemberta_303,33.096343994140625
chemberta_264,33.02167739868164
chemberta_117,33.01978645324707
chemberta_97,33.01010398864746
chemberta_104,32.95383281707764
chemberta_83,32.92014122009277
chemberta_77,32.89901351928711
chemberta_339,32.858668899536134
chemberta_296,32.85379066467285
chemberta_47,32.852071380615236
chemberta_51,32.835618591308595
chemberta_118,32.8162353515625
chemberta_145,32.756392288208005
chemberta_221,32.69656257629394
chemberta_187,32.641610336303714
chemberta_324,32.525486373901366
chemberta_279,32.507943344116214
chemberta_328,32.400193786621095
chemberta_144,32.36031036376953
chemberta_81,32.3154655456543
chemberta_98,32.30864658355713
chemberta_259,32.297834396362305
chemberta_206,32.2648208618164
chemberta_43,32.139621353149415
chemberta_129,32.06424522399902
chemberta_286,32.03592872619629
chemberta_285,32.009667205810544
chemberta_15,31.892403411865235
chemberta_226,31.88162841796875
chemberta_151,31.85373458862305
chemberta_377,31.852563095092773
chemberta_185,31.837003326416017
chemberta_55,31.719353103637694
chemberta_19,31.708396911621094
chemberta_191,31.673918151855467
chemberta_209,31.657794952392578
chemberta_311,31.648275756835936
chemberta_86,31.630950927734375
chemberta_59,31.55901107788086
chemberta_227,31.434269523620607
chemberta_367,31.363615036010742
chemberta_195,31.331679916381837
chemberta_130,31.326239395141602
chemberta_37,31.167186737060547
mgk_28,31.153122329711913
chemberta_136,31.0727237701416
mgk_5,31.002984619140626
chemberta_257,30.996112060546874
chemberta_21,30.83651695251465
chemberta_78,30.740720367431642
chemberta_142,30.731161499023436
chemberta_108,30.657175064086914
chemberta_28,30.64803237915039
chemberta_360,30.64023780822754
chemberta_113,30.586091613769533
chemberta_341,30.38906059265137
Rotatable.Bonds,30.35202865600586
chemberta_166,30.351586532592773
chemberta_67,30.325506973266602
chemberta_232,30.30050735473633
chemberta_106,30.27101402282715
chemberta_181,30.18595199584961
chemberta_372,30.11632423400879
chemberta_233,30.11096534729004
chemberta_93,30.062097549438477
chemberta_201,30.036423110961913
chemberta_340,30.033520889282226
chemberta_295,30.016506576538085
chemberta_312,29.9709114074707
chemberta_270,29.91686668395996
chemberta_70,29.88262023925781
chemberta_338,29.77235107421875
chemberta_282,29.702692413330077
chemberta_112,29.6986083984375
mgk_50,29.664269256591798
chemberta_34,29.632078552246092
Molar.Refractivity,29.610470581054688
chemberta_99,29.59324951171875
chemberta_380,29.57959098815918
chemberta_216,29.445877075195312
chemberta_11,29.36785011291504
chemberta_294,29.25453414916992
