feature,mean_gain
chemberta_256,309.4185203552246
chemberta_124,286.6800018310547
mgk_1,285.7246917724609
Model_type_HepG2,219.78675231933593
Hydrogen.Bond.Acceptors,189.14182739257814
chemberta_178,175.4541046142578
mgk_38,169.7081672668457
chemberta_116,168.03385467529296
Dose_ug_nucleicacid,167.34148864746095
num_unsaturated_cc_bonds,164.53160705566407
LogP,160.8933853149414
chemberta_162,159.97797317504882
chemberta_160,154.58087768554688
mgk_40,147.61084365844727
mgk_19,140.41021194458008
PEG_molratio,137.89117736816405
chemberta_347,135.8143165588379
chemberta_189,132.75103149414062
mgk_24,130.53662147521973
chemberta_123,127.92781410217285
chemberta_371,122.4375099182129
mgk_22,116.72395095825195
chemberta_120,116.19889373779297
Topological.Polar.Surface.Area,116.04959487915039
chemberta_192,111.25852966308594
mgk_35,109.39433860778809
chemberta_190,108.70397834777832
mgk_16,107.69478988647461
mgk_36,106.23687934875488
chemberta_334,105.60937881469727
chemberta_288,105.46196746826172
chemberta_150,105.29908752441406
chemberta_161,105.23921585083008
chemberta_316,105.0026123046875
Model_type_A549,102.01175079345703
chemberta_140,96.53864822387695
chemberta_39,96.28160247802734
mgk_27,91.83490753173828
Model_type_HeLa,90.61222229003906
chemberta_248,87.29465560913086
mgk_33,86.45301170349121
Nitrogen.Count,86.17946243286133
chemberta_306,85.12787017822265
chemberta_72,85.12554397583008
chemberta_222,84.87267837524413
chemberta_342,84.52058792114258
chemberta_382,83.68480758666992
chemberta_304,82.70875396728516
chemberta_219,81.74415435791016
mgk_30,81.56186485290527
mgk_4,81.50736236572266
mgk_39,80.03030738830566
mgk_37,80.02053470611573
chemberta_66,79.95663146972656
chemberta_254,77.72709884643555
mgk_43,77.3752815246582
chemberta_339,75.06816139221192
chemberta_14,74.26382598876953
chemberta_231,73.25733108520508
chemberta_176,72.88984985351563
chemberta_330,71.51448440551758
chemberta_319,71.3977165222168
chemberta_74,70.6614616394043
chemberta_46,70.45241088867188
mgk_12,70.1214771270752
mgk_23,70.08418769836426
chemberta_53,70.04991302490234
chemberta_208,69.80851364135742
chemberta_207,69.45713500976562
mgk_46,69.30039443969727
mgk_54,68.22276573181152
chemberta_62,67.5430404663086
chemberta_18,67.23607711791992
chemberta_92,66.1308609008789
chemberta_199,65.7635269165039
mgk_7,64.56766815185547
chemberta_126,64.25404644012451
mgk_60,64.20983657836913
chemberta_58,64.20911254882813
mgk_47,63.240468215942386
Heavy.Atoms,62.390855979919436
CHL_molratio,61.92700729370117
chemberta_103,61.87599334716797
chemberta_310,61.81513442993164
chemberta_354,61.81273193359375
mgk_9,60.94695701599121
chemberta_337,60.3386474609375
chemberta_44,59.74077110290527
chemberta_225,59.43774566650391
chemberta_240,59.25442123413086
chemberta_26,58.7849723815918
chemberta_230,58.665961837768556
mgk_55,58.580654525756835
chemberta_320,58.312129974365234
chemberta_137,58.28626403808594
chemberta_278,58.13345642089844
mgk_3,57.8311954498291
mgk_56,57.533514404296874
mgk_41,57.24731521606445
mgk_52,55.77745513916015
mgk_15,55.77072982788086
chemberta_336,55.68124160766602
chemberta_149,55.393907165527345
chemberta_114,55.35689277648926
mgk_61,55.299438858032225
mgk_29,55.020695495605466
mgk_11,54.829810333251956
chemberta_329,54.576202392578125
chemberta_328,54.34763641357422
chemberta_290,54.13962516784668
chemberta_372,54.122001266479494
mgk_17,54.08490829467773
mgk_25,54.03308944702148
chemberta_253,53.90832099914551
mgk_5,53.74654979705811
chemberta_280,53.51212406158447
chemberta_266,53.40785255432129
chemberta_259,52.96369934082031
chemberta_89,52.77195739746094
mgk_59,52.52745170593262
chemberta_229,52.37801284790039
mgk_50,51.76329040527344
chemberta_56,51.27531967163086
chemberta_307,50.9687198638916
chemberta_165,50.74731292724609
mgk_51,50.53747673034668
chemberta_115,50.3983268737793
mgk_62,50.030151748657225
Num_carbon_in_tail,50.029066467285155
mgk_6,49.95977096557617
chemberta_95,49.82748527526856
mgk_20,49.72602767944336
chemberta_158,49.63418807983398
chemberta_286,49.61384963989258
chemberta_129,49.60860977172852
chemberta_277,49.45523300170898
mgk_2,49.386801147460936
mgk_42,49.38417701721191
mgk_32,49.359683227539065
chemberta_366,49.23852691650391
mgk_31,49.1155387878418
chemberta_376,49.02322196960449
chemberta_224,48.969610595703124
chemberta_243,48.57895431518555
chemberta_70,48.381241989135745
chemberta_50,48.29615440368652
chemberta_369,48.117610168457034
chemberta_121,47.92217483520508
chemberta_19,47.793372344970706
chemberta_341,47.61812553405762
chemberta_247,47.30058403015137
chemberta_237,47.27585220336914
chemberta_381,47.14393501281738
chemberta_145,46.764066505432126
chemberta_265,46.755835723876956
chemberta_242,46.56372909545898
chemberta_60,46.54184913635254
chemberta_313,46.32631912231445
chemberta_296,45.973157501220705
chemberta_133,45.763566970825195
chemberta_77,45.76290664672852
chemberta_202,45.52243537902832
chemberta_30,45.482159805297854
HL_name_DSPC,45.346534729003906
chemberta_302,45.280724334716794
chemberta_81,45.25380935668945
Fraction.sp3.Carbons,45.208421325683595
chemberta_45,44.99391174316406
chemberta_305,44.742147064208986
mgk_26,44.63845024108887
chemberta_203,44.52480583190918
chemberta_263,44.47742691040039
chemberta_333,44.3670150756836
chemberta_350,44.305453872680665
chemberta_65,44.19295196533203
mgk_21,44.183646774291994
chemberta_359,44.06273498535156
mgk_14,44.004638290405275
chemberta_174,43.97394790649414
mgk_48,43.878610610961914
mgk_28,43.878134155273436
chemberta_325,43.565378952026364
chemberta_186,43.55421371459961
chemberta_139,43.505926513671874
chemberta_215,43.40403366088867
mgk_53,43.28531913757324
chemberta_184,42.86971473693848
chemberta_99,42.83451881408691
chemberta_180,42.677350234985354
chemberta_355,42.486012649536136
chemberta_51,42.240759468078615
chemberta_79,42.14832954406738
chemberta_323,42.06601333618164
chemberta_326,42.02453880310058
chemberta_249,41.725965881347655
chemberta_128,41.64162826538086
chemberta_154,41.635912322998045
chemberta_143,41.27206573486328
chemberta_356,41.16604061126709
chemberta_157,41.076415634155275
chemberta_275,40.990484619140624
chemberta_271,40.8469539642334
chemberta_245,40.78483924865723
chemberta_264,40.74191551208496
chemberta_172,40.57393455505371
chemberta_226,40.32463073730469
chemberta_168,40.2152759552002
chemberta_179,40.098533630371094
chemberta_353,40.07568550109863
mgk_34,40.02568244934082
chemberta_141,39.96181945800781
mgk_44,39.93730926513672
chemberta_343,39.9323169708252
mgk_49,39.677236557006836
chemberta_196,39.66301078796387
mgk_58,39.65963859558106
mgk_0,39.562656784057616
chemberta_292,39.435773849487305
chemberta_200,39.38863906860352
