,precision,recall,f1-score,support
AGILE,1.0,1.0,1.0,1100.0
COMET_LANCE,1.0,1.0,1.0,1978.0
Lee_unsat,0.6724137931034483,0.8764044943820225,0.7609756097560976,89.0
Li_pulmonary,1.0,1.0,1.0,680.0
Liu_iphos,1.0,1.0,1.0,572.0
Whitehead_siRNA,1.0,1.0,1.0,1150.0
Zhou_dendrimer,0.9925423728813559,0.9747003994673769,0.9835404769902586,1502.0
accuracy,0.9930702870881063,0.9930702870881063,0.9930702870881063,0.9930702870881063
macro avg,0.9521365951406864,0.9787292705499142,0.9635022981066222,7071.0
weighted avg,0.9942926702947255,0.9930702870881063,0.9934952094056938,7071.0
