model,fold,n_train,n_test,top1_accuracy,balanced_accuracy,macro_f1,top2_accuracy,top3_accuracy
logistic,0,5656,1415,0.995053003533569,0.9966666666666667,0.9750578454057022,1.0,1.0
logistic,1,5657,1414,0.9922206506364922,0.994779307071666,0.9639064179511312,1.0,1.0
logistic,2,5657,1414,0.9943422913719944,0.9812793334388019,0.9695174390826564,1.0,1.0
logistic,3,5657,1414,0.9900990099009901,0.9933333333333333,0.9565870307167235,1.0,1.0
logistic,4,5657,1414,0.9922206506364922,0.9789075630252101,0.9590225100034667,1.0,1.0
rf,0,5656,1415,0.9936395759717315,0.9882539682539683,0.9679315155216172,1.0,1.0
rf,1,5657,1414,0.9936350777934936,0.9882666244792491,0.967938803428348,1.0,1.0
rf,2,5657,1414,0.995049504950495,0.966830142909877,0.9697701966358683,1.0,1.0
rf,3,5657,1414,0.9908062234794908,0.9863492063492064,0.9573332782883772,1.0,1.0
rf,4,5657,1414,0.9922206506364922,0.9630532212885153,0.954896748866598,1.0,1.0
