n_vals,pearson,spearman,mse,mae,r2,model,condition,fold,heldout_experiment,n_train
1100,0.024457591110619965,0.051554054770445376,1.030547434841524,0.8634535344719563,-0.05409951580180339,ridge,tabular_only,0,AGILE,5971
1100,-0.015578464594816214,-0.028525705081782645,1.2130275532527024,0.9262965555007933,-0.2407500259651305,ridge,tabular_morgan_rdkit,0,AGILE,5971
1100,-0.015538422198831975,-0.026717620999014896,1.2142287357169699,0.9256006585748084,-0.2419786601950229,ridge,tabular_morgan_rdkit_exp_zeroed,0,AGILE,5971
1978,0.15652951109403535,0.39780927174255304,4.335134854780848,2.0384945547887314,-80.82364396646912,ridge,tabular_only,1,COMET_LANCE,5093
1978,0.21243725952334885,0.25028529039440145,4.720105573404139,1.9567616753841413,-88.08978632958608,ridge,tabular_morgan_rdkit,1,COMET_LANCE,5093
1978,0.2141526027523779,0.2534458124143025,4.6809655356396815,1.951762241234589,-87.35103641242,ridge,tabular_morgan_rdkit_exp_zeroed,1,COMET_LANCE,5093
89,0.15723615696115148,0.041319149554196015,2.6950237755647253,1.2541407818740673,-0.14881717671338635,ridge,tabular_only,2,Lee_unsat,6982
89,0.3071126791663795,0.32766641614859765,4.298362442995001,1.6868634436103733,-0.8322779379627689,ridge,tabular_morgan_rdkit,2,Lee_unsat,6982
89,0.30743627250267047,0.3287132878803733,4.161015941754578,1.6543357068769047,-0.7737307662394246,ridge,tabular_morgan_rdkit_exp_zeroed,2,Lee_unsat,6982
680,-0.26223734215922156,-0.25226056648294515,8.772548668013961,2.808683322594339,-10.567851466955396,ridge,tabular_only,3,Li_pulmonary,6391
680,0.07846686312044573,0.03966744909523312,8.988960255124725e+59,6.297394508535933e+28,-1.185322088354846e+60,ridge,tabular_morgan_rdkit,3,Li_pulmonary,6391
680,0.07846686312044573,0.04011849203542933,9.214625256977439e+59,6.375951574993744e+28,-1.2150792241828926e+60,ridge,tabular_morgan_rdkit_exp_zeroed,3,Li_pulmonary,6391
572,-0.3746061137683525,-0.36269481550715815,0.9600272616158113,0.8225240229226494,-0.5693743077063733,ridge,tabular_only,4,Liu_iphos,6499
572,-0.3230980816362089,-0.3231538933961565,1.3548307833059698,0.9424895181689231,-1.2147669213387173,ridge,tabular_morgan_rdkit,4,Liu_iphos,6499
572,-0.331855790685878,-0.3358842250962105,1.3224837179703726,0.9303604762537498,-1.161888575798879,ridge,tabular_morgan_rdkit_exp_zeroed,4,Liu_iphos,6499
1150,0.19283935495688823,0.14407135101295665,0.10269897083938016,0.2820971369339967,-2.6476635724521116,ridge,tabular_only,5,Whitehead_siRNA,5921
1150,0.333992998040488,0.2532953427551917,0.35834496677649397,0.4890005957497395,-11.727701855225995,ridge,tabular_morgan_rdkit,5,Whitehead_siRNA,5921
1150,0.3234112063816414,0.2427174481138374,0.32582069588031765,0.4605513648287346,-10.572504318202041,ridge,tabular_morgan_rdkit_exp_zeroed,5,Whitehead_siRNA,5921
1502,0.07666998638797895,0.058946227598257454,0.5039538605651074,0.5434608440027732,-0.028381409395659585,ridge,tabular_only,6,Zhou_dendrimer,5569
1502,0.17462683460571668,0.17593270705483696,6.194445298586395,2.251423178119126,-11.640546853716582,ridge,tabular_morgan_rdkit,6,Zhou_dendrimer,5569
1502,0.17420060726816355,0.1767267969758275,6.168759444854771,2.2464226134290075,-11.588131629766444,ridge,tabular_morgan_rdkit_exp_zeroed,6,Zhou_dendrimer,5569
