epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,1,,,0.9373226761817932,0.9375038146972656,0.9373226761817932
0,1,0.9961997866630554,,,,
1,3,,,0.512417197227478,0.5164672136306763,0.512417197227478
1,3,0.8828862905502319,,,,
2,5,,,0.10095611959695816,0.15921524167060852,0.10095608979463577
2,5,0.5514222979545593,,,,
3,7,,,0.3562315106391907,0.35961592197418213,0.3562315106391907
3,7,0.21631117165088654,,,,
4,9,,,0.051713913679122925,0.05820240452885628,0.05171392112970352
4,9,0.3014821410179138,,,,
5,11,,,0.23611360788345337,0.2405194491147995,0.23611360788345337
5,11,0.17544610798358917,,,,
6,13,,,0.15924055874347687,0.1615322232246399,0.15924057364463806
6,13,0.15783824026584625,,,,
7,15,,,0.11845698207616806,0.12130086869001389,0.11845698207616806
7,15,0.1672687530517578,,,,
8,17,,,0.10065586864948273,0.105006642639637,0.10065587610006332
8,17,0.08335305005311966,,,,
9,19,,,0.03712313994765282,0.044476740062236786,0.03712313249707222
9,19,0.0860426127910614,,,,
10,21,,,0.05959019437432289,0.06448130309581757,0.059590183198451996
10,21,0.07230965048074722,,,,
11,23,,,0.05731002241373062,0.061822228133678436,0.057310014963150024
11,23,0.05847711116075516,,,,
12,25,,,0.02072340063750744,0.025051366537809372,0.02072339691221714
12,25,0.06028110906481743,,,,
13,27,,,0.047641247510910034,0.0516558438539505,0.047641247510910034
13,27,0.05554433912038803,,,,
14,29,,,0.029281966388225555,0.03421221300959587,0.02928198128938675
14,29,0.0515151172876358,,,,
15,31,,,0.018400436267256737,0.022593315690755844,0.018400423228740692
15,31,0.051375869661569595,,,,
16,33,,,0.04493584856390953,0.050281260162591934,0.044935859739780426
16,33,0.037953030318021774,,,,
17,35,,,0.021467996761202812,0.026457933709025383,0.021467991173267365
17,35,0.05172497034072876,,,,
18,37,,,0.02306649275124073,0.028240520507097244,0.02306651882827282
18,37,0.04324335232377052,,,,
19,39,,,0.026928650215268135,0.03223739564418793,0.026928642764687538
19,39,0.04197792336344719,,,,
20,41,,,0.0207082387059927,0.025018231943249702,0.020708229392766953
20,41,0.043737657368183136,,,,
21,43,,,0.018565556034445763,0.02313726581633091,0.018565542995929718
21,43,0.04150042310357094,,,,
22,45,,,0.021871592849493027,0.027188213542103767,0.02187158167362213
22,45,0.04234183207154274,,,,
23,47,,,0.027816759422421455,0.033289507031440735,0.027816759422421455
23,47,0.03778476640582085,,,,
24,49,,0.05182911083102226,,,
24,49,,,0.022789089009165764,0.026782134547829628,0.022789085283875465
24,49,0.047761932015419006,,,,
25,51,,,0.021792946383357048,0.026600737124681473,0.021792955696582794
25,51,0.03703850507736206,,,,
26,53,,,0.024185391142964363,0.028521491214632988,0.024185404181480408
26,53,0.044176872819662094,,,,
27,55,,,0.021668553352355957,0.02533392794430256,0.021668558940291405
27,55,0.042652033269405365,,,,
28,57,,,0.02003871649503708,0.024995975196361542,0.020038729533553123
28,57,0.0370330736041069,,,,
29,59,,,0.02123595029115677,0.025062033906579018,0.021235954016447067
29,59,0.03974875062704086,,,,
30,61,,,0.024226833134889603,0.02881033718585968,0.024226810783147812
30,61,0.038837678730487823,,,,
31,63,,,0.019276242703199387,0.022964054718613625,0.019276246428489685
31,63,0.040642816573381424,,,,
32,65,,,0.01878122054040432,0.022483108565211296,0.01878121867775917
32,65,0.04110460728406906,,,,
33,67,,,0.02360433153808117,0.027999991551041603,0.02360433153808117
33,67,0.03824412450194359,,,,
34,69,,,0.027606269344687462,0.03381442278623581,0.02760627679526806
34,69,0.03709784895181656,,,,
35,71,,,0.018880749121308327,0.022903433069586754,0.018880723044276237
35,71,0.04600813239812851,,,,
36,73,,,0.0192389078438282,0.023311156779527664,0.019238891080021858
36,73,0.039491791278123856,,,,
37,75,,,0.02378307469189167,0.028550701215863228,0.023783067241311073
37,75,0.03534344211220741,,,,
38,77,,,0.04558740556240082,0.05053608492016792,0.04558739438652992
38,77,0.04154593124985695,,,,
39,79,,,0.02510613389313221,0.030388668179512024,0.025106139481067657
39,79,0.048900529742240906,,,,
40,81,,,0.023301396518945694,0.028744671493768692,0.023301398381590843
40,81,0.037953607738018036,,,,
41,83,,,0.019581349566578865,0.02378057688474655,0.019581351429224014
41,83,0.05035683512687683,,,,
42,85,,,0.03492084890604019,0.04072125256061554,0.03492085263133049
42,85,0.04368746653199196,,,,
43,87,,,0.04080282524228096,0.04621308296918869,0.04080282151699066
43,87,0.04798126220703125,,,,
44,89,,,0.01942671649158001,0.022802401334047318,0.01942671462893486
44,89,0.05157478153705597,,,,
45,91,,,0.019586637616157532,0.02372130937874317,0.019586624577641487
45,91,0.04119715467095375,,,,
46,93,,,0.020494714379310608,0.023612165823578835,0.020494705066084862
46,93,0.042064692825078964,,,,
47,95,,,0.026047097519040108,0.032129693776369095,0.026047103106975555
47,95,0.03722149133682251,,,,
48,97,,,0.023544667288661003,0.028315028175711632,0.023544684052467346
48,97,0.04403485357761383,,,,
49,99,,0.03243673965334892,,,
49,99,,,0.017622536048293114,0.020644256845116615,0.017622528597712517
49,99,0.036570217460393906,,,,
