epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,1,,,0.2590039372444153,0.2590039372444153
0,1,0.30579981207847595,,,
1,3,,,0.10720888525247574,0.10720887780189514
1,3,0.22208762168884277,,,
2,5,,,0.10774871706962585,0.10774871706962585
2,5,0.12260949611663818,,,
3,7,,,0.0715692937374115,0.0715692937374115
3,7,0.07580067962408066,,,
4,9,,,0.08703449368476868,0.08703449368476868
4,9,0.07588570564985275,,,
5,11,,,0.06852630525827408,0.06852630525827408
5,11,0.07797082513570786,,,
6,13,,,0.06048143655061722,0.06048143655061722
6,13,0.05551765114068985,,,
7,15,,,0.07249604910612106,0.07249604910612106
7,15,0.05898560211062431,,,
8,17,,,0.062159404158592224,0.06215941160917282
8,17,0.058623164892196655,,,
9,19,,,0.060545653104782104,0.06054564565420151
9,19,0.05333343893289566,,,
10,21,,,0.06265849620103836,0.06265849620103836
10,21,0.05346363037824631,,,
11,23,,,0.05915531888604164,0.05915531888604164
11,23,0.05554528534412384,,,
12,25,,,0.053966131061315536,0.053966131061315536
12,25,0.05419199541211128,,,
13,27,,,0.053565863519907,0.053565863519907
13,27,0.05143345519900322,,,
14,29,,,0.05491279810667038,0.05491279810667038
14,29,0.0507587194442749,,,
15,31,,,0.05359819531440735,0.053598202764987946
15,31,0.050736717879772186,,,
16,33,,,0.05355526879429817,0.05355526879429817
16,33,0.0500890351831913,,,
17,35,,,0.053608208894729614,0.053608208894729614
17,35,0.05027724429965019,,,
18,37,,,0.051797475665807724,0.051797475665807724
18,37,0.04996431618928909,,,
19,39,,,0.0500466525554657,0.0500466525554657
19,39,0.048876337707042694,,,
20,41,,,0.04966726899147034,0.049667272716760635
20,41,0.047335147857666016,,,
21,43,,,0.049846354871988297,0.049846354871988297
21,43,0.049303486943244934,,,
22,45,,,0.04982071742415428,0.04982071742415428
22,45,0.051054976880550385,,,
23,47,,,0.04978063702583313,0.04978063702583313
23,47,0.04841206222772598,,,
24,49,,0.035385072231292725,,
24,49,,,0.049557000398635864,0.04955700412392616
24,49,0.04766592010855675,,,
25,51,,,0.048110950738191605,0.048110950738191605
25,51,0.046107616275548935,,,
26,53,,,0.046847980469465256,0.046847980469465256
26,53,0.04713113605976105,,,
27,55,,,0.04708568751811981,0.04708568751811981
27,55,0.04921431466937065,,,
28,57,,,0.04671787470579147,0.04671787470579147
28,57,0.047120433300733566,,,
29,59,,,0.046929024159908295,0.046929020434617996
29,59,0.04548286646604538,,,
30,61,,,0.04634658619761467,0.04634657874703407
30,61,0.04549582675099373,,,
31,63,,,0.046063024550676346,0.046063024550676346
31,63,0.045540060847997665,,,
32,65,,,0.04564747214317322,0.04564746841788292
32,65,0.04375391826033592,,,
