Experiment_ID,IL_SMILES,Index,LNP_ID,Formulation_ID,IL_name,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model_type,Model_target,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,lnMolWt,has_ester,has_carbonate,has_disulfide,molwtlog1p,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Cargo_mRNA,Cargo_pDNA,Cargo_siRNA,num_protonatable_nitrogens,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_permanent_cationic_N,formal_net_charge,rel
AA_2008,CCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCO)CCO)CCC(=O)OCCCCCCCCCCCCCCC,1,LNP_0000001,AA_2008_F1,87_O15,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,51,0,0,42,726.6485884719999,99.54,2,8,10.014100000000001,214.2105999999991,0.9534883720930233,41,2,6.589158912691689,1,0,0,6.590533164112844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,0,0,0,3
AA_2008,CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,2,LNP_0000002,AA_2008_F2,96_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,57,0,0,46,805.774792028,93.78,3,5,11.891899999999987,246.96609999999882,0.9387755102040817,46,5,6.692534013327942,0,0,0,6.693773381260295,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,3
AA_2008,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,3,LNP_0000003,AA_2008_F3,98_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,112,0,0,93,1581.5026338639998,187.56,6,10,22.757600000000025,482.5842000000023,0.9375,90,10,7.366859727358872,0,0,0,7.367491377072007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,0,0,0,3
AA_2008,CCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC,4,LNP_0000004,AA_2008_F4,64_N15,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,49,0,0,40,692.690728056,64.68,2,4,11.21529999999999,215.48839999999907,0.9534883720930233,41,4,6.541322885587423,0,0,0,6.542764424939523,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,0,0,0,3
AA_2008,CCCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC,5,LNP_0000005,AA_2008_F5,64_N16,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,51,0,0,42,720.722028184,64.68,2,4,11.995499999999987,224.72239999999897,0.9555555555555556,43,4,6.580995523147829,0,0,0,6.582381031234303,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,3
AA_2008,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(CO)CO,6,LNP_0000006,AA_2008_F6,26_O14,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,45,0,0,35,641.5594391200001,96.30000000000001,2,7,9.300500000000001,187.45759999999942,0.9473684210526315,36,1,6.464617898267615,1,0,0,6.4661742727901705,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,2
AA_2008,CCCCCCCCCCCCNC(=O)CCN(CCCCCO)CCC(=O)NCCCCCCCCCCCC,7,LNP_0000007,AA_2008_F7,32_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,41,0,0,33,581.5495431319999,81.67000000000002,3,4,8.305400000000008,176.31819999999956,0.9428571428571428,33,3,6.366420618311279,0,0,0,6.368137442403163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,2
AA_2008,CCCCCCCCCCCCNC(=O)CCN(C)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,8,LNP_0000008,AA_2008_F8,95_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,56,0,0,45,791.7591419639999,93.78,3,5,11.501799999999989,242.34909999999886,0.9375,45,5,6.674985544273294,0,0,0,6.676246839336298,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,2
AA_2008,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,9,LNP_0000009,AA_2008_F9,99_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,72,0,0,59,1016.9684064479999,122.88,4,6,15.29919999999997,310.7627999999998,0.9354838709677419,58,6,6.925312249422462,0,0,0,6.926294363245889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,2
AA_2008,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,10,LNP_0000010,AA_2008_F10,100_N12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,73,0,0,60,1030.9840565119998,122.88,4,6,15.689299999999967,315.3797999999998,0.9365079365079365,59,6,6.939001007078399,0,0,0,6.939969775046098,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,2
