src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
YZ_2022,YZ_2024,1.0,1.0,5475
SP_2020,YZ_2024,1.0,1.0,259
SP_2020,YZ_2022,1.0,1.0,271
SB_2024,YZ_2022,0.6484848484848484,1.0,51
SB_2024,SP_2020,0.6484848484848484,1.0,3
SB_2024,YZ_2024,0.6484848484848484,1.0,48
JW_2024,LR_2023,0.5763386022288823,1.0,3614
BL_2023,LR_2023,0.5589532045770202,0.8870967741935484,1612
KZ_2016,SL_2020,0.5320963366728753,0.7924528301886793,650
KZ_2016,ZC_2023,0.5315293220232967,0.9107142857142857,1100
KW_2014,YY_2023,0.5293976698271273,0.9655172413793104,734
JC_2023,YX_2024,0.523843350662194,1.0,3214
KS_2024,YY_2023,0.5141869787677195,0.9,104
LR_2023,SB_2024,0.4945142814600566,0.5483870967741935,21
SL_2020,ZC_2023,0.4868433632319277,0.8571428571428571,56
LR_2023,SP_2020,0.4850073838339761,0.6607142857142857,111
LR_2023,YZ_2022,0.48230559010035284,0.6607142857142857,2356
SB_2024,YX_2023,0.48225490444896135,0.6382978723404256,9
LR_2023,YZ_2024,0.48217200475316707,0.6607142857142857,2245
SP_2020,XH_2024,0.48044642857142844,0.6041666666666666,20
BL_2023,JW_2024,0.4763293107538021,0.8970588235294118,6032
SS_2018,YR_2024,0.4760357305783902,0.7804878048780488,12
LZ_2025,SB_2024,0.47441520467836257,0.5625,6
SB_2024,YR_2024,0.47135843918899406,0.7804878048780488,12
LZ_2025,SS_2018,0.47028867102396515,0.5625,6
JW_2024,SB_2024,0.4665156156731594,0.6938775510204082,78
YR_2024,YY_2023,0.4660318855408762,0.8857142857142857,156
KS_2024,KW_2014,0.46349993450796245,1.0,1063
NC_2024,YY_2023,0.4615796968775162,0.8823529411764706,196
XH_2024,YZ_2022,0.4606186381186381,0.6041666666666666,407
YR_2024,ZL_2022,0.45970354387258494,0.7222222222222222,110
XH_2024,YZ_2024,0.459593946105574,0.6041666666666666,387
SS_2018,YZ_2022,0.454040404040404,0.4727272727272727,51
SS_2018,YZ_2024,0.454040404040404,0.4727272727272727,48
SP_2020,SS_2018,0.454040404040404,0.4727272727272727,3
YX_2023,YZ_2024,0.45151741418121566,0.6382978723404256,985
YX_2023,YZ_2022,0.4512869418288513,0.6382978723404256,1034
JW_2024,SP_2020,0.4490394392145872,0.6785714285714286,416
JW_2024,YZ_2022,0.4489276071408012,0.6785714285714286,8814
JW_2024,YZ_2024,0.4489220674715115,0.6785714285714286,8398
SP_2020,YX_2023,0.44665397719459043,0.6382978723404256,49
LL_2025,XH_2024,0.4423076923076923,0.4423076923076923,1
AA_2008,YY_2023,0.4386256470135556,0.9333333333333333,286
SB_2024,ZL_2022,0.4382716049382716,0.5,3
KL_2010,XH_2024,0.4329304687567962,0.8571428571428571,125
LR_2023,SS_2018,0.4323275555940086,0.5645161290322581,21
KW_2014,NC_2024,0.43145727916864957,1.0,1987
SS_2018,ZL_2022,0.4275362318840579,0.5,3
LR_2023,YY_2023,0.4272016445644577,0.6610169491525424,264
LZ_2025,YR_2024,0.42643377135578797,0.65,152
KS_2024,LX_2024_2,0.4264184544240592,0.8857142857142857,214
KW_2014,ZL_2022,0.4245600232772201,0.7096774193548387,519
