source,recall
RG_2023,1.0
XH_2024,1.0
LZ_2025,1.0
AP_2025,1.0
SL_2021,1.0
SW_2024,1.0
SX_2025,1.0
SY_2025,1.0
XH_2024_2,1.0
LX_2024_2,1.0
XH_2025,1.0
YR_2024,1.0
YX_2023,1.0
YY_2023,1.0
YZ_2022,1.0
ZH_2023,1.0
LX_2024_3,1.0
ZL_2022,1.0
LX_2024,1.0
KZ_2016,1.0
BL_2024,1.0
JL_2024,1.0
JM_2016,1.0
KS_2024,1.0
KL_2010,1.0
LM_2019,1.0
LL_2012,1.0
YX_2024,0.996
JW_2024,0.995
BL_2023,0.981
ZC_2023,0.962
SL_2020,0.833
KW_2014,0.827
NC_2024,0.814
BroadPharm_2024,0.778
LR_2023,0.765
AA_2008,0.677
JC_2023,0.672
YZ_2024,0.0
SS_2018,0.0
SB_2024,0.0
SP_2020,0.0
