Experiment_ID,n_rows,method,model_type_top,route_top,model_target,cargo_type,dose_median
AA_2008,497,luminescence_discretized_normalized,HeLa,in_vitro,in_vitro,FLuc,0.9
AP_2025,91,luminescence_normalized,Mouse_BALBc,intramuscular,muscle,FLuc,1.0
BL_2023,773,luminescence_normalized,A549,in_vitro,in_vitro,FLuc,0.05
BL_2024,611,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
JC_2023,288,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
JL_2024,623,luminescence_normalized,DC2.4,in_vitro,in_vitro,FLuc,0.1
JM_2016,72,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
JW_2024,1902,luminescence_normalized,A549,in_vitro,lung_epithelium,FLuc,0.02
KL_2010,50,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.081521739
KS_2024,140,luminescence_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.025
KW_2014,1273,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.05
KZ_2016,1538,luminescence_discretized_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
LL_2012,112,LRP6_knockdown_normalized,HEK293T,in_vitro,in_vitro,GFP,0.075
LL_2025,8,protein_adundance_normalized,Mouse_BALBc,intramuscular,muscle,hEPO,0.1
LM_2019,1128,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
LR_2023,407,protein_adundance_normalized,Mouse_B6,intravenous,liver,peptide_barcode,1.0
LX_2024,851,uptake,Mouse_B6,intravenous,multiorgan,DNA_barcode,5.0
LX_2024_2,270,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.01
LX_2024_3,252,luminescence_normalized,HepG2,in_vitro,in_vitro,FLuc,0.01
LZ_2025,96,luminescence_normalized,A549,in_vitro,in_vitro,FLuc,0.1
NC_2024,350,luminescence_normalized,BeWo_b30,in_vitro,in_vitro,FLuc,0.01
RG_2023,260,protein_adundance_normalized,Mouse_BALBc,intramuscular,muscle,hEPO,1.0
SB_2024,24,luminescence_relative_to_Spikevax,Mouse_ICR,intradermal,ear,RLuc,5.0
SL_2020,91,luminescence_discretized_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.025
SL_2021,572,luminescence_discretized_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.05
SP_2020,30,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.125
SS_2018,10,luminescence_normalized,Mouse_CD1,intravenous,whole_body,FLuc,10.0
SW_2024,180,luminescence_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.025
SX_2025,141,editing_efficiency_normalized,Mouse_Ai14,intravenous,bone_marrow,base_editor,40.0
SY_2025,36,luminescence_relative_to_Spikevax,Mouse_ICR,intradermal,ear,RLuc,5.0
XH_2024,60,luminescence_normalized,HepG2,in_vitro,in_vitro,FLuc,1.005
XH_2024_2,151,luminescence_normalized,HepG2,in_vitro,in_vitro,FLuc,0.015
XH_2025,500,luminescence_normalized,HepG2,in_vitro,in_vitro,FLuc,0.003
YR_2024,286,luminescence_discretized_normalized,HeLa,in_vitro,in_vitro,FLuc,0.2
YX_2023,248,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
YX_2024,2400,luminescence_normalized,HeLa,in_vitro,in_vitro,FLuc,0.1
YY_2023,119,luminescence_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.025
YZ_2022,1080,luminescence_normalized,HepG2,in_vitro,in_vitro,FLuc,0.2
YZ_2024,1080,luminescence_normalized,DC2.4,in_vitro,in_vitro,FLuc,0.2
ZC_2023,131,luminescence_discretized_normalized,IGROV1,in_vitro,in_vitro,FLuc,0.025
ZH_2023,325,luminescence_normalized,Mouse_B6,intravenous,liver,FLuc,5.0
ZL_2022,144,luminescence_normalized,HEK293T,in_vitro,in_vitro,FLuc,0.1
