,A549_form_screen,AGILE_3CR,Akinc_Michael_addition,Chen_disulfide,He_4CR_aldehyde,IR_4CR_ketone,IR_BL_AG_3CR_sting,IR_BL_AG_4CR,LM_3CR,Lee_unsat_dendrimer,Li_Thiolyne,Li_enzyme_catalyzed,Liu_Phospholipids,Luke_Raj_133_3_form,Luke_Raj_Branched_ester,Miller_zwitter_lipids,RM_BL_AG_carbonate,Raj_Jacob_ML_branched_ester,Sanofi_goods,Whitehead_siRNA,Yan_aza_michael,Zhou_dendrimer
A549_form_screen,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGILE_3CR,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akinc_Michael_addition,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chen_disulfide,1,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He_4CR_aldehyde,0,0,0,0,324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IR_4CR_ketone,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR_BL_AG_3CR_sting,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR_BL_AG_4CR,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LM_3CR,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee_unsat_dendrimer,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
Li_Thiolyne,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0
Li_enzyme_catalyzed,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
Liu_Phospholipids,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0
Luke_Raj_133_3_form,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,1,0,1,0,0
Luke_Raj_Branched_ester,0,0,0,0,0,0,0,0,0,0,0,0,0,1,383,0,0,0,0,0,0,0
Miller_zwitter_lipids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
RM_BL_AG_carbonate,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,772,0,0,0,0,0
Raj_Jacob_ML_branched_ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0
Sanofi_goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0
Whitehead_siRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,0
Yan_aza_michael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
Zhou_dendrimer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538
